Orthogroup	MHP_4284_proteins	MHP_154B_proteins
OG0000000	WP_406823103.1	WP_404924635.1
OG0000000	WP_406823110.1	WP_404924193.1
OG0000000	WP_406823112.1	WP_404923931.1
OG0000000	WP_406823272.1	WP_404924621.1, WP_404924630.1
OG0000001	WP_406823250.1	WP_187145661.1, WP_404924125.1
OG0000001	WP_240536609.1	WP_404923999.1
OG0000001	WP_406823154.1	WP_404923994.1
OG0000002	WP_258555377.1	WP_258555377.1
OG0000002	WP_160606963.1	WP_404923949.1
OG0000002	WP_406823109.1	WP_404923934.1
OG0000002	WP_406823273.1	WP_404924158.1
OG0000003	WP_406823224.1	WP_404924623.1
OG0000003	WP_406823281.1	WP_404924172.1
OG0000004	WP_406823181.1	WP_020835883.1
OG0000004	WP_406823182.1	WP_404924027.1
OG0000004	WP_406823298.1	WP_404924198.1
OG0000004	WP_404924499.1	WP_404924199.1
OG0000005	WP_406823208.1	WP_404924061.1
OG0000005	WP_406823209.1	WP_146379451.1
OG0000006	WP_406823130.1	WP_225972988.1
OG0000006	WP_406823115.1	WP_404924581.1
OG0000006	WP_225972978.1	WP_225972978.1
OG0000007	WP_002557993.1	WP_404923943.1
OG0000008	WP_406823102.1	WP_404923955.1
OG0000008	WP_406823264.1	WP_404924145.1, WP_404924620.1
OG0000008	WP_406823131.1	WP_404924196.1
OG0000009	WP_146379448.1	WP_041361519.1
OG0000009	WP_146379497.1	WP_011290021.1
OG0000010	WP_406823282.1	WP_404924175.1
OG0000011	WP_406823289.1	WP_160587900.1
OG0000011	WP_406823288.1	WP_404924624.1
OG0000012	WP_081450695.1	WP_404923974.1, WP_404924104.1
OG0000013	WP_406823122.1	WP_240536333.1
OG0000014	WP_406823229.1	WP_404924616.1
OG0000014	WP_406823237.1	WP_404924106.1
OG0000015	WP_240536643.1	WP_240536643.1
OG0000016	WP_020835836.1	WP_404924002.1
OG0000016	WP_406823211.1	WP_146379459.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_020835635.1	WP_020835635.1
OG0000019	WP_406823174.1	WP_404924016.1
OG0000019	WP_406823172.1	WP_404924015.1
OG0000019	WP_406823175.1	WP_404924017.1
OG0000020	WP_406823202.1	WP_404924608.1
OG0000020	WP_406823203.1	WP_404924610.1
OG0000022	WP_406823266.1	WP_404924149.1
OG0000022	WP_406823271.1	WP_404924156.1
OG0000023	WP_044272391.1	WP_044272391.1
OG0000024	WP_406823153.1	WP_404923993.1
OG0000024	WP_406823249.1	WP_404924124.1
OG0000025	WP_160607943.1	WP_404924150.1
OG0000025	WP_160606775.1	WP_160606775.1
OG0000026	WP_044284614.1	WP_404924129.1
OG0000026	WP_406823270.1	WP_404924155.1
OG0000027	WP_406823196.1	WP_146379747.1
OG0000028	WP_406823124.1	WP_404924585.1
OG0000030	WP_240536353.1	WP_404924603.1
OG0000031	WP_348572080.1	WP_011206142.1
OG0000032	WP_135618726.1	WP_404924142.1
OG0000035	WP_406823183.1	WP_404924601.1
OG0000036	WP_020835495.1	WP_020835495.1
OG0000036	WP_348571921.1	WP_146379454.1
OG0000037	WP_406823295.1	WP_404924629.1
OG0000039	WP_406823260.1, WP_406823259.1	WP_179221095.1
OG0000040	WP_406823189.1	WP_404924032.1
OG0000041	WP_228366127.1	WP_404912290.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_081430780.1	WP_225973034.1
OG0000044	WP_011206179.1	WP_404924168.1
OG0000045	WP_406823261.1	WP_404924192.1
OG0000048	WP_011290213.1	WP_011290213.1
OG0000049	WP_020835860.1	WP_020835860.1
OG0000050	WP_406823126.1	WP_404923972.1
OG0000051	WP_406823144.1	WP_404923985.1
OG0000052	WP_011289937.1	WP_404924060.1
OG0000053	WP_406823255.1	WP_404924618.1
OG0000054	WP_348602541.1	WP_404923973.1
OG0000055	WP_348571923.1	WP_146379455.1
OG0000056	WP_348571887.1	WP_404924050.1
OG0000057	WP_020835847.1	WP_404924596.1
OG0000061	WP_135618818.1	WP_020835703.1
OG0000062	WP_011206522.1	WP_160588098.1
OG0000063	WP_406823204.1	WP_404924054.1
OG0000064	WP_011290440.1	WP_011290440.1
OG0000065	WP_225972975.1	WP_225972975.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_406823225.1	WP_404924615.1
OG0000068	WP_160587949.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_011206373.1
OG0000070	WP_348602542.1	WP_011206292.1
OG0000071	WP_406823187.1	WP_160585219.1
OG0000072	WP_406823188.1	WP_404924031.1
OG0000073	WP_011290025.1	WP_404912207.1
OG0000074	WP_348571983.1	WP_404924091.1
OG0000075	WP_014579568.1	WP_014579568.1
OG0000076	WP_146379475.1	WP_160607908.1
OG0000077	WP_406823222.1	WP_404924080.1
OG0000078	WP_406823268.1	WP_404924153.1
OG0000079	WP_020835797.1	WP_404923976.1
OG0000080	WP_406823141.1	WP_404923980.1
OG0000081	WP_406823218.1	WP_404924076.1
OG0000083	WP_014579823.1	WP_014579823.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206223.1	WP_011206223.1
OG0000086	WP_406823091.1	WP_404924571.1
OG0000087	WP_020835732.1	WP_404912425.1
OG0000088	WP_406823093.1	WP_020835733.1
OG0000089	WP_011290212.1	WP_011290212.1
OG0000090	WP_094521535.1	WP_404924059.1
OG0000091	WP_020835487.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_011205847.1
OG0000093	WP_020835484.1	WP_011205846.1
OG0000094	WP_160606485.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_406823206.1	WP_404924056.1
OG0000098	WP_404924345.1	WP_160588100.1
OG0000099	WP_406823200.1	WP_404924605.1
OG0000100	WP_404924338.1	WP_404924049.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_348602859.1	WP_020835678.1
OG0000103	WP_406823095.1	WP_011290214.1
OG0000104	WP_011206239.1	WP_011206239.1
OG0000105	WP_094521691.1	WP_146379630.1
OG0000106	WP_146379631.1	WP_404923951.1
OG0000107	WP_011284169.1	WP_011284169.1
OG0000108	WP_192894278.1	WP_192894278.1
OG0000109	WP_160606848.1	WP_220200503.1
OG0000110	WP_406823119.1	WP_020835772.1
OG0000111	WP_404924516.1	WP_020835771.1
OG0000112	WP_406823117.1	WP_404923963.1
OG0000113	WP_406823114.1	WP_160585296.1
OG0000114	WP_258555507.1	WP_404923958.1
OG0000115	WP_011290245.1	WP_011284183.1
OG0000116	WP_011290103.1	WP_011290103.1
OG0000117	WP_044272388.1	WP_044272388.1
OG0000118	WP_011290108.1	WP_404924127.1
OG0000119	WP_160585678.1	WP_160585678.1
OG0000120	WP_406823252.1	WP_011284027.1
OG0000121	WP_011284032.1	WP_146379557.1
OG0000122	WP_020835643.1	WP_020835643.1
OG0000123	WP_011205954.1	WP_011205954.1
OG0000124	WP_011290118.1	WP_404924132.1
OG0000125	WP_011205952.1	WP_011205952.1
OG0000126	WP_160606641.1	WP_160606641.1
OG0000127	WP_011290122.1	WP_160590282.1
OG0000128	WP_406823256.1	WP_146379564.1
OG0000129	WP_014579732.1	WP_014579732.1
OG0000130	WP_011284046.1	WP_011284046.1
OG0000131	WP_011284047.1	WP_160585099.1
OG0000132	WP_160588229.1	WP_011205939.1
OG0000133	WP_094521764.1	WP_014579589.1
OG0000134	WP_228365407.1	WP_225973012.1
OG0000135	WP_011206120.1	WP_160585148.1
OG0000136	WP_179695961.1	WP_179695961.1
OG0000137	WP_011206113.1	WP_011206113.1
OG0000138	WP_160584793.1	WP_404924103.1
OG0000139	WP_011206102.1	WP_011206102.1
OG0000140	WP_160584795.1	WP_160584795.1
OG0000141	WP_406823167.1	WP_011284290.1
OG0000142	WP_406823166.1	WP_011284289.1
OG0000143	WP_011206391.1	WP_135619026.1
OG0000144	WP_406823165.1	WP_404924007.1
OG0000145	WP_225972996.1	WP_225972996.1
OG0000146	WP_011206385.1	WP_011206385.1
OG0000147	WP_011206384.1	WP_011206384.1
OG0000148	WP_135619012.1	WP_135619012.1
OG0000149	WP_011290331.1	WP_011290331.1
OG0000150	WP_011206376.1	WP_135619006.1
OG0000151	WP_020835828.1	WP_404923997.1
OG0000152	WP_406823158.1	WP_404924594.1
