Orthogroup	MHP_131B_genes	MFC_MF18_genes
OG0000000	NB627_RS02355	DR082_RS03155
OG0000000	NB627_RS01850	DR082_RS03455
OG0000001	NB627_RS01400, NB627_RS01405, NB627_RS02985, NB627_RS02940, NB627_RS02935	DR082_RS00825, DR082_RS00820
OG0000002	NB627_RS02360	DR082_RS03795
OG0000002	NB627_RS02290	DR082_RS02920
OG0000002	NB627_RS01865	DR082_RS03830
OG0000004	NB627_RS03225	DR082_RS01625
OG0000007	NB627_RS02345	DR082_RS02890
OG0000007	NB627_RS02325	DR082_RS02895
OG0000011	NB627_RS02090	DR082_RS02625
OG0000013	NB627_RS02570	DR082_RS01090, DR082_RS01085
OG0000013	NB627_RS00185	DR082_RS03095
OG0000014	NB627_RS00705, NB627_RS01205, NB627_RS00715	DR082_RS03685
OG0000016	NB627_RS03030	DR082_RS00770
OG0000017	NB627_RS00155	DR082_RS00175
OG0000017	NB627_RS03040	DR082_RS00760
OG0000018	NB627_RS00490	DR082_RS03790
OG0000020	NB627_RS03755	DR082_RS03840
OG0000020	NB627_RS03760	DR082_RS03845
OG0000022	NB627_RS01845	DR082_RS03835
OG0000023	NB627_RS01440, NB627_RS00500	DR082_RS02000
OG0000024	NB627_RS02930, NB627_RS01395	DR082_RS00830
OG0000025	NB627_RS01840	DR082_RS02390
OG0000026	NB627_RS01490, NB627_RS01820	DR082_RS02045
OG0000027	NB627_RS03540	DR082_RS02575
OG0000027	NB627_RS03555	DR082_RS03875
OG0000029	NB627_RS01200, NB627_RS00720	DR082_RS00605
OG0000030	NB627_RS03530, NB627_RS03550	DR082_RS03880
OG0000031	NB627_RS00445, NB627_RS01730	DR082_RS01195
OG0000032	NB627_RS01700, NB627_RS03545	DR082_RS02570
OG0000039	NB627_RS01740	DR082_RS00665
OG0000040	NB627_RS03475	DR082_RS01855, DR082_RS00885
OG0000042	NB627_RS03125	DR082_RS00660, DR082_RS00805
OG0000043	NB627_RS02055	DR082_RS02595
OG0000045	NB627_RS01745	DR082_RS03225, DR082_RS03230
OG0000047	NB627_RS00510	DR082_RS00835
OG0000048	NB627_RS02245	DR082_RS03010, DR082_RS02750
OG0000049	NB627_RS03240	DR082_RS01640, DR082_RS03345
OG0000050	NB627_RS02630	DR082_RS01160
OG0000051	NB627_RS02845	DR082_RS01520
OG0000052	NB627_RS00075	DR082_RS03660
OG0000053	NB627_RS01580	DR082_RS03920
OG0000054	NB627_RS02655	DR082_RS01135
OG0000055	NB627_RS00135	DR082_RS03970
OG0000056	NB627_RS03735	DR082_RS02415
OG0000057	NB627_RS03110	DR082_RS00685
OG0000062	NB627_RS03790	DR082_RS00025
OG0000063	NB627_RS03785	DR082_RS00020
OG0000064	NB627_RS03775	DR082_RS00010
OG0000065	NB627_RS02410	DR082_RS01905
OG0000066	NB627_RS01480, NB627_RS01475	DR082_RS02035
OG0000068	NB627_RS00755	DR082_RS00640
OG0000069	NB627_RS03005	DR082_RS00795
OG0000070	NB627_RS02660	DR082_RS01115
OG0000071	NB627_RS03465	DR082_RS01840
OG0000072	NB627_RS03470	DR082_RS03775
OG0000073	NB627_RS00820	DR082_RS02205
OG0000076	NB627_RS00365	DR082_RS00375
OG0000077	NB627_RS00550	DR082_RS00460
OG0000079	NB627_RS02745	DR082_RS01035
OG0000080	NB627_RS02795	DR082_RS03280
OG0000081	NB627_RS00340	DR082_RS00355
OG0000083	NB627_RS02160	DR082_RS02990
OG0000084	NB627_RS02190	DR082_RS02700
OG0000085	NB627_RS02195	DR082_RS03060, DR082_RS02705
OG0000086	NB627_RS02210	DR082_RS03910
OG0000087	NB627_RS02225	DR082_RS02730
OG0000088	NB627_RS02230	DR082_RS02735
OG0000089	NB627_RS02240	DR082_RS02745
OG0000090	NB627_RS00070	DR082_RS00130
OG0000091	NB627_RS00055	DR082_RS00115
OG0000092	NB627_RS00050	DR082_RS00100
OG0000093	NB627_RS00035	DR082_RS00095
