Orthogroup	MHP_131B_genes	MHP_ES2L_genes
OG0000000	NB627_RS02280, NB627_RS02285, NB627_RS02265	HZK19_RS02105
OG0000000	NB627_RS02260	HZK19_RS03675
OG0000000	NB627_RS02480	HZK19_RS02290
OG0000000	NB627_RS02485	HZK19_RS03795
OG0000000	NB627_RS01860	HZK19_RS01695
OG0000001	NB627_RS01400, NB627_RS01405	HZK19_RS03720
OG0000001	NB627_RS02935	HZK19_RS03840
OG0000002	NB627_RS02290	HZK19_RS02110
OG0000002	NB627_RS01865	HZK19_RS01705
OG0000003	NB627_RS01980	HZK19_RS01800
OG0000004	NB627_RS03390	HZK19_RS03240
OG0000004	NB627_RS03405	HZK19_RS03255
OG0000004	NB627_RS03205	HZK19_RS02970
OG0000005	NB627_RS00100	HZK19_RS00085
OG0000005	NB627_RS00120	HZK19_RS00105
OG0000005	NB627_RS00110	HZK19_RS00090
OG0000005	NB627_RS00125	HZK19_RS00110
OG0000006	NB627_RS02685, NB627_RS02690	HZK19_RS02470
OG0000006	NB627_RS02520	HZK19_RS03805
OG0000007	NB627_RS02345	HZK19_RS02155
OG0000007	NB627_RS02325	HZK19_RS02150
OG0000008	NB627_RS02475	HZK19_RS03790
OG0000008	NB627_RS01765	HZK19_RS03745
OG0000008	NB627_RS02695	HZK19_RS03825
OG0000009	NB627_RS00790	HZK19_RS00655
OG0000010	NB627_RS01985	HZK19_RS01810
OG0000012	NB627_RS01310, NB627_RS02000	HZK19_RS01825
OG0000013	NB627_RS02570	HZK19_RS02370
OG0000013	NB627_RS00185	HZK19_RS03715
OG0000014	NB627_RS00705	HZK19_RS00585
OG0000014	NB627_RS00715	HZK19_RS00595
OG0000015	NB627_RS00525	HZK19_RS01540, HZK19_RS03105
OG0000016	NB627_RS03030	HZK19_RS02805
OG0000016	NB627_RS00170	HZK19_RS00155
OG0000017	NB627_RS00155	HZK19_RS00140
OG0000017	NB627_RS03040	HZK19_RS02815
OG0000018	NB627_RS00490	HZK19_RS03075
OG0000019	NB627_RS03230	HZK19_RS03850
OG0000020	NB627_RS03755	HZK19_RS03860
OG0000020	NB627_RS03760	HZK19_RS03600
OG0000021	NB627_RS00615	HZK19_RS01725
OG0000022	NB627_RS01790	HZK19_RS01625
OG0000022	NB627_RS01845	HZK19_RS01685
OG0000023	NB627_RS01440	HZK19_RS01285
OG0000023	NB627_RS00500	HZK19_RS03085
OG0000024	NB627_RS02930	HZK19_RS02710
OG0000024	NB627_RS01395	HZK19_RS01240
OG0000025	NB627_RS01795	HZK19_RS01630
OG0000025	NB627_RS01840	HZK19_RS01680
OG0000026	NB627_RS01490	HZK19_RS01330
OG0000026	NB627_RS01820	HZK19_RS01660
OG0000027	NB627_RS03540	HZK19_RS03390
OG0000027	NB627_RS03555	HZK19_RS03405
OG0000028	NB627_RS02600, NB627_RS02595	HZK19_RS02380
OG0000029	NB627_RS01200	HZK19_RS01065
OG0000029	NB627_RS00720	HZK19_RS00600
OG0000030	NB627_RS03530	HZK19_RS03380
OG0000030	NB627_RS03550	HZK19_RS03400
OG0000031	NB627_RS00445	HZK19_RS03025
OG0000032	NB627_RS01700	HZK19_RS01545
OG0000032	NB627_RS03545	HZK19_RS03395
OG0000035	NB627_RS03400	HZK19_RS03235
OG0000035	NB627_RS03385	HZK19_RS03225
OG0000036	NB627_RS00115	HZK19_RS00100
OG0000036	NB627_RS00130	HZK19_RS03705, HZK19_RS03710
OG0000037	NB627_RS01710	HZK19_RS01555
OG0000037	NB627_RS01705	HZK19_RS01550
OG0000038	NB627_RS00605, NB627_RS01895	HZK19_RS01710
OG0000039	NB627_RS01740	HZK19_RS01580
OG0000040	NB627_RS03475	HZK19_RS03325
OG0000041	NB627_RS01300	HZK19_RS01160
OG0000042	NB627_RS03125	HZK19_RS02900
OG0000043	NB627_RS02055	HZK19_RS01875
OG0000044	NB627_RS01805	HZK19_RS03955
OG0000044	NB627_RS01925	HZK19_RS01755
OG0000045	NB627_RS01745	HZK19_RS01585
OG0000046	NB627_RS03485	HZK19_RS03335
OG0000047	NB627_RS00510	HZK19_RS03090
OG0000048	NB627_RS02245	HZK19_RS02065
OG0000049	NB627_RS03240	HZK19_RS02995
OG0000050	NB627_RS02630	HZK19_RS02415
OG0000051	NB627_RS02845	HZK19_RS02620
OG0000052	NB627_RS00075	HZK19_RS00075
OG0000053	NB627_RS01580	HZK19_RS01415
OG0000054	NB627_RS02655	HZK19_RS02440
OG0000055	NB627_RS00135	HZK19_RS00120
OG0000056	NB627_RS03735	HZK19_RS03580
OG0000057	NB627_RS03110	HZK19_RS02885
OG0000058	NB627_RS00435	HZK19_RS03015
OG0000058	NB627_RS00440	HZK19_RS03020
OG0000060	NB627_RS00080	HZK19_RS00080
OG0000061	NB627_RS01995	HZK19_RS01820
OG0000062	NB627_RS03790	HZK19_RS03630
OG0000063	NB627_RS03785	HZK19_RS03625
OG0000064	NB627_RS03775	HZK19_RS03615
OG0000065	NB627_RS02410	HZK19_RS02220
