Orthogroup	MHP_131B_genes	MHP_LH_genes
OG0000000	NB627_RS02355	KUD10_RS02260
OG0000000	NB627_RS02285	KUD10_RS02195
OG0000000	NB627_RS02265	KUD10_RS02170
OG0000000	NB627_RS02350	KUD10_RS02255
OG0000000	NB627_RS02260	KUD10_RS02165
OG0000000	NB627_RS02480	KUD10_RS02380
OG0000000	NB627_RS02485	KUD10_RS02385
OG0000000	NB627_RS01850	KUD10_RS01785
OG0000001	NB627_RS01400, NB627_RS01405	KUD10_RS01355
OG0000001	NB627_RS02935	KUD10_RS02830
OG0000002	NB627_RS02365	KUD10_RS02270
OG0000002	NB627_RS02360	KUD10_RS02265
OG0000002	NB627_RS02290	KUD10_RS02210
OG0000002	NB627_RS01865	KUD10_RS01790
OG0000003	NB627_RS01980	KUD10_RS01900
OG0000004	NB627_RS03390	KUD10_RS03265
OG0000004	NB627_RS03405	KUD10_RS03275
OG0000004	NB627_RS03205	KUD10_RS03075
OG0000004	NB627_RS03225	KUD10_RS03105
OG0000005	NB627_RS00100	KUD10_RS00100
OG0000005	NB627_RS00120	KUD10_RS00120
OG0000005	NB627_RS00110	KUD10_RS00105
OG0000005	NB627_RS00125	KUD10_RS00125
OG0000006	NB627_RS02685, NB627_RS02690	KUD10_RS02585
OG0000006	NB627_RS02520	KUD10_RS02420
OG0000008	NB627_RS02475	KUD10_RS02375
OG0000008	NB627_RS01765	KUD10_RS01700
OG0000008	NB627_RS02695	KUD10_RS02590
OG0000009	NB627_RS00085	KUD10_RS00085
OG0000009	NB627_RS00790	KUD10_RS00675
OG0000010	NB627_RS01985	KUD10_RS01910
OG0000011	NB627_RS02090	KUD10_RS01995
OG0000013	NB627_RS02570	KUD10_RS02465
OG0000013	NB627_RS00185	KUD10_RS00185
OG0000014	NB627_RS01205	KUD10_RS01080
OG0000014	NB627_RS00715	KUD10_RS00610, KUD10_RS00615
OG0000015	NB627_RS01760	KUD10_RS01635
OG0000016	NB627_RS03030	KUD10_RS02915
OG0000016	NB627_RS00170	KUD10_RS00170
OG0000017	NB627_RS00155	KUD10_RS00155
OG0000017	NB627_RS03040	KUD10_RS02925
OG0000019	NB627_RS03230	KUD10_RS03110, KUD10_RS03090
OG0000020	NB627_RS03755	KUD10_RS03620
OG0000020	NB627_RS03760	KUD10_RS03625
OG0000022	NB627_RS01790	KUD10_RS01720
OG0000022	NB627_RS01845	KUD10_RS01775
OG0000023	NB627_RS01440	KUD10_RS01390
OG0000024	NB627_RS02930	KUD10_RS02825
OG0000024	NB627_RS01395	KUD10_RS01345
OG0000025	NB627_RS01795	KUD10_RS01725
OG0000025	NB627_RS01840	KUD10_RS01770
OG0000026	NB627_RS01490	KUD10_RS01435
OG0000026	NB627_RS01820	KUD10_RS01750
OG0000027	NB627_RS03540	KUD10_RS03410
OG0000027	NB627_RS03555	KUD10_RS03425
OG0000029	NB627_RS01200	KUD10_RS01075
OG0000029	NB627_RS00720	KUD10_RS00620
OG0000030	NB627_RS03530	KUD10_RS03400
OG0000030	NB627_RS03550	KUD10_RS03420
OG0000031	NB627_RS00445	KUD10_RS01150
OG0000031	NB627_RS01730	KUD10_RS01665
OG0000032	NB627_RS01700	KUD10_RS01640
OG0000033	NB627_RS02575, NB627_RS02590, NB627_RS02580	KUD10_RS02490
OG0000035	NB627_RS03400	KUD10_RS03270
OG0000035	NB627_RS03385	KUD10_RS03250
OG0000036	NB627_RS00115	KUD10_RS00115
OG0000036	NB627_RS00130	KUD10_RS00130
OG0000037	NB627_RS01710	KUD10_RS01650
OG0000037	NB627_RS01705	KUD10_RS01645
OG0000038	NB627_RS01895	KUD10_RS01815
OG0000039	NB627_RS01740	KUD10_RS01675
OG0000040	NB627_RS03475	KUD10_RS03345
OG0000042	NB627_RS03125	KUD10_RS03010
OG0000043	NB627_RS02055	KUD10_RS01965
OG0000044	NB627_RS01925	KUD10_RS01860
OG0000045	NB627_RS01745	KUD10_RS01680
OG0000046	NB627_RS03485	KUD10_RS03355
OG0000048	NB627_RS02245	KUD10_RS02150
OG0000049	NB627_RS03240	KUD10_RS03120
OG0000050	NB627_RS02630	KUD10_RS02530
OG0000051	NB627_RS02845	KUD10_RS02740
OG0000052	NB627_RS00075	KUD10_RS00075
OG0000053	NB627_RS01580	KUD10_RS01520
OG0000054	NB627_RS02655	KUD10_RS02555
OG0000055	NB627_RS00135	KUD10_RS00135
OG0000056	NB627_RS03735	KUD10_RS03605
OG0000057	NB627_RS03110	KUD10_RS02995
OG0000058	NB627_RS00435	KUD10_RS01145
OG0000061	NB627_RS01995	KUD10_RS01920
OG0000062	NB627_RS03790	KUD10_RS03655
OG0000063	NB627_RS03785	KUD10_RS03650
OG0000064	NB627_RS03775	KUD10_RS03640
OG0000065	NB627_RS02410	KUD10_RS02315
OG0000066	NB627_RS01480	KUD10_RS01425
OG0000067	NB627_RS00635	KUD10_RS00530
OG0000068	NB627_RS00755	KUD10_RS00655
OG0000069	NB627_RS03005	KUD10_RS02890
OG0000070	NB627_RS02660	KUD10_RS02560
OG0000071	NB627_RS03465	KUD10_RS03335
OG0000072	NB627_RS03470	KUD10_RS03340
OG0000073	NB627_RS00820	KUD10_RS00700
OG0000074	NB627_RS01020	KUD10_RS00895
OG0000075	NB627_RS00350	KUD10_RS00340
OG0000076	NB627_RS00365	KUD10_RS00355
OG0000077	NB627_RS00550	KUD10_RS00440
OG0000079	NB627_RS02745	KUD10_RS02640
OG0000080	NB627_RS02795	KUD10_RS02690
OG0000081	NB627_RS00340	KUD10_RS00335
OG0000083	NB627_RS02160	KUD10_RS02070
OG0000084	NB627_RS02190	KUD10_RS02100
OG0000085	NB627_RS02195	KUD10_RS02105
OG0000086	NB627_RS02210	KUD10_RS02115
OG0000087	NB627_RS02225	KUD10_RS02130
OG0000088	NB627_RS02230	KUD10_RS02135
OG0000089	NB627_RS02240	KUD10_RS02145
OG0000090	NB627_RS00070	KUD10_RS00070
OG0000091	NB627_RS00055	KUD10_RS00055
