#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_QQSN01000001.1:60931-62727|+ -            599 501at2085            -            526  5.3e-249  822.6   9.1   1   1  7.3e-251  1.1e-248  821.6   9.1     1   526     1   594     1   594 0.93 NZ_QQSN01000001.1_51 # 60931 # 62727 # 1 # ID=11_51;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
NZ_QQSN01000001.1:64060-66144|- -            695 501at2085            -            526   6.2e-47  155.9   1.2   1   4   1.8e-36   2.6e-34  114.2   0.1     4   153     8   162     5   186 0.86 NZ_QQSN01000001.1_53 # 64060 # 66144 # -1 # ID=11_53;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
NZ_QQSN01000001.1:64060-66144|- -            695 501at2085            -            526   6.2e-47  155.9   1.2   2   4      0.53        80   -2.9   0.0   155   173   263   281   256   293 0.80 NZ_QQSN01000001.1_53 # 64060 # 66144 # -1 # ID=11_53;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
NZ_QQSN01000001.1:64060-66144|- -            695 501at2085            -            526   6.2e-47  155.9   1.2   3   4     6e-12     9e-10   33.2   0.1   170   339   301   485   289   498 0.69 NZ_QQSN01000001.1_53 # 64060 # 66144 # -1 # ID=11_53;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
NZ_QQSN01000001.1:64060-66144|- -            695 501at2085            -            526   6.2e-47  155.9   1.2   4   4    0.0026       0.4    4.7   0.0   350   411   607   675   595   691 0.78 NZ_QQSN01000001.1_53 # 64060 # 66144 # -1 # ID=11_53;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
NZ_QQSN01000009.1:19747-21546|- -            600 501at2085            -            526     3e-19   64.5   2.9   1   3     2e-21     3e-19   64.5   2.9    10   195   117   307   115   321 0.76 NZ_QQSN01000009.1_18 # 19747 # 21546 # -1 # ID=80_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
NZ_QQSN01000009.1:19747-21546|- -            600 501at2085            -            526     3e-19   64.5   2.9   2   3      0.56        84   -3.0   0.6   135   181   388   434   377   452 0.72 NZ_QQSN01000009.1_18 # 19747 # 21546 # -1 # ID=80_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
NZ_QQSN01000009.1:19747-21546|- -            600 501at2085            -            526     3e-19   64.5   2.9   3   3      0.34        51   -2.2   0.0   382   408   480   506   460   516 0.80 NZ_QQSN01000009.1_18 # 19747 # 21546 # -1 # ID=80_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
NZ_QQSN01000004.1:20106-21314|- -            403 501at2085            -            526   2.1e-18   61.7   2.9   1   2   3.7e-20   5.5e-18   60.3   0.2     8   140    20   155    14   168 0.88 NZ_QQSN01000004.1_18 # 20106 # 21314 # -1 # ID=34_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
NZ_QQSN01000004.1:20106-21314|- -            403 501at2085            -            526   2.1e-18   61.7   2.9   2   2     0.023       3.5    1.6   0.2   161   256   205   309   194   325 0.67 NZ_QQSN01000004.1_18 # 20106 # 21314 # -1 # ID=34_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
NZ_QQSN01000001.1:59072-60373|+ -            434 501at2085            -            526   5.9e-13   43.8   0.5   1   2   1.5e-05    0.0023   12.1   0.1    63   180    46   170    36   173 0.75 NZ_QQSN01000001.1_48 # 59072 # 60373 # 1 # ID=11_48;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.297
