Orthogroup	MHP_MHP650_genes	MHP_153B_genes
OG0000000	DR083_RS02765	NB625_RS02335
OG0000000	DR083_RS04215	NB625_RS01725
OG0000001	DR083_RS04075	NB625_RS01285, NB625_RS01280
OG0000001	DR083_RS00590	NB625_RS02955
OG0000001	DR083_RS00540	NB625_RS02910
OG0000002	DR083_RS04320	NB625_RS02350, NB625_RS02345
OG0000002	DR083_RS02760	NB625_RS02340
OG0000002	DR083_RS04915	NB625_RS02235
OG0000002	DR083_RS04760	NB625_RS01730
OG0000003	DR083_RS03840	NB625_RS01830
OG0000004	DR083_RS03460	NB625_RS03360
OG0000004	DR083_RS03440	NB625_RS03370
OG0000004	DR083_RS01645	NB625_RS03170
OG0000005	DR083_RS03065	NB625_RS00100
OG0000005	DR083_RS04870	NB625_RS00105
OG0000006	DR083_RS03320	NB625_RS02645
OG0000007	DR083_RS03475	NB625_RS02325
OG0000007	DR083_RS03470	NB625_RS02305
OG0000008	DR083_RS04510	NB625_RS02460
OG0000008	DR083_RS04540	NB625_RS02660
OG0000009	DR083_RS01225	NB625_RS01020
OG0000009	DR083_RS05040	NB625_RS00085
OG0000009	DR083_RS01240	NB625_RS01005
OG0000010	DR083_RS02305, DR083_RS04470, DR083_RS04910	NB625_RS01850
OG0000011	DR083_RS01555	NB625_RS01950
OG0000012	DR083_RS03720	NB625_RS02890, NB625_RS01075
OG0000013	DR083_RS05105	NB625_RS02545
OG0000013	DR083_RS03885	NB625_RS00190
OG0000014	DR083_RS04890	NB625_RS01085
OG0000015	DR083_RS02965	NB625_RS01580
OG0000016	DR083_RS00630	NB625_RS02995
OG0000016	DR083_RS00040	NB625_RS00175
OG0000017	DR083_RS00025	NB625_RS00160
OG0000017	DR083_RS00640	NB625_RS03005
OG0000019	DR083_RS04180	NB625_RS03195
OG0000020	DR083_RS04640	NB625_RS03695
OG0000021	DR083_RS02215, DR083_RS03855	NB625_RS01755
OG0000022	DR083_RS02055	NB625_RS01665
OG0000022	DR083_RS04755	NB625_RS01720
OG0000023	DR083_RS02935	NB625_RS01320
OG0000024	DR083_RS03365	NB625_RS02905
OG0000024	DR083_RS01215	NB625_RS01275
OG0000025	DR083_RS04750	NB625_RS01670
OG0000025	DR083_RS02105	NB625_RS01715
OG0000026	DR083_RS01120	NB625_RS01365
OG0000026	DR083_RS02085	NB625_RS01695
OG0000027	DR083_RS02995	NB625_RS03505
OG0000028	DR083_RS00320, DR083_RS00315	NB625_RS02565
OG0000029	DR083_RS02525	NB625_RS00600
OG0000029	DR083_RS03325	NB625_RS01080
OG0000030	DR083_RS04855	NB625_RS03495
OG0000031	DR083_RS02520	NB625_RS02145
OG0000032	DR083_RS03590	NB625_RS01585
OG0000033	DR083_RS00310	NB625_RS02560
OG0000034	DR083_RS04525	NB625_RS02250
OG0000034	DR083_RS04530	NB625_RS02255
OG0000035	DR083_RS03445	NB625_RS03365
OG0000036	DR083_RS03040	NB625_RS00110, NB625_RS00130
OG0000037	DR083_RS04925	NB625_RS01595
OG0000039	DR083_RS03505	NB625_RS01615
OG0000040	DR083_RS02780	NB625_RS03440
OG0000041	DR083_RS01230	NB625_RS01015
OG0000041	DR083_RS01935	NB625_RS01195
OG0000042	DR083_RS00730	NB625_RS03095
OG0000043	DR083_RS01520	NB625_RS01915
OG0000044	DR083_RS04960	NB625_RS01680
OG0000044	DR083_RS02245	NB625_RS01790
OG0000045	DR083_RS03515	NB625_RS01620
OG0000046	DR083_RS04815	NB625_RS03450
OG0000047	DR083_RS03630	NB625_RS02080
OG0000048	DR083_RS02860	NB625_RS02195
OG0000049	DR083_RS01660	NB625_RS03205
OG0000050	DR083_RS00350	NB625_RS02595
OG0000051	DR083_RS02195	NB625_RS02810
OG0000052	DR083_RS02690	NB625_RS00075
OG0000053	DR083_RS04665	NB625_RS01450
OG0000054	DR083_RS00375	NB625_RS02620
OG0000055	DR083_RS00005	NB625_RS00135
OG0000056	DR083_RS00815	NB625_RS03680
OG0000057	DR083_RS03975, DR083_RS03980	NB625_RS03080
OG0000058	DR083_RS02505	NB625_RS02155
OG0000058	DR083_RS02510	NB625_RS02150
OG0000059	DR083_RS04445	NB625_RS02125
OG0000060	DR083_RS02685	NB625_RS00080
OG0000061	DR083_RS02315	NB625_RS01860
OG0000062	DR083_RS00865	NB625_RS03725
OG0000063	DR083_RS04645	NB625_RS03720
OG0000064	DR083_RS00850	NB625_RS03710
OG0000065	DR083_RS02715	NB625_RS02395
OG0000066	DR083_RS01130	NB625_RS01355
OG0000067	DR083_RS02350	NB625_RS00525
OG0000068	DR083_RS03160	NB625_RS01040
OG0000069	DR083_RS00605	NB625_RS02975
OG0000070	DR083_RS00380	NB625_RS02625
OG0000071	DR083_RS02790	NB625_RS03430
OG0000072	DR083_RS04820	NB625_RS03435
OG0000073	DR083_RS01265	NB625_RS00980
OG0000074	DR083_RS04700	NB625_RS00780
OG0000075	DR083_RS00220	NB625_RS00345
OG0000076	DR083_RS00235	NB625_RS00360
OG0000077	DR083_RS03235	NB625_RS00445
OG0000078	DR083_RS02075	NB625_RS01685
OG0000079	DR083_RS01845	NB625_RS02710
OG0000080	DR083_RS04190	NB625_RS02760
OG0000081	DR083_RS00215	NB625_RS00340
OG0000083	DR083_RS01625	NB625_RS02020
OG0000084	DR083_RS02910	NB625_RS02050
OG0000085	DR083_RS02905	NB625_RS02055
OG0000086	DR083_RS02895	NB625_RS02160
OG0000087	DR083_RS02880	NB625_RS02175
OG0000088	DR083_RS02875	NB625_RS02180
OG0000089	DR083_RS02865	NB625_RS02190
OG0000090	DR083_RS02695	NB625_RS00070
OG0000091	DR083_RS00955	NB625_RS00055
OG0000092	DR083_RS00940	NB625_RS00040
OG0000093	DR083_RS00935	NB625_RS00035
OG0000094	DR083_RS00930	NB625_RS00030
OG0000095	DR083_RS00905	NB625_RS00005
OG0000096	DR083_RS00900	NB625_RS03760
OG0000097	DR083_RS00880	NB625_RS03740
OG0000098	DR083_RS00870	NB625_RS03730
OG0000099	DR083_RS04630	NB625_RS03685
OG0000100	DR083_RS00805	NB625_RS03675
OG0000101	DR083_RS00800	NB625_RS03665
OG0000102	DR083_RS02100	NB625_RS01710
OG0000103	DR083_RS02750	NB625_RS02360
OG0000104	DR083_RS02745	NB625_RS02365
OG0000105	DR083_RS02730	NB625_RS02380
OG0000106	DR083_RS02720	NB625_RS02390
OG0000107	DR083_RS02710	NB625_RS02400
OG0000108	DR083_RS02705	NB625_RS02405
OG0000109	DR083_RS02700	NB625_RS02410
OG0000110	DR083_RS03140	NB625_RS02530
OG0000111	DR083_RS03135	NB625_RS02525
OG0000112	DR083_RS03125	NB625_RS02515
OG0000113	DR083_RS03315	NB625_RS02495
OG0000114	DR083_RS03305	NB625_RS02485
OG0000115	DR083_RS03290	NB625_RS02475
OG0000116	DR083_RS01185	NB625_RS01300
OG0000117	DR083_RS01180	NB625_RS01305
OG0000118	DR083_RS01145	NB625_RS01340
OG0000119	DR083_RS01140	NB625_RS01345
OG0000120	DR083_RS01125	NB625_RS01360
OG0000121	DR083_RS01100	NB625_RS01385
OG0000122	DR083_RS01095	NB625_RS01390
OG0000123	DR083_RS01075	NB625_RS01410
OG0000124	DR083_RS01070	NB625_RS01415
OG0000125	DR083_RS01065	NB625_RS01420
OG0000126	DR083_RS01055	NB625_RS01430
OG0000127	DR083_RS01045	NB625_RS01440
OG0000128	DR083_RS01030	NB625_RS01460
OG0000129	DR083_RS01025	NB625_RS01465
OG0000130	DR083_RS01015	NB625_RS01475
OG0000131	DR083_RS00985	NB625_RS01505
OG0000132	DR083_RS04660	NB625_RS01520
OG0000133	DR083_RS02355	NB625_RS00530
OG0000134	DR083_RS04790	NB625_RS00535
OG0000135	DR083_RS02375	NB625_RS00550
OG0000136	DR083_RS02380	NB625_RS00555
OG0000137	DR083_RS02420	NB625_RS00595
OG0000138	DR083_RS03185	NB625_RS01065
OG0000139	DR083_RS03155	NB625_RS01035
OG0000140	DR083_RS03150	NB625_RS01030
OG0000141	DR083_RS00725	NB625_RS03090
OG0000142	DR083_RS04625	NB625_RS03085
OG0000143	DR083_RS00695	NB625_RS03065
OG0000144	DR083_RS00685	NB625_RS03050
OG0000145	DR083_RS00675	NB625_RS03040
OG0000146	DR083_RS00665	NB625_RS03030
OG0000147	DR083_RS00660	NB625_RS03025
OG0000148	DR083_RS00645	NB625_RS03010
OG0000149	DR083_RS00635	NB625_RS03000
OG0000150	DR083_RS00620	NB625_RS02985
OG0000151	DR083_RS00575	NB625_RS02940
OG0000152	DR083_RS00570	NB625_RS02935
OG0000153	DR083_RS00565	NB625_RS02930
OG0000154	DR083_RS00555	NB625_RS02920
OG0000155	DR083_RS03340	NB625_RS02880
OG0000156	DR083_RS02140	NB625_RS02870
OG0000157	DR083_RS04765	NB625_RS02865
OG0000158	DR083_RS04770	NB625_RS02855
OG0000159	DR083_RS04945	NB625_RS02610
OG0000160	DR083_RS00360	NB625_RS02605
OG0000161	DR083_RS00355	NB625_RS02600
OG0000162	DR083_RS00345	NB625_RS02590
OG0000163	DR083_RS00340	NB625_RS02585
OG0000164	DR083_RS03555	NB625_RS01610
OG0000165	DR083_RS01545	NB625_RS01945
OG0000166	DR083_RS01565	NB625_RS01960
OG0000167	DR083_RS01580	NB625_RS01975
OG0000168	DR083_RS01585	NB625_RS01980
OG0000169	DR083_RS01655	NB625_RS03200
OG0000170	DR083_RS01670	NB625_RS03215
OG0000171	DR083_RS01680	NB625_RS03225
OG0000172	DR083_RS01690	NB625_RS03230
OG0000173	DR083_RS01695	NB625_RS03235
OG0000174	DR083_RS01700	NB625_RS03240
OG0000175	DR083_RS01715	NB625_RS03255
OG0000176	DR083_RS01765	NB625_RS03315
OG0000177	DR083_RS01770	NB625_RS03320
OG0000178	DR083_RS01775	NB625_RS03330
OG0000179	DR083_RS01785	NB625_RS03335
OG0000180	DR083_RS01790	NB625_RS03340
OG0000181	DR083_RS04830	NB625_RS03380
OG0000182	DR083_RS02830	NB625_RS03390
OG0000183	DR083_RS02795	NB625_RS03425
OG0000184	DR083_RS03100	NB625_RS03470
OG0000185	DR083_RS03085	NB625_RS03455
OG0000186	DR083_RS04900	NB625_RS01530
OG0000187	DR083_RS03415	NB625_RS01545
OG0000188	DR083_RS03405	NB625_RS01555
OG0000189	DR083_RS04865	NB625_RS02450
OG0000190	DR083_RS03025	NB625_RS02445
OG0000191	DR083_RS03005	NB625_RS02420
OG0000192	DR083_RS02475	NB625_RS01215
OG0000193	DR083_RS02490	NB625_RS01200
OG0000194	DR083_RS01250	NB625_RS00995
OG0000195	DR083_RS01255	NB625_RS00990
OG0000196	DR083_RS01275	NB625_RS00965
