Orthogroup	MHP_MHP650_genes	MHP_MHP709_genes
OG0000000	DR083_RS02765	DR088_RS03530
OG0000000	DR083_RS04555	DR088_RS04265
OG0000001	DR083_RS00590	DR088_RS00215
OG0000001	DR083_RS00540	DR088_RS03730
OG0000002	DR083_RS04320	DR088_RS04280
OG0000002	DR083_RS02760	DR088_RS03525
OG0000002	DR083_RS04915	DR088_RS03455
OG0000002	DR083_RS04760	DR088_RS04510
OG0000003	DR083_RS04460	DR088_RS04580
OG0000003	DR083_RS03840	DR088_RS03645
OG0000004	DR083_RS03440	DR088_RS03400
OG0000004	DR083_RS01645	DR088_RS00350
OG0000005	DR083_RS03065	DR088_RS01950
OG0000005	DR083_RS03050	DR088_RS03545
OG0000005	DR083_RS04870	DR088_RS03300, DR088_RS04590
OG0000006	DR083_RS03320	DR088_RS04190
OG0000007	DR083_RS03475	DR088_RS03260
OG0000007	DR083_RS03470	DR088_RS03265
OG0000007	DR083_RS03465	DR088_RS03275
OG0000008	DR083_RS04540	DR088_RS04285
OG0000009	DR083_RS05040	DR088_RS01935
OG0000009	DR083_RS01240	DR088_RS02850
OG0000010	DR083_RS02305	DR088_RS00450
OG0000011	DR083_RS01555	DR088_RS00560
OG0000011	DR083_RS01550	DR088_RS00555
OG0000013	DR083_RS05105	DR088_RS02380
OG0000013	DR083_RS03885	DR088_RS03910
OG0000014	DR083_RS04890	DR088_RS04355
OG0000016	DR083_RS00630	DR088_RS00255
OG0000016	DR083_RS00040	DR088_RS01355
OG0000017	DR083_RS00025	DR088_RS01370
OG0000017	DR083_RS00640	DR088_RS00265
OG0000018	DR083_RS05070, DR083_RS04835	DR088_RS04550
OG0000019	DR083_RS04180	DR088_RS04255
OG0000020	DR083_RS04635	DR088_RS04465
OG0000020	DR083_RS04640	DR088_RS04470
OG0000021	DR083_RS02335, DR083_RS02215, DR083_RS03855	DR088_RS00360
OG0000022	DR083_RS02055	DR088_RS02355
OG0000022	DR083_RS04755	DR088_RS04515
OG0000023	DR083_RS02935	DR088_RS02595
OG0000024	DR083_RS03365	DR088_RS00160
OG0000024	DR083_RS01215	DR088_RS00975
OG0000025	DR083_RS04750	DR088_RS04520
OG0000025	DR083_RS02105	DR088_RS02305
OG0000026	DR083_RS01120	DR088_RS02640
OG0000026	DR083_RS02085	DR088_RS02325
OG0000027	DR083_RS02995	DR088_RS04450
OG0000027	DR083_RS04880	DR088_RS04500
OG0000028	DR083_RS00320, DR083_RS00315	DR088_RS04565
