Orthogroup	MHP_MHP650_genes	MFC_MF29_genes
OG0000000	DR083_RS02765	DR095_RS03080
OG0000000	DR083_RS04215	DR095_RS01240
OG0000001	DR083_RS04075, DR083_RS00590, DR083_RS00540, DR083_RS00545	DR095_RS00305, DR095_RS00300
OG0000002	DR083_RS04915	DR095_RS04030
OG0000002	DR083_RS04760	DR095_RS03820
OG0000003	DR083_RS04460	DR095_RS04020
OG0000007	DR083_RS03475	DR095_RS03020
OG0000007	DR083_RS03470	DR095_RS03025
OG0000007	DR083_RS03465	DR095_RS03035
OG0000011	DR083_RS01555	DR095_RS03240, DR095_RS03235
OG0000011	DR083_RS01550	DR095_RS03230
OG0000013	DR083_RS05105	DR095_RS00580, DR095_RS00575
OG0000013	DR083_RS03885	DR095_RS03215
OG0000014	DR083_RS03770, DR083_RS04890	DR095_RS03760
OG0000016	DR083_RS00630	DR095_RS00250
OG0000017	DR083_RS00025	DR095_RS01000
OG0000017	DR083_RS00640	DR095_RS00240
OG0000018	DR083_RS04835	DR095_RS03835
OG0000019	DR083_RS04180	DR095_RS03740
OG0000020	DR083_RS04635	DR095_RS03810
OG0000020	DR083_RS04640	DR095_RS03805
OG0000022	DR083_RS04755	DR095_RS03815
OG0000023	DR083_RS02935	DR095_RS01955
OG0000024	DR083_RS03365, DR083_RS01215	DR095_RS00310
OG0000025	DR083_RS02105	DR095_RS01230
OG0000026	DR083_RS01120, DR083_RS02085	DR095_RS01450
OG0000027	DR083_RS04880	DR095_RS03960
OG0000029	DR083_RS02525, DR083_RS03325	DR095_RS00085
OG0000030	DR083_RS04855, DR083_RS04885	DR095_RS03965
OG0000033	DR083_RS00310	DR095_RS00600, DR095_RS03210
OG0000039	DR083_RS03505	DR095_RS00145
OG0000040	DR083_RS02780	DR095_RS01945, DR095_RS00375, DR095_RS00380
OG0000042	DR083_RS00730	DR095_RS00140, DR095_RS00285
OG0000043	DR083_RS01520	DR095_RS01635, DR095_RS02735
OG0000045	DR083_RS03515	DR095_RS03295, DR095_RS03300
OG0000048	DR083_RS02860	DR095_RS03095, DR095_RS02830
OG0000049	DR083_RS01660	DR095_RS01755
OG0000050	DR083_RS00350	DR095_RS03970
OG0000051	DR083_RS02195	DR095_RS01545
OG0000052	DR083_RS02690	DR095_RS01040
OG0000053	DR083_RS04665	DR095_RS03995, DR095_RS01535
OG0000054	DR083_RS00375	DR095_RS00625
OG0000055	DR083_RS00005	DR095_RS01035
OG0000056	DR083_RS00815	DR095_RS01205
OG0000057	DR083_RS03975, DR083_RS03980	DR095_RS00165
OG0000059	DR083_RS04445	DR095_RS03480
OG0000062	DR083_RS00865	DR095_RS01150
OG0000063	DR083_RS04645	DR095_RS01155
OG0000064	DR083_RS00850	DR095_RS01165
OG0000065	DR083_RS02715	DR095_RS01310
OG0000066	DR083_RS01130	DR095_RS01440
OG0000068	DR083_RS03160	DR095_RS00120
OG0000069	DR083_RS00605	DR095_RS00275
OG0000070	DR083_RS00380	DR095_RS00605
OG0000071	DR083_RS02790	DR095_RS01935
OG0000072	DR083_RS04820	DR095_RS03885
OG0000073	DR083_RS01265	DR095_RS02080
OG0000074	DR083_RS04700	DR095_RS03915
OG0000075	DR083_RS00220	DR095_RS00815
OG0000076	DR083_RS00235	DR095_RS00800
OG0000077	DR083_RS03235	DR095_RS00715
OG0000078	DR083_RS02075	DR095_RS00415
OG0000079	DR083_RS01845	DR095_RS00525
OG0000080	DR083_RS04190	DR095_RS03375
OG0000081	DR083_RS00215	DR095_RS00820
OG0000083	DR083_RS01625	DR095_RS03045
OG0000084	DR083_RS02910	DR095_RS02880
OG0000085	DR083_RS02905	DR095_RS02875
OG0000086	DR083_RS02895	DR095_RS03990
OG0000087	DR083_RS02880	DR095_RS02850
OG0000088	DR083_RS02875	DR095_RS02845
OG0000089	DR083_RS02865	DR095_RS02835
OG0000090	DR083_RS02695	DR095_RS01045
OG0000091	DR083_RS00955	DR095_RS01060
OG0000092	DR083_RS00940	DR095_RS01075
OG0000093	DR083_RS00935	DR095_RS01080
OG0000094	DR083_RS00930	DR095_RS01085
OG0000095	DR083_RS00905	DR095_RS01110
OG0000096	DR083_RS00900	DR095_RS01115
OG0000097	DR083_RS00880	DR095_RS01135
OG0000098	DR083_RS00870	DR095_RS01145
OG0000099	DR083_RS04630	DR095_RS01200
OG0000100	DR083_RS00805	DR095_RS01210
OG0000101	DR083_RS00800	DR095_RS01215
OG0000102	DR083_RS02100	DR095_RS01225
OG0000103	DR083_RS02750	DR095_RS01275
OG0000104	DR083_RS02745	DR095_RS01280
OG0000105	DR083_RS02730	DR095_RS01295
OG0000106	DR083_RS02720	DR095_RS01305
OG0000107	DR083_RS02710	DR095_RS01315
OG0000108	DR083_RS02705	DR095_RS01320
OG0000109	DR083_RS02700	DR095_RS01325
OG0000110	DR083_RS03140	DR095_RS01330
OG0000111	DR083_RS03135	DR095_RS01335
OG0000112	DR083_RS03125	DR095_RS01345
OG0000113	DR083_RS03315	DR095_RS03830
OG0000114	DR083_RS03305	DR095_RS01370
OG0000115	DR083_RS03290	DR095_RS01380
OG0000116	DR083_RS01185	DR095_RS01390
OG0000117	DR083_RS01180	DR095_RS01395
OG0000118	DR083_RS01145	DR095_RS01425
OG0000119	DR083_RS01140	DR095_RS01430
OG0000120	DR083_RS01125	DR095_RS01445
OG0000121	DR083_RS01100	DR095_RS01470
OG0000122	DR083_RS01095	DR095_RS01475
OG0000123	DR083_RS01075	DR095_RS01495
OG0000124	DR083_RS01070	DR095_RS01500
OG0000125	DR083_RS01065	DR095_RS01505
OG0000126	DR083_RS01055	DR095_RS01515
OG0000127	DR083_RS01045	DR095_RS01525
OG0000128	DR083_RS01030	DR095_RS02900
OG0000129	DR083_RS01025	DR095_RS02905
OG0000130	DR083_RS01015	DR095_RS02915
OG0000131	DR083_RS00985	DR095_RS02945
OG0000132	DR083_RS04660	DR095_RS04000
OG0000133	DR083_RS02355	DR095_RS00015
OG0000134	DR083_RS04790	DR095_RS03750
OG0000135	DR083_RS02375	DR095_RS00035
OG0000136	DR083_RS02380	DR095_RS00040
OG0000137	DR083_RS02420	DR095_RS00070
OG0000138	DR083_RS03185	DR095_RS00095
OG0000139	DR083_RS03155	DR095_RS00125
OG0000140	DR083_RS03150	DR095_RS00130
OG0000141	DR083_RS00725	DR095_RS00155
OG0000142	DR083_RS04625	DR095_RS03765
OG0000143	DR083_RS00695	DR095_RS00185
OG0000144	DR083_RS00685	DR095_RS00195
OG0000145	DR083_RS00675	DR095_RS00205
OG0000146	DR083_RS00665	DR095_RS00215
OG0000147	DR083_RS00660	DR095_RS00220
OG0000148	DR083_RS00645	DR095_RS00235
OG0000149	DR083_RS00635	DR095_RS00245
OG0000150	DR083_RS00620	DR095_RS00260
OG0000151	DR083_RS00575	DR095_RS00315
OG0000152	DR083_RS00570	DR095_RS00320
OG0000153	DR083_RS00565	DR095_RS00325
OG0000154	DR083_RS00555	DR095_RS00335
OG0000155	DR083_RS03340	DR095_RS00355
OG0000156	DR083_RS02140	DR095_RS00390
OG0000157	DR083_RS04765	DR095_RS03780
OG0000158	DR083_RS04770	DR095_RS03785
OG0000159	DR083_RS04945	DR095_RS00635
OG0000160	DR083_RS00360	DR095_RS00640
OG0000161	DR083_RS00355	DR095_RS00650
OG0000162	DR083_RS00345	DR095_RS02680
OG0000163	DR083_RS00340	DR095_RS02685
OG0000164	DR083_RS03555	DR095_RS03975
OG0000165	DR083_RS01545	DR095_RS02760
OG0000166	DR083_RS01565	DR095_RS02780
OG0000167	DR083_RS01580	DR095_RS02795
