Orthogroup	MHP_MHP650_genes	MHP_UFV01_genes
OG0000000	DR083_RS02765	FEF30_RS02570
OG0000000	DR083_RS04550, DR083_RS03535	FEF30_RS02500
OG0000000	DR083_RS04515	FEF30_RS02690
OG0000000	DR083_RS04520	FEF30_RS02695
OG0000000	DR083_RS04215	FEF30_RS02035
OG0000001	DR083_RS04075	FEF30_RS01595
OG0000001	DR083_RS00590	FEF30_RS03180
OG0000001	DR083_RS00540	FEF30_RS03125
OG0000002	DR083_RS04320	FEF30_RS02580
OG0000002	DR083_RS02760	FEF30_RS02575
OG0000002	DR083_RS04915	FEF30_RS04340
OG0000002	DR083_RS04760	FEF30_RS04295
OG0000003	DR083_RS04460	FEF30_RS04345
OG0000004	DR083_RS03440	FEF30_RS03550
OG0000005	DR083_RS03065	FEF30_RS00415
OG0000005	DR083_RS03050	FEF30_RS04180
OG0000005	DR083_RS04870	FEF30_RS00425, FEF30_RS04185
OG0000006	DR083_RS04420	FEF30_RS02880
OG0000006	DR083_RS03320	FEF30_RS02730
OG0000007	DR083_RS03475	FEF30_RS02555
OG0000007	DR083_RS03470	FEF30_RS02545
OG0000007	DR083_RS03465	FEF30_RS02540
OG0000008	DR083_RS04510	FEF30_RS02685
OG0000008	DR083_RS04540	FEF30_RS02885
OG0000009	DR083_RS01225	FEF30_RS00980
OG0000009	DR083_RS01930	FEF30_RS01500
OG0000009	DR083_RS01240	FEF30_RS00990
OG0000010	DR083_RS02305	FEF30_RS02240
OG0000010	DR083_RS04910	FEF30_RS04280
OG0000011	DR083_RS01555	FEF30_RS02330
OG0000011	DR083_RS01550	FEF30_RS02325
OG0000012	DR083_RS03720	FEF30_RS03655
OG0000013	DR083_RS05105	FEF30_RS02775
OG0000013	DR083_RS03885	FEF30_RS00500
OG0000014	DR083_RS03770	FEF30_RS00910
OG0000014	DR083_RS04890	FEF30_RS04210
OG0000016	DR083_RS00630	FEF30_RS03220
OG0000016	DR083_RS00040	FEF30_RS00485
OG0000017	DR083_RS00025	FEF30_RS00470
OG0000017	DR083_RS00640	FEF30_RS03230
OG0000020	DR083_RS04635	FEF30_RS00265
OG0000020	DR083_RS04640	FEF30_RS03755
OG0000021	DR083_RS02335	FEF30_RS00820
OG0000022	DR083_RS02055	FEF30_RS01975
OG0000022	DR083_RS04755	FEF30_RS04290
OG0000024	DR083_RS03365	FEF30_RS03120
OG0000024	DR083_RS01215	FEF30_RS01585
OG0000025	DR083_RS04750	FEF30_RS04285
OG0000025	DR083_RS02105	FEF30_RS02025
OG0000026	DR083_RS01120	FEF30_RS01680
OG0000026	DR083_RS02085	FEF30_RS02005
OG0000027	DR083_RS02995	FEF30_RS00060
OG0000027	DR083_RS04880	FEF30_RS04125
OG0000029	DR083_RS02525	FEF30_RS01390
OG0000029	DR083_RS03325	FEF30_RS00925
OG0000030	DR083_RS04855	FEF30_RS04110
OG0000030	DR083_RS04885	FEF30_RS04120
OG0000031	DR083_RS03560	FEF30_RS01920
OG0000032	DR083_RS03215	FEF30_RS00065
OG0000034	DR083_RS04525	FEF30_RS02525
OG0000035	DR083_RS03445	FEF30_RS03545
OG0000036	DR083_RS03040	FEF30_RS00430, FEF30_RS00445
OG0000039	DR083_RS03505	FEF30_RS01930
OG0000040	DR083_RS02780	FEF30_RS03620
OG0000041	DR083_RS01230	FEF30_RS00985
OG0000042	DR083_RS00730	FEF30_RS03315
OG0000043	DR083_RS01520	FEF30_RS02295, FEF30_RS02105
OG0000044	DR083_RS04960	FEF30_RS04460
OG0000044	DR083_RS02245	FEF30_RS02200
OG0000045	DR083_RS03515	FEF30_RS01935, FEF30_RS01940
OG0000048	DR083_RS02860	FEF30_RS02480
OG0000049	DR083_RS01660	FEF30_RS03400
OG0000050	DR083_RS00350	FEF30_RS02820
OG0000051	DR083_RS02195	FEF30_RS03030
OG0000052	DR083_RS02690	FEF30_RS00405
OG0000053	DR083_RS04665	FEF30_RS04260
OG0000054	DR083_RS00375	FEF30_RS02845
OG0000055	DR083_RS00005	FEF30_RS00450
OG0000057	DR083_RS03975, DR083_RS03980	FEF30_RS03300
OG0000058	DR083_RS02505	FEF30_RS02120
OG0000059	DR083_RS04445	FEF30_RS02110
OG0000060	DR083_RS02685	FEF30_RS01505
OG0000061	DR083_RS02315	FEF30_RS01900, FEF30_RS02250
