#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:94070-95866|+   -            599 501at2085            -            526  7.6e-249  822.1   8.9   1   1  1.1e-250  1.5e-248  821.0   8.9     1   526     1   594     1   594 0.93 scf00000000_76 # 94070 # 95866 # 1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.345
scf00000000:97198-99282|-   -            695 501at2085            -            526   5.9e-47  155.9   1.2   1   4   1.8e-36   2.5e-34  114.2   0.1     4   153     8   162     5   186 0.86 scf00000000_78 # 97198 # 99282 # -1 # ID=1_78;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.373
scf00000000:97198-99282|-   -            695 501at2085            -            526   5.9e-47  155.9   1.2   2   4      0.53        75   -2.9   0.0   155   173   263   281   256   293 0.80 scf00000000_78 # 97198 # 99282 # -1 # ID=1_78;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.373
scf00000000:97198-99282|-   -            695 501at2085            -            526   5.9e-47  155.9   1.2   3   4     6e-12   8.5e-10   33.2   0.1   170   339   301   485   289   498 0.69 scf00000000_78 # 97198 # 99282 # -1 # ID=1_78;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.373
scf00000000:97198-99282|-   -            695 501at2085            -            526   5.9e-47  155.9   1.2   4   4    0.0026      0.37    4.7   0.0   350   411   607   675   595   691 0.78 scf00000000_78 # 97198 # 99282 # -1 # ID=1_78;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.373
scf00000000:757633-759432|- -            600 501at2085            -            526   2.5e-19   64.7   2.9   1   3   1.7e-21   2.5e-19   64.7   2.9    10   196   117   308   115   321 0.77 scf00000000_594 # 757633 # 759432 # -1 # ID=1_594;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
scf00000000:757633-759432|- -            600 501at2085            -            526   2.5e-19   64.7   2.9   2   3      0.65        92   -3.2   0.5   136   181   389   434   381   451 0.73 scf00000000_594 # 757633 # 759432 # -1 # ID=1_594;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
scf00000000:757633-759432|- -            600 501at2085            -            526   2.5e-19   64.7   2.9   3   3      0.34        48   -2.2   0.0   382   408   480   506   460   516 0.80 scf00000000_594 # 757633 # 759432 # -1 # ID=1_594;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
scf00000000:695554-696762|- -            403 501at2085            -            526     2e-18   61.7   2.9   1   2   3.7e-20   5.2e-18   60.3   0.2     8   140    20   155    14   168 0.88 scf00000000_542 # 695554 # 696762 # -1 # ID=1_542;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.403
scf00000000:695554-696762|- -            403 501at2085            -            526     2e-18   61.7   2.9   2   2     0.023       3.3    1.6   0.2   161   256   205   309   194   325 0.67 scf00000000_542 # 695554 # 696762 # -1 # ID=1_542;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.403
scf00000000:92211-93512|+   -            434 501at2085            -            526   9.9e-13   42.9   0.5   1   2   5.8e-06   0.00082   13.5   0.1    62   180    45   170    35   173 0.76 scf00000000_73 # 92211 # 93512 # 1 # ID=1_73;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
scf00000000:92211-93512|+   -            434 501at2085            -            526   9.9e-13   42.9   0.5   2   2     3e-10   4.2e-08   27.7   0.1    78   168   238   340   214   363 0.81 scf00000000_73 # 92211 # 93512 # 1 # ID=1_73;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP682/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP682/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP682/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP682/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP682/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP682/Use
# Date:            Sun Dec  1 19:25:37 2024
# [ok]
