NZ_CP098238.1	+	1	1392	ID153B	+	1	1392
NZ_CP098238.1	+	1537	2673	ID153B	+	1537	2673
NZ_CP098238.1	+	2777	4636	ID153B	+	2777	4636
NZ_CP098238.1	+	4636	5094	ID153B	+	4636	5094
NZ_CP098238.1	+	5108	6091	ID153B	+	5108	6091
NZ_CP098238.1	+	6084	7055	ID153B	+	6084	7055
NZ_CP098238.1	+	7158	7727	ID153B	+	7158	7727
NZ_CP098238.1	+	7817	8818	ID153B	+	7817	8818
NZ_CP098238.1	+	8987	11008	ID153B	+	8987	11008
NZ_CP098238.1	+	11093	12100	ID153B	+	11093	12100
NZ_CP098238.1	+	12103	12849	ID153B	+	12103	12849
NZ_CP098238.1	+	12833	14437	ID153B	+	12833	14437
NZ_CP098238.1	+	14442	14687	ID153B	+	14442	14687
NZ_CP098238.1	+	14782	15621	ID153B	+	14782	15621
NZ_CP098238.1	+	15628	16473	ID153B	+	15628	16473
NZ_CP098238.1	-	16507	16776	ID153B	-	16507	16776
NZ_CP098238.1	+	16915	17196	ID153B	+	16915	17196
NZ_CP098238.1	+	17342	17956	ID153B	+	17342	17956
NZ_CP098238.1	-	18268	18594	ID153B	-	18268	18594
NZ_CP098238.1	-	18653	20929	ID153B	-	18653	20929
NZ_CP098238.1	-	21003	23330	ID153B	-	21003	23330
NZ_CP098238.1	-	23317	24138	ID153B	-	23317	24138
NZ_CP098238.1	-	24307	25131	ID153B	-	24307	25131
NZ_CP098238.1	-	25311	26588	ID153B	-	25311	26588
NZ_CP098238.1	-	26699	29025	ID153B	-	26699	29025
NZ_CP098238.1	-	29012	29815	ID153B	-	29012	29815
NZ_CP098238.1	+	30190	30669	ID153B	+	30190	30669
NZ_CP098238.1	-	30892	32550	ID153B	-	30892	32550
NZ_CP098238.1	+	32891	33184	ID153B	+	615367	617025
NZ_CP098238.1	+	33177	34496	seqID	-	start	end
NZ_CP098238.1	+	34489	35889	seqID	-	start	end
NZ_CP098238.1	+	36125	36628	seqID	-	start	end
NZ_CP098238.1	-	36745	37338	seqID	+	start	end
NZ_CP098238.1	-	37316	39976	seqID	+	start	end
NZ_CP098238.1	-	39976	42516	seqID	+	start	end
NZ_CP098238.1	-	42509	44437	seqID	+	start	end
NZ_CP098238.1	+	44648	45658	seqID	-	start	end
NZ_CP098238.1	+	45757	47658	seqID	-	start	end
NZ_CP098238.1	-	47758	49842	seqID	+	start	end
NZ_CP098238.1	-	49848	50081	seqID	+	start	end
NZ_CP098238.1	-	50135	51661	seqID	+	start	end
NZ_CP098238.1	-	51678	52691	seqID	+	start	end
NZ_CP098238.1	+	52931	53653	seqID	-	start	end
NZ_CP098238.1	+	53655	54914	seqID	-	start	end
NZ_CP098238.1	+	54999	55370	seqID	-	start	end
NZ_CP098238.1	+	55374	56582	seqID	-	start	end
NZ_CP098238.1	+	56677	57009	seqID	-	start	end
NZ_CP098238.1	+	57054	58211	seqID	-	start	end
NZ_CP098238.1	+	58647	59375	seqID	-	start	end
NZ_CP098238.1	+	59403	59708	seqID	-	start	end
NZ_CP098238.1	+	59762	60328	seqID	-	start	end
NZ_CP098238.1	+	60328	60891	seqID	-	start	end
NZ_CP098238.1	+	60910	62433	seqID	-	start	end
NZ_CP098238.1	+	62462	63292	seqID	-	start	end
NZ_CP098238.1	+	63310	64725	seqID	-	start	end
NZ_CP098238.1	+	64712	64972	seqID	-	start	end
NZ_CP098238.1	+	65080	65565	seqID	-	start	end
NZ_CP098238.1	+	65781	66737	seqID	-	start	end
NZ_CP098238.1	+	66762	67673	seqID	-	start	end
NZ_CP098238.1	+	67758	69080	seqID	-	start	end
NZ_CP098238.1	+	69108	70475	seqID	-	start	end
NZ_CP098238.1	+	70468	72309	seqID	-	start	end
NZ_CP098238.1	+	72891	74360	seqID	-	start	end
NZ_CP098238.1	+	74367	75140	seqID	-	start	end
NZ_CP098238.1	+	75134	75964	seqID	-	start	end
NZ_CP098238.1	+	75982	77226	seqID	-	start	end
NZ_CP098238.1	+	77299	81999	seqID	-	start	end
NZ_CP098238.1	+	82113	84950	seqID	-	start	end
NZ_CP098238.1	-	85008	86558	seqID	+	start	end
NZ_CP098238.1	+	86676	86984	seqID	-	start	end
NZ_CP098238.1	+	87172	88974	seqID	-	start	end
NZ_CP098238.1	+	89184	90308	seqID	-	start	end
NZ_CP098238.1	+	90367	91056	seqID	-	start	end
NZ_CP098238.1	+	91074	92375	seqID	-	start	end
NZ_CP098238.1	+	92427	92699	seqID	-	start	end
NZ_CP098238.1	+	92702	92932	seqID	-	start	end
NZ_CP098238.1	+	92933	94728	seqID	-	start	end
NZ_CP098238.1	+	94800	95747	seqID	-	start	end
NZ_CP098238.1	-	96061	98145	seqID	+	start	end
NZ_CP098238.1	-	98158	98628	seqID	+	start	end
NZ_CP098238.1	-	98679	99098	seqID	+	start	end
NZ_CP098238.1	-	99229	99609	seqID	+	start	end
NZ_CP098238.1	-	99613	100125	seqID	+	start	end
NZ_CP098238.1	-	100116	100616	seqID	+	start	end
NZ_CP098238.1	+	100880	102253	seqID	-	start	end
NZ_CP098238.1	+	102440	103822	seqID	-	start	end
NZ_CP098238.1	-	104003	105286	seqID	+	start	end
NZ_CP098238.1	-	105291	105989	seqID	+	start	end
NZ_CP098238.1	-	106706	109657	seqID	+	start	end
NZ_CP098238.1	-	109968	110043	seqID	+	start	end
NZ_CP098238.1	-	110045	110120	seqID	+	start	end
NZ_CP098238.1	-	110123	110197	seqID	+	start	end
NZ_CP098238.1	-	110249	110339	seqID	+	start	end
NZ_CP098238.1	-	110344	110419	seqID	+	start	end
NZ_CP098238.1	-	110480	110556	seqID	+	start	end
NZ_CP098238.1	-	110561	110637	seqID	+	start	end
NZ_CP098238.1	-	110644	110720	seqID	+	start	end
NZ_CP098238.1	-	110802	110878	seqID	+	start	end
NZ_CP098238.1	+	110929	111747	seqID	-	start	end
NZ_CP098238.1	-	112031	113503	seqID	+	start	end
NZ_CP098238.1	-	113493	114122	seqID	+	start	end
NZ_CP098238.1	+	114428	114689	seqID	-	start	end
NZ_CP098238.1	+	114963	115679	seqID	-	start	end
NZ_CP098238.1	-	116070	118913	seqID	+	start	end
NZ_CP098238.1	-	118906	121398	seqID	+	start	end
NZ_CP098238.1	-	121594	121926	seqID	+	start	end
NZ_CP098238.1	+	122082	123647	seqID	-	start	end
NZ_CP098238.1	-	123670	124257	seqID	+	start	end
NZ_CP098238.1	+	124414	124487	seqID	-	start	end
NZ_CP098238.1	+	124627	125118	seqID	-	start	end
NZ_CP098238.1	+	125642	126628	seqID	-	start	end
NZ_CP098238.1	+	126765	127682	seqID	-	start	end
NZ_CP098238.1	+	127707	131141	seqID	-	start	end
NZ_CP098238.1	+	131150	134080	seqID	-	start	end
NZ_CP098238.1	-	134085	136163	seqID	+	start	end
NZ_CP098238.1	+	136346	137074	seqID	-	start	end
NZ_CP098238.1	+	137197	137463	seqID	-	start	end
NZ_CP098238.1	+	137594	137976	seqID	-	start	end
NZ_CP098238.1	-	138095	141026	seqID	+	start	end
NZ_CP098238.1	-	141047	144253	seqID	+	start	end
NZ_CP098238.1	-	144666	145094	seqID	+	start	end
NZ_CP098238.1	+	145664	145984	seqID	-	start	end
NZ_CP098238.1	+	145986	146678	seqID	-	start	end
NZ_CP098238.1	+	146671	147315	seqID	-	start	end
NZ_CP098238.1	+	147319	147822	seqID	-	start	end
NZ_CP098238.1	+	147943	148791	seqID	-	start	end
NZ_CP098238.1	+	148791	149063	seqID	-	start	end
NZ_CP098238.1	+	149077	149688	seqID	-	start	end
NZ_CP098238.1	+	149688	150371	seqID	-	start	end
NZ_CP098238.1	+	150374	150784	seqID	-	start	end
NZ_CP098238.1	+	150792	151157	seqID	-	start	end
NZ_CP098238.1	+	151150	151437	seqID	-	start	end
NZ_CP098238.1	+	151439	151807	seqID	-	start	end
NZ_CP098238.1	+	151812	152135	seqID	-	start	end
NZ_CP098238.1	+	152139	152684	seqID	-	start	end
NZ_CP098238.1	+	152730	152915	seqID	-	start	end
NZ_CP098238.1	+	152921	153316	seqID	-	start	end
NZ_CP098238.1	+	153323	153862	seqID	-	start	end
NZ_CP098238.1	+	153865	154230	seqID	-	start	end
NZ_CP098238.1	+	154232	154882	seqID	-	start	end
NZ_CP098238.1	+	154994	155437	seqID	-	start	end
NZ_CP098238.1	+	155437	156858	seqID	-	start	end
NZ_CP098238.1	+	156904	157542	seqID	-	start	end
NZ_CP098238.1	+	157533	158285	seqID	-	start	end
NZ_CP098238.1	+	158286	158513	seqID	-	start	end
NZ_CP098238.1	+	158559	158672	seqID	-	start	end
NZ_CP098238.1	+	158818	159231	seqID	-	start	end
NZ_CP098238.1	+	159234	159638	seqID	-	start	end
NZ_CP098238.1	+	159645	160643	seqID	-	start	end
NZ_CP098238.1	+	160646	161008	seqID	-	start	end
NZ_CP098238.1	-	161215	161937	seqID	+	start	end
NZ_CP098238.1	-	161918	162346	seqID	+	start	end
NZ_CP098238.1	-	162339	163484	seqID	+	start	end
NZ_CP098238.1	-	163477	164190	seqID	+	start	end
NZ_CP098238.1	-	164191	164652	seqID	+	start	end
NZ_CP098238.1	-	164624	165274	seqID	+	start	end
NZ_CP098238.1	-	165607	166803	seqID	+	start	end
