Orthogroup	MHP_4284_genes	MHP_MHP679_genes
OG0000000	ABLE99_RS01670	DR086_RS04250, DR086_RS04245
OG0000001	ABLE99_RS01250	DR086_RS03435
OG0000001	ABLE99_RS02690	DR086_RS01010
OG0000001	ABLE99_RS02640	DR086_RS03200, DR086_RS03195
OG0000002	ABLE99_RS02040, ABLE99_RS02035	DR086_RS04310
OG0000002	ABLE99_RS02210	DR086_RS05060
OG0000002	ABLE99_RS01675	DR086_RS04880
OG0000003	ABLE99_RS02155	DR086_RS05055
OG0000003	ABLE99_RS01760	DR086_RS05085
OG0000004	ABLE99_RS03080, ABLE99_RS03085	DR086_RS03630
OG0000004	ABLE99_RS03095	DR086_RS03555
OG0000004	ABLE99_RS02905	DR086_RS00615
OG0000005	ABLE99_RS00100	DR086_RS03245
OG0000005	ABLE99_RS00105	DR086_RS03255
OG0000005	ABLE99_RS00110, ABLE99_RS00125	DR086_RS05035
OG0000006	ABLE99_RS02400	DR086_RS04315
OG0000006	ABLE99_RS02260	DR086_RS04535
OG0000007	ABLE99_RS02160	DR086_RS03485
OG0000007	ABLE99_RS02170	DR086_RS03495
OG0000008	ABLE99_RS01590	DR086_RS04265
OG0000008	ABLE99_RS02405	DR086_RS02140
OG0000010	ABLE99_RS01770	DR086_RS00810
OG0000011	ABLE99_RS01865	DR086_RS00450
OG0000011	ABLE99_RS01860	DR086_RS00445
OG0000013	ABLE99_RS02310	DR086_RS03105
OG0000014	ABLE99_RS01060	DR086_RS04970
OG0000015	ABLE99_RS01585	DR086_RS03685
OG0000016	ABLE99_RS02735	DR086_RS01050
OG0000016	ABLE99_RS00170	DR086_RS00030
OG0000017	ABLE99_RS00155	DR086_RS00015
OG0000017	ABLE99_RS02745	DR086_RS01060
OG0000019	ABLE99_RS02920, ABLE99_RS02915, ABLE99_RS02900, ABLE99_RS02930	DR086_RS04570
OG0000020	ABLE99_RS03415	DR086_RS02470
OG0000022	ABLE99_RS01610	DR086_RS01645
OG0000022	ABLE99_RS01665	DR086_RS04885
OG0000023	ABLE99_RS01285	DR086_RS02015, DR086_RS04105
OG0000024	ABLE99_RS02635	DR086_RS03190
OG0000025	ABLE99_RS01615	DR086_RS04890
OG0000025	ABLE99_RS01660	DR086_RS01595
OG0000026	ABLE99_RS01330	DR086_RS01970
OG0000026	ABLE99_RS01640	DR086_RS01615
OG0000027	ABLE99_RS03220	DR086_RS05030
OG0000028	ABLE99_RS02320	DR086_RS02225, DR086_RS03150
OG0000029	ABLE99_RS00595	DR086_RS02730
OG0000030	ABLE99_RS03215	DR086_RS05025
OG0000032	ABLE99_RS01535	DR086_RS03980
OG0000033	ABLE99_RS02315	DR086_RS05010
OG0000034	ABLE99_RS02185	DR086_RS04575
OG0000034	ABLE99_RS02190	DR086_RS04725
OG0000034	ABLE99_RS02200	DR086_RS03855, DR086_RS01000
OG0000034	ABLE99_RS02175	DR086_RS03590
OG0000036	ABLE99_RS00115, ABLE99_RS00130	DR086_RS03265
OG0000037	ABLE99_RS01540	DR086_RS04510
OG0000039	ABLE99_RS01570, ABLE99_RS01565	DR086_RS03295
OG0000040	ABLE99_RS03165	DR086_RS02360
OG0000041	ABLE99_RS01155	DR086_RS02480
OG0000042	ABLE99_RS02830	DR086_RS02970
OG0000043	ABLE99_RS01830	DR086_RS00750, DR086_RS00415
OG0000044	ABLE99_RS01625	DR086_RS05095
OG0000045	ABLE99_RS01575	DR086_RS03290
OG0000046	ABLE99_RS03195	DR086_RS04940
OG0000048	ABLE99_RS02015	DR086_RS00610
OG0000049	ABLE99_RS02940	DR086_RS01430
OG0000050	ABLE99_RS02350	DR086_RS02195
OG0000051	ABLE99_RS02550	DR086_RS00855
OG0000052	ABLE99_RS00075	DR086_RS01150
OG0000053	ABLE99_RS01415	DR086_RS04905
OG0000054	ABLE99_RS02375	DR086_RS02170
OG0000055	ABLE99_RS00135	DR086_RS03270
OG0000056	ABLE99_RS03395	DR086_RS02455
OG0000057	ABLE99_RS02815	DR086_RS01130
OG0000062	ABLE99_RS03445	DR086_RS01260
OG0000063	ABLE99_RS03440	DR086_RS04835
OG0000064	ABLE99_RS03430	DR086_RS01275
OG0000065	ABLE99_RS02085	DR086_RS02080
OG0000066	ABLE99_RS01320	DR086_RS01980
OG0000067	ABLE99_RS00520	DR086_RS02240
OG0000068	ABLE99_RS01015	DR086_RS02750
OG0000068	ABLE99_RS01015	DR086_RS01570
OG0000069	ABLE99_RS02710	DR086_RS01025
OG0000070	ABLE99_RS02380	DR086_RS02165
OG0000071	ABLE99_RS03155	DR086_RS02350
OG0000072	ABLE99_RS03160	DR086_RS04935
OG0000073	ABLE99_RS00970	DR086_RS03040
OG0000074	ABLE99_RS00775	DR086_RS04990
OG0000075	ABLE99_RS00340	DR086_RS03840, DR086_RS00210
OG0000076	ABLE99_RS00355	DR086_RS00225
OG0000077	ABLE99_RS00440	DR086_RS00315
OG0000078	ABLE99_RS01630	DR086_RS01625
OG0000079	ABLE99_RS02455	DR086_RS00950
OG0000080	ABLE99_RS02500	DR086_RS04145
OG0000081	ABLE99_RS00335	DR086_RS00205
OG0000082	ABLE99_RS02300	DR086_RS03110
OG0000083	ABLE99_RS01935	DR086_RS00520
OG0000084	ABLE99_RS01965	DR086_RS00545
OG0000085	ABLE99_RS01970	DR086_RS00550
OG0000086	ABLE99_RS01980	DR086_RS00560
OG0000087	ABLE99_RS01995	DR086_RS00575
OG0000088	ABLE99_RS02000	DR086_RS00580
OG0000089	ABLE99_RS02010	DR086_RS00590
OG0000090	ABLE99_RS00070	DR086_RS01155
OG0000091	ABLE99_RS00055	DR086_RS01170
OG0000092	ABLE99_RS00040	DR086_RS01185
OG0000093	ABLE99_RS00035	DR086_RS01190
OG0000094	ABLE99_RS00030	DR086_RS01195
OG0000095	ABLE99_RS00005	DR086_RS01220
OG0000096	ABLE99_RS03480	DR086_RS01225
OG0000097	ABLE99_RS03460	DR086_RS01245
OG0000098	ABLE99_RS03450	DR086_RS01255
OG0000099	ABLE99_RS03400	DR086_RS04950
OG0000100	ABLE99_RS03385	DR086_RS02445
OG0000101	ABLE99_RS03380	DR086_RS02440
OG0000102	ABLE99_RS01655	DR086_RS01600
OG0000103	ABLE99_RS02050	DR086_RS02115
OG0000104	ABLE99_RS02055	DR086_RS02110
OG0000105	ABLE99_RS02070	DR086_RS02095
OG0000106	ABLE99_RS02080	DR086_RS02085
OG0000107	ABLE99_RS02090	DR086_RS02075
OG0000108	ABLE99_RS02095	DR086_RS02070
OG0000109	ABLE99_RS02100	DR086_RS02065
OG0000110	ABLE99_RS02290	DR086_RS03120
OG0000111	ABLE99_RS02285	DR086_RS03125
OG0000112	ABLE99_RS02275	DR086_RS03135
OG0000113	ABLE99_RS02255	DR086_RS05050
OG0000114	ABLE99_RS02245	DR086_RS03455
OG0000115	ABLE99_RS02235	DR086_RS03475
OG0000116	ABLE99_RS01265	DR086_RS03410
OG0000117	ABLE99_RS01270	DR086_RS03405
OG0000118	ABLE99_RS01305	DR086_RS01995
OG0000119	ABLE99_RS01310	DR086_RS01990
OG0000120	ABLE99_RS01325	DR086_RS01975
OG0000121	ABLE99_RS01350	DR086_RS01950
OG0000122	ABLE99_RS01355	DR086_RS01945
OG0000123	ABLE99_RS01375	DR086_RS01925
OG0000124	ABLE99_RS01380	DR086_RS01920
OG0000125	ABLE99_RS01385	DR086_RS01915
OG0000126	ABLE99_RS01395	DR086_RS01900
OG0000127	ABLE99_RS01405	DR086_RS01890
OG0000128	ABLE99_RS01420	DR086_RS01875
OG0000129	ABLE99_RS01425	DR086_RS01870
OG0000130	ABLE99_RS01435	DR086_RS01860
OG0000131	ABLE99_RS01465	DR086_RS01830
OG0000132	ABLE99_RS01480	DR086_RS04900
OG0000133	ABLE99_RS00525	DR086_RS02245
OG0000134	ABLE99_RS00530	DR086_RS02250
OG0000135	ABLE99_RS00545	DR086_RS02265
OG0000136	ABLE99_RS00550	DR086_RS02270
OG0000137	ABLE99_RS00580	DR086_RS02310
OG0000138	ABLE99_RS01040	DR086_RS02775
OG0000139	ABLE99_RS01010	DR086_RS02745
OG0000140	ABLE99_RS01005	DR086_RS02740
OG0000141	ABLE99_RS02825	DR086_RS03720
OG0000142	ABLE99_RS02820	DR086_RS04820
OG0000143	ABLE99_RS02800	DR086_RS01115
OG0000144	ABLE99_RS02790	DR086_RS01105
OG0000145	ABLE99_RS02780	DR086_RS01095
OG0000146	ABLE99_RS02770	DR086_RS01085
OG0000147	ABLE99_RS02765	DR086_RS01080
OG0000148	ABLE99_RS02750	DR086_RS01065
OG0000149	ABLE99_RS02740	DR086_RS01055
OG0000150	ABLE99_RS02725	DR086_RS01040
OG0000151	ABLE99_RS02675	DR086_RS03230
OG0000152	ABLE99_RS02670	DR086_RS03225
OG0000153	ABLE99_RS02665	DR086_RS03220
OG0000154	ABLE99_RS02655	DR086_RS03210
OG0000155	ABLE99_RS02615	DR086_RS03005
OG0000156	ABLE99_RS02610	DR086_RS02995
