Orthogroup	MHP_4284_genes	MHP_133A_genes
OG0000000	ABLE99_RS02150	NB626_RS02350
OG0000000	ABLE99_RS02215	NB626_RS02275
OG0000000	ABLE99_RS01670	NB626_RS01835, NB626_RS01840, NB626_RS01850
OG0000001	ABLE99_RS01250	NB626_RS01400
OG0000001	ABLE99_RS02640	NB626_RS02930
OG0000002	ABLE99_RS02040	NB626_RS02360
OG0000002	ABLE99_RS02210	NB626_RS02280
OG0000002	ABLE99_RS01675	NB626_RS01855
OG0000003	ABLE99_RS00505	NB626_RS00600
OG0000003	ABLE99_RS01760	NB626_RS01965, NB626_RS01970
OG0000004	ABLE99_RS03080	NB626_RS03385
OG0000004	ABLE99_RS03085	NB626_RS03390
OG0000004	ABLE99_RS03095	NB626_RS03400
OG0000004	ABLE99_RS02895	NB626_RS03200
OG0000004	ABLE99_RS02925	NB626_RS03220
OG0000005	ABLE99_RS00100	NB626_RS00100
OG0000005	ABLE99_RS00120	NB626_RS00120
OG0000005	ABLE99_RS00105	NB626_RS00110
OG0000005	ABLE99_RS00125	NB626_RS00125
OG0000006	ABLE99_RS02400	NB626_RS02680, NB626_RS02685
OG0000007	ABLE99_RS02160	NB626_RS02340
OG0000007	ABLE99_RS02165	NB626_RS02320
OG0000008	ABLE99_RS02145	NB626_RS02470
OG0000008	ABLE99_RS01590	NB626_RS01750
OG0000008	ABLE99_RS02405	NB626_RS02690
OG0000009	ABLE99_RS00085	NB626_RS00085
OG0000009	ABLE99_RS00995	NB626_RS00780
OG0000010	ABLE99_RS01770	NB626_RS01975
OG0000011	ABLE99_RS01865	NB626_RS02080
OG0000013	ABLE99_RS02310	NB626_RS02565
OG0000014	ABLE99_RS00590	NB626_RS00695
OG0000014	ABLE99_RS01060	NB626_RS00705
OG0000015	ABLE99_RS01525	NB626_RS00515
OG0000016	ABLE99_RS00170	NB626_RS00170
OG0000017	ABLE99_RS00155	NB626_RS00155
OG0000017	ABLE99_RS02745	NB626_RS03035
OG0000019	ABLE99_RS02920	NB626_RS03205, NB626_RS03215
OG0000019	ABLE99_RS02930	NB626_RS03225
OG0000020	ABLE99_RS03415	NB626_RS03760
OG0000022	ABLE99_RS01610	NB626_RS01775
OG0000022	ABLE99_RS01665	NB626_RS01830
OG0000023	ABLE99_RS01285	NB626_RS01435, NB626_RS00490
OG0000024	ABLE99_RS02635	NB626_RS02925
OG0000024	ABLE99_RS01245	NB626_RS01390
OG0000025	ABLE99_RS01615	NB626_RS01780
OG0000025	ABLE99_RS01660	NB626_RS01825
OG0000026	ABLE99_RS01330	NB626_RS01480
OG0000026	ABLE99_RS01640	NB626_RS01805
OG0000027	ABLE99_RS03220	NB626_RS03540
OG0000028	ABLE99_RS02320	NB626_RS02595
OG0000029	ABLE99_RS00595	NB626_RS01205
OG0000030	ABLE99_RS03215	NB626_RS03530
OG0000031	ABLE99_RS01555	NB626_RS01710
OG0000032	ABLE99_RS01535	NB626_RS01690
OG0000033	ABLE99_RS02315	NB626_RS02570
OG0000035	ABLE99_RS03090	NB626_RS03395
OG0000036	ABLE99_RS00115	NB626_RS00115
OG0000036	ABLE99_RS00130	NB626_RS00130
OG0000037	ABLE99_RS01540	NB626_RS01700
OG0000038	ABLE99_RS00495	NB626_RS00595
OG0000038	ABLE99_RS01685	NB626_RS01885
OG0000039	ABLE99_RS01570, ABLE99_RS01565	NB626_RS01720
OG0000040	ABLE99_RS03165	NB626_RS03470
OG0000041	ABLE99_RS01155	NB626_RS01305
OG0000043	ABLE99_RS01830	NB626_RS02045
OG0000044	ABLE99_RS01625	NB626_RS01790
OG0000044	ABLE99_RS01720	NB626_RS01915
OG0000045	ABLE99_RS01575	NB626_RS01725
OG0000048	ABLE99_RS02015	NB626_RS02235
OG0000049	ABLE99_RS02940	NB626_RS03235
OG0000050	ABLE99_RS02350	NB626_RS02625
OG0000051	ABLE99_RS02550	NB626_RS02835
OG0000052	ABLE99_RS00075	NB626_RS00075
OG0000053	ABLE99_RS01415	NB626_RS01570
OG0000054	ABLE99_RS02375	NB626_RS02650
OG0000055	ABLE99_RS00135	NB626_RS00135
OG0000056	ABLE99_RS03395	NB626_RS03740
OG0000057	ABLE99_RS02815	NB626_RS03105
OG0000061	ABLE99_RS01780	NB626_RS01985
OG0000062	ABLE99_RS03445	NB626_RS03790
OG0000063	ABLE99_RS03440	NB626_RS03785
OG0000064	ABLE99_RS03430	NB626_RS03775
OG0000065	ABLE99_RS02085	NB626_RS02405
OG0000066	ABLE99_RS01320	NB626_RS01470
OG0000068	ABLE99_RS01015	NB626_RS00745
OG0000069	ABLE99_RS02710	NB626_RS03000
OG0000070	ABLE99_RS02380	NB626_RS02655
OG0000071	ABLE99_RS03155	NB626_RS03460
OG0000072	ABLE99_RS03160	NB626_RS03465
OG0000073	ABLE99_RS00970	NB626_RS00810
OG0000074	ABLE99_RS00775	NB626_RS01020, NB626_RS01025
OG0000075	ABLE99_RS00340	NB626_RS00340
OG0000076	ABLE99_RS00355	NB626_RS00355, NB626_RS00360
OG0000077	ABLE99_RS00440	NB626_RS00540
OG0000078	ABLE99_RS01630	NB626_RS01795
OG0000079	ABLE99_RS02455	NB626_RS02740
OG0000080	ABLE99_RS02500	NB626_RS02790
OG0000081	ABLE99_RS00335	NB626_RS00335
OG0000083	ABLE99_RS01935	NB626_RS02155
OG0000084	ABLE99_RS01965	NB626_RS02185
OG0000085	ABLE99_RS01970	NB626_RS02190
OG0000086	ABLE99_RS01980	NB626_RS02200
OG0000087	ABLE99_RS01995	NB626_RS02215
OG0000088	ABLE99_RS02000	NB626_RS02220
OG0000089	ABLE99_RS02010	NB626_RS02230
OG0000090	ABLE99_RS00070	NB626_RS00070
OG0000091	ABLE99_RS00055	NB626_RS00055
OG0000092	ABLE99_RS00040	NB626_RS00045
OG0000093	ABLE99_RS00035	NB626_RS00035
OG0000094	ABLE99_RS00030	NB626_RS00030
OG0000095	ABLE99_RS00005	NB626_RS00005
OG0000096	ABLE99_RS03480	NB626_RS03825
OG0000097	ABLE99_RS03460	NB626_RS03805
