Orthogroup	MHP_4284_genes	MHP_116_genes
OG0000000	ABLE99_RS02150	ABJ972_RS02145
OG0000000	ABLE99_RS02215	ABJ972_RS02100
OG0000000	ABLE99_RS02220	ABJ972_RS02090
OG0000000	ABLE99_RS02225	ABJ972_RS02095
OG0000000	ABLE99_RS01670	ABJ972_RS01695
OG0000001	ABLE99_RS01250	ABJ972_RS01270
OG0000001	ABLE99_RS02640, ABLE99_RS02645	ABJ972_RS02675
OG0000002	ABLE99_RS02040	ABJ972_RS02150
OG0000002	ABLE99_RS02210	ABJ972_RS02105
OG0000002	ABLE99_RS01675	ABJ972_RS01715
OG0000003	ABLE99_RS00505	ABJ972_RS01765
OG0000003	ABLE99_RS01760	ABJ972_RS01815
OG0000004	ABLE99_RS03080	ABJ972_RS03105
OG0000004	ABLE99_RS03085	ABJ972_RS03110
OG0000004	ABLE99_RS03095	ABJ972_RS03120
OG0000004	ABLE99_RS02925	ABJ972_RS02945
OG0000004	ABLE99_RS02905	ABJ972_RS02940
OG0000005	ABLE99_RS00100	ABJ972_RS00100
OG0000005	ABLE99_RS00105	ABJ972_RS00105
OG0000005	ABLE99_RS00110, ABLE99_RS00125	ABJ972_RS00110
OG0000006	ABLE99_RS02400	ABJ972_RS02440
OG0000006	ABLE99_RS02260	ABJ972_RS02305
OG0000006	ABLE99_RS02230	ABJ972_RS02275
OG0000007	ABLE99_RS02160	ABJ972_RS02135
OG0000007	ABLE99_RS02165	ABJ972_RS02130
OG0000007	ABLE99_RS02170	ABJ972_RS02125
OG0000008	ABLE99_RS02145	ABJ972_RS02260
OG0000008	ABLE99_RS01590	ABJ972_RS01615
OG0000008	ABLE99_RS02405	ABJ972_RS02445
OG0000009	ABLE99_RS00085	ABJ972_RS00085
OG0000009	ABLE99_RS00995	ABJ972_RS00990, ABJ972_RS00995
OG0000010	ABLE99_RS01770	ABJ972_RS01825
OG0000011	ABLE99_RS01865	ABJ972_RS01915
OG0000011	ABLE99_RS01860	ABJ972_RS01910
OG0000013	ABLE99_RS02310	ABJ972_RS02350
OG0000014	ABLE99_RS00590	ABJ972_RS00580
OG0000014	ABLE99_RS01060	ABJ972_RS01065
OG0000015	ABLE99_RS01525	ABJ972_RS01545
OG0000015	ABLE99_RS01585	ABJ972_RS01610
OG0000016	ABLE99_RS02735	ABJ972_RS02765
OG0000016	ABLE99_RS00170	ABJ972_RS00155
OG0000017	ABLE99_RS00155	ABJ972_RS00140
OG0000017	ABLE99_RS02745	ABJ972_RS02775
OG0000018	ABLE99_RS01290	ABJ972_RS01310
OG0000019	ABLE99_RS02900	ABJ972_RS02935
OG0000019	ABLE99_RS02930	ABJ972_RS02950
OG0000020	ABLE99_RS03410	ABJ972_RS03450
OG0000020	ABLE99_RS03415	ABJ972_RS03455
OG0000021	ABLE99_RS01695	ABJ972_RS01720
OG0000022	ABLE99_RS01610	ABJ972_RS01635
OG0000022	ABLE99_RS01665	ABJ972_RS01690
OG0000023	ABLE99_RS01285	ABJ972_RS01305
OG0000024	ABLE99_RS02635	ABJ972_RS02670
OG0000024	ABLE99_RS01245	ABJ972_RS01260
OG0000025	ABLE99_RS01615	ABJ972_RS01640
OG0000025	ABLE99_RS01660	ABJ972_RS01685
OG0000026	ABLE99_RS01330	ABJ972_RS01350
OG0000026	ABLE99_RS01640	ABJ972_RS01665
OG0000027	ABLE99_RS03220	ABJ972_RS03260
OG0000028	ABLE99_RS02320	ABJ972_RS02360
OG0000029	ABLE99_RS00595	ABJ972_RS00585
OG0000030	ABLE99_RS03215	ABJ972_RS03245
OG0000031	ABLE99_RS01555	ABJ972_RS01580
OG0000032	ABLE99_RS01535	ABJ972_RS01555
OG0000033	ABLE99_RS02315	ABJ972_RS02355
OG0000034	ABLE99_RS02200	ABJ972_RS02120
OG0000035	ABLE99_RS03090	ABJ972_RS03115
OG0000036	ABLE99_RS00130	ABJ972_RS00115
OG0000037	ABLE99_RS01540	ABJ972_RS01560
OG0000039	ABLE99_RS01570, ABLE99_RS01565	ABJ972_RS01595
OG0000040	ABLE99_RS03165	ABJ972_RS03190
OG0000042	ABLE99_RS02830	ABJ972_RS02860
OG0000043	ABLE99_RS01830	ABJ972_RS01880
OG0000044	ABLE99_RS01625	ABJ972_RS01650
OG0000045	ABLE99_RS01575	ABJ972_RS01600
OG0000048	ABLE99_RS02015	ABJ972_RS02065
OG0000049	ABLE99_RS02940	ABJ972_RS02960
OG0000050	ABLE99_RS02350	ABJ972_RS02390
OG0000051	ABLE99_RS02550	ABJ972_RS02590
OG0000052	ABLE99_RS00075	ABJ972_RS00075
OG0000053	ABLE99_RS01415	ABJ972_RS01435
OG0000054	ABLE99_RS02375	ABJ972_RS02415
OG0000055	ABLE99_RS00135	ABJ972_RS00120
OG0000056	ABLE99_RS03395	ABJ972_RS03435
OG0000057	ABLE99_RS02815	ABJ972_RS02845
OG0000060	ABLE99_RS01160	ABJ972_RS01185
OG0000061	ABLE99_RS01780	ABJ972_RS01835
OG0000062	ABLE99_RS03445	ABJ972_RS03485, ABJ972_RS03515
OG0000063	ABLE99_RS03440	ABJ972_RS03510, ABJ972_RS03480
OG0000064	ABLE99_RS03430	ABJ972_RS03470
OG0000065	ABLE99_RS02085	ABJ972_RS02200
OG0000066	ABLE99_RS01320	ABJ972_RS01340
OG0000067	ABLE99_RS00520	ABJ972_RS00510
OG0000068	ABLE99_RS01015	ABJ972_RS01025
OG0000069	ABLE99_RS02710	ABJ972_RS02740
OG0000070	ABLE99_RS02380	ABJ972_RS02420
OG0000071	ABLE99_RS03155	ABJ972_RS03180
OG0000072	ABLE99_RS03160	ABJ972_RS03185
OG0000073	ABLE99_RS00970	ABJ972_RS00965
OG0000074	ABLE99_RS00775	ABJ972_RS00765
OG0000075	ABLE99_RS00340	ABJ972_RS00325
OG0000076	ABLE99_RS00355	ABJ972_RS00340
OG0000077	ABLE99_RS00440	ABJ972_RS00425
OG0000078	ABLE99_RS01630	ABJ972_RS01655
OG0000079	ABLE99_RS02455	ABJ972_RS02495
OG0000080	ABLE99_RS02500	ABJ972_RS02540
OG0000081	ABLE99_RS00335	ABJ972_RS00320
OG0000082	ABLE99_RS02300	ABJ972_RS02345
OG0000083	ABLE99_RS01935	ABJ972_RS01985
OG0000084	ABLE99_RS01965	ABJ972_RS02015
OG0000085	ABLE99_RS01970	ABJ972_RS02020
OG0000086	ABLE99_RS01980	ABJ972_RS02030
OG0000087	ABLE99_RS01995	ABJ972_RS02045
OG0000088	ABLE99_RS02000	ABJ972_RS02050
OG0000089	ABLE99_RS02010	ABJ972_RS02060
OG0000090	ABLE99_RS00070	ABJ972_RS00070
OG0000091	ABLE99_RS00055	ABJ972_RS00055
OG0000092	ABLE99_RS00040	ABJ972_RS00040
OG0000093	ABLE99_RS00035	ABJ972_RS00035
OG0000094	ABLE99_RS00030	ABJ972_RS00030
OG0000095	ABLE99_RS00005	ABJ972_RS00005
OG0000096	ABLE99_RS03480	ABJ972_RS03550
OG0000097	ABLE99_RS03460	ABJ972_RS03530
OG0000098	ABLE99_RS03450	ABJ972_RS03520
OG0000099	ABLE99_RS03400	ABJ972_RS03440
OG0000100	ABLE99_RS03385	ABJ972_RS03425
OG0000101	ABLE99_RS03380	ABJ972_RS03420
OG0000102	ABLE99_RS01655	ABJ972_RS01680
