Orthogroup	MHP_4284_genes	MHP_ES2L_genes
OG0000000	ABLE99_RS02215	HZK19_RS02105
OG0000000	ABLE99_RS01670	HZK19_RS01690, HZK19_RS01695
OG0000001	ABLE99_RS01250	HZK19_RS03720
OG0000001	ABLE99_RS02690	HZK19_RS02765
OG0000001	ABLE99_RS02640	HZK19_RS03840
OG0000002	ABLE99_RS02035	HZK19_RS02175
OG0000002	ABLE99_RS02210	HZK19_RS02110
OG0000002	ABLE99_RS01675	HZK19_RS01705
OG0000003	ABLE99_RS02155	HZK19_RS02160
OG0000003	ABLE99_RS01760	HZK19_RS01800
OG0000004	ABLE99_RS03080	HZK19_RS03240
OG0000004	ABLE99_RS03095	HZK19_RS03255
OG0000004	ABLE99_RS02895	HZK19_RS02970
OG0000005	ABLE99_RS00100	HZK19_RS00085
OG0000005	ABLE99_RS00120	HZK19_RS00105
OG0000005	ABLE99_RS00105	HZK19_RS00090
OG0000005	ABLE99_RS00110	HZK19_RS00095
OG0000005	ABLE99_RS00125	HZK19_RS00110
OG0000006	ABLE99_RS02400	HZK19_RS02470
OG0000007	ABLE99_RS02160	HZK19_RS02155
OG0000007	ABLE99_RS02165	HZK19_RS02150
OG0000007	ABLE99_RS02170	HZK19_RS02145
OG0000008	ABLE99_RS02145	HZK19_RS03790
OG0000008	ABLE99_RS01590	HZK19_RS03745
OG0000008	ABLE99_RS02405	HZK19_RS03825
OG0000009	ABLE99_RS00995	HZK19_RS00655
OG0000010	ABLE99_RS01770	HZK19_RS01810
OG0000011	ABLE99_RS01865	HZK19_RS03920
OG0000013	ABLE99_RS02310	HZK19_RS02370
OG0000014	ABLE99_RS00590	HZK19_RS00585
OG0000014	ABLE99_RS01060	HZK19_RS00595
OG0000015	ABLE99_RS01525	HZK19_RS01540
OG0000016	ABLE99_RS02735	HZK19_RS02805
OG0000016	ABLE99_RS00170	HZK19_RS00155
OG0000017	ABLE99_RS00155	HZK19_RS00140
OG0000017	ABLE99_RS02745	HZK19_RS02815
OG0000018	ABLE99_RS01290	HZK19_RS01290
OG0000019	ABLE99_RS02900	HZK19_RS03845
OG0000019	ABLE99_RS02930	HZK19_RS03850
OG0000020	ABLE99_RS03410	HZK19_RS03860
OG0000020	ABLE99_RS03415	HZK19_RS03600
OG0000022	ABLE99_RS01610	HZK19_RS01625
OG0000022	ABLE99_RS01665	HZK19_RS01685
OG0000023	ABLE99_RS01285	HZK19_RS01285, HZK19_RS03085
OG0000024	ABLE99_RS02635	HZK19_RS02710
OG0000024	ABLE99_RS01245	HZK19_RS01240
OG0000025	ABLE99_RS01615	HZK19_RS01630
OG0000025	ABLE99_RS01660	HZK19_RS01680
OG0000026	ABLE99_RS01330	HZK19_RS01330
OG0000026	ABLE99_RS01640	HZK19_RS01660
OG0000027	ABLE99_RS03220	HZK19_RS03390
OG0000028	ABLE99_RS02320	HZK19_RS02380
OG0000029	ABLE99_RS00595	HZK19_RS01065
OG0000030	ABLE99_RS03215	HZK19_RS03380
OG0000032	ABLE99_RS01535	HZK19_RS01545
OG0000034	ABLE99_RS02185	HZK19_RS03770
OG0000035	ABLE99_RS03090	HZK19_RS03235
OG0000036	ABLE99_RS00115	HZK19_RS00100
OG0000036	ABLE99_RS00130	HZK19_RS03705, HZK19_RS03710
OG0000037	ABLE99_RS01540	HZK19_RS01555
OG0000038	ABLE99_RS00495, ABLE99_RS01685	HZK19_RS01710
