Orthogroup	MHP_4284_genes	MFC_MF33_genes
OG0000000	ABLE99_RS02150	DR085_RS03035
OG0000000	ABLE99_RS02215	DR085_RS02920
OG0000000	ABLE99_RS02220	DR085_RS03105
OG0000000	ABLE99_RS02225	DR085_RS03040
OG0000000	ABLE99_RS01670	DR085_RS02470
OG0000001	ABLE99_RS01250, ABLE99_RS02690, ABLE99_RS02640, ABLE99_RS02645	DR085_RS03235
OG0000002	ABLE99_RS02210	DR085_RS03895
OG0000002	ABLE99_RS01675	DR085_RS03805
OG0000003	ABLE99_RS02155	DR085_RS03550
OG0000004	ABLE99_RS03080, ABLE99_RS03085, ABLE99_RS03095, ABLE99_RS02895, ABLE99_RS02925, ABLE99_RS02905	DR085_RS01395
OG0000007	ABLE99_RS02160	DR085_RS02890
OG0000007	ABLE99_RS02165	DR085_RS02895
OG0000007	ABLE99_RS02170	DR085_RS03890
OG0000008	ABLE99_RS01590	DR085_RS03145
OG0000011	ABLE99_RS01865	DR085_RS03875, DR085_RS02795
OG0000011	ABLE99_RS01860	DR085_RS02805
OG0000013	ABLE99_RS02310	DR085_RS00915, DR085_RS00910
OG0000014	ABLE99_RS00590, ABLE99_RS01060	DR085_RS03650
OG0000016	ABLE99_RS02735	DR085_RS00605
OG0000017	ABLE99_RS00155	DR085_RS02380
OG0000017	ABLE99_RS02745	DR085_RS00595
OG0000019	ABLE99_RS02920, ABLE99_RS02915	DR085_RS03320
OG0000020	ABLE99_RS03410	DR085_RS03795
OG0000020	ABLE99_RS03415	DR085_RS03790
OG0000022	ABLE99_RS01665	DR085_RS03800
OG0000023	ABLE99_RS01285	DR085_RS01800, DR085_RS02195
OG0000024	ABLE99_RS02635, ABLE99_RS01245	DR085_RS00665
OG0000025	ABLE99_RS01660	DR085_RS02460
OG0000026	ABLE99_RS01330, ABLE99_RS01640	DR085_RS01755
OG0000029	ABLE99_RS00595	DR085_RS00425
OG0000030	ABLE99_RS03215	DR085_RS03850
OG0000031	ABLE99_RS01555	DR085_RS02695
OG0000039	ABLE99_RS01570, ABLE99_RS01565	DR085_RS00495, DR085_RS00485
OG0000040	ABLE99_RS03165	DR085_RS03110, DR085_RS00715, DR085_RS00720
OG0000042	ABLE99_RS02830	DR085_RS00480, DR085_RS00645
OG0000043	ABLE99_RS01830	DR085_RS02670
OG0000045	ABLE99_RS01575	DR085_RS00505
OG0000048	ABLE99_RS02015	DR085_RS02880, DR085_RS03055
OG0000049	ABLE99_RS02940	DR085_RS01410
OG0000050	ABLE99_RS02350	DR085_RS02735
