Orthogroup	MHP_4284_genes	MHP_NCTC10127_genes
OG0000000	ABLE99_RS02150	EXC50_RS01055
OG0000000	ABLE99_RS01670	EXC50_RS03990, EXC50_RS00675
OG0000001	ABLE99_RS02690	EXC50_RS01640
OG0000001	ABLE99_RS02640	EXC50_RS01590
OG0000002	ABLE99_RS02040	EXC50_RS04010
OG0000002	ABLE99_RS02035	EXC50_RS03900
OG0000002	ABLE99_RS01675	EXC50_RS00680
OG0000003	ABLE99_RS00505	EXC50_RS03580
OG0000004	ABLE99_RS03080	EXC50_RS02030
OG0000004	ABLE99_RS03095	EXC50_RS02050
OG0000004	ABLE99_RS02925, ABLE99_RS02905	EXC50_RS01865
OG0000005	ABLE99_RS00100	EXC50_RS00100
OG0000005	ABLE99_RS00120	EXC50_RS00120
OG0000005	ABLE99_RS00105	EXC50_RS00105
OG0000005	ABLE99_RS00110	EXC50_RS00110
OG0000005	ABLE99_RS00125	EXC50_RS00125
OG0000008	ABLE99_RS02145	EXC50_RS01160, EXC50_RS04015
OG0000008	ABLE99_RS01590	EXC50_RS00595
OG0000008	ABLE99_RS02405	EXC50_RS04030
OG0000009	ABLE99_RS00085	EXC50_RS00085
OG0000009	ABLE99_RS00995	EXC50_RS03405
OG0000010	ABLE99_RS01770	EXC50_RS00795
OG0000011	ABLE99_RS01865	EXC50_RS00895
OG0000011	ABLE99_RS01860	EXC50_RS00890
OG0000012	ABLE99_RS02305	EXC50_RS01855
OG0000013	ABLE99_RS02310	EXC50_RS01255
OG0000014	ABLE99_RS00590	EXC50_RS04120
OG0000014	ABLE99_RS01060	EXC50_RS03480
OG0000016	ABLE99_RS02735	EXC50_RS01680
OG0000016	ABLE99_RS00170	EXC50_RS00170
OG0000017	ABLE99_RS00155	EXC50_RS00155
OG0000017	ABLE99_RS02745	EXC50_RS01690
OG0000019	ABLE99_RS02920, ABLE99_RS02915	EXC50_RS04060
OG0000020	ABLE99_RS03410	EXC50_RS02390
OG0000020	ABLE99_RS03415	EXC50_RS02395
OG0000021	ABLE99_RS01695	EXC50_RS00715
OG0000022	ABLE99_RS01610	EXC50_RS00615
OG0000022	ABLE99_RS01665	EXC50_RS00670
OG0000023	ABLE99_RS01285	EXC50_RS02770, EXC50_RS00495, EXC50_RS03740
OG0000024	ABLE99_RS02635	EXC50_RS01585
OG0000024	ABLE99_RS01245	EXC50_RS02815
OG0000025	ABLE99_RS01615	EXC50_RS00620
OG0000025	ABLE99_RS01660	EXC50_RS00665
OG0000026	ABLE99_RS01330	EXC50_RS02725
OG0000026	ABLE99_RS01640	EXC50_RS00645
OG0000027	ABLE99_RS03220	EXC50_RS02185
OG0000029	ABLE99_RS00595	EXC50_RS03005
OG0000030	ABLE99_RS03215	EXC50_RS02175
OG0000031	ABLE99_RS01555	EXC50_RS00545
OG0000035	ABLE99_RS03090	EXC50_RS02045
OG0000036	ABLE99_RS00115	EXC50_RS00115
OG0000036	ABLE99_RS00130	EXC50_RS00130
OG0000037	ABLE99_RS01540	EXC50_RS03970
OG0000038	ABLE99_RS00495	EXC50_RS03585
OG0000038	ABLE99_RS01685	EXC50_RS00705
OG0000039	ABLE99_RS01570	EXC50_RS03975
