Orthogroup	MHP_4284_genes	MHP_UFV02_genes
OG0000000	ABLE99_RS02150	FEF31_RS01935
OG0000000	ABLE99_RS02215	FEF31_RS01875
OG0000000	ABLE99_RS01670	FEF31_RS01380, FEF31_RS01385
OG0000001	ABLE99_RS01250	FEF31_RS00940
OG0000001	ABLE99_RS02690	FEF31_RS02540
OG0000001	ABLE99_RS02640	FEF31_RS02490
OG0000002	ABLE99_RS02040	FEF31_RS01945
OG0000002	ABLE99_RS02210	FEF31_RS04505
OG0000002	ABLE99_RS01675	FEF31_RS04455
OG0000003	ABLE99_RS01690	FEF31_RS01515
OG0000003	ABLE99_RS02155	FEF31_RS04510
OG0000003	ABLE99_RS01760	FEF31_RS01590
OG0000004	ABLE99_RS03080	FEF31_RS03760
OG0000004	ABLE99_RS03095	FEF31_RS03775
OG0000005	ABLE99_RS00100	FEF31_RS03370
OG0000005	ABLE99_RS00120	FEF31_RS04665
OG0000005	ABLE99_RS00105	FEF31_RS04660
OG0000005	ABLE99_RS00110	FEF31_RS03380
OG0000005	ABLE99_RS00125	FEF31_RS04670
OG0000006	ABLE99_RS02230	FEF31_RS02060
OG0000007	ABLE99_RS02160	FEF31_RS01925
OG0000007	ABLE99_RS02165	FEF31_RS01915
OG0000007	ABLE99_RS02170	FEF31_RS01910
OG0000008	ABLE99_RS02145	FEF31_RS02050
OG0000008	ABLE99_RS01590	FEF31_RS01300
OG0000008	ABLE99_RS02405	FEF31_RS02250
OG0000009	ABLE99_RS00995	FEF31_RS00335
OG0000010	ABLE99_RS01770	FEF31_RS01600
OG0000011	ABLE99_RS01865	FEF31_RS01695
OG0000011	ABLE99_RS01860	FEF31_RS01690
OG0000012	ABLE99_RS02305	FEF31_RS02235
OG0000013	ABLE99_RS02310	FEF31_RS02135
OG0000014	ABLE99_RS00590	FEF31_RS00255
OG0000014	ABLE99_RS01060	FEF31_RS04375
OG0000016	ABLE99_RS02735	FEF31_RS02580
OG0000016	ABLE99_RS00170	FEF31_RS03440
OG0000017	ABLE99_RS00155	FEF31_RS03425
OG0000017	ABLE99_RS02745	FEF31_RS02590
OG0000020	ABLE99_RS03410	FEF31_RS03220
OG0000020	ABLE99_RS03415	FEF31_RS04270
OG0000021	ABLE99_RS01695	FEF31_RS01520
OG0000022	ABLE99_RS01610	FEF31_RS01320
OG0000022	ABLE99_RS01665	FEF31_RS04450
OG0000023	ABLE99_RS01285	FEF31_RS00975, FEF31_RS01405
OG0000024	ABLE99_RS02635	FEF31_RS02485
OG0000024	ABLE99_RS01245	FEF31_RS00930
OG0000025	ABLE99_RS01615	FEF31_RS04445
OG0000025	ABLE99_RS01660	FEF31_RS01370
OG0000026	ABLE99_RS01330	FEF31_RS01025
OG0000026	ABLE99_RS01640	FEF31_RS01350
OG0000027	ABLE99_RS03220	FEF31_RS03015
OG0000029	ABLE99_RS00595	FEF31_RS00735
OG0000030	ABLE99_RS03215	FEF31_RS04590
OG0000034	ABLE99_RS02185	FEF31_RS01895
OG0000035	ABLE99_RS03090	FEF31_RS03765
OG0000036	ABLE99_RS00115	FEF31_RS03385
OG0000036	ABLE99_RS00130	FEF31_RS03400
OG0000038	ABLE99_RS01685	FEF31_RS01510
OG0000039	ABLE99_RS01570, ABLE99_RS01565	FEF31_RS01275
OG0000040	ABLE99_RS03165	FEF31_RS03890
OG0000042	ABLE99_RS02830	FEF31_RS02675
OG0000043	ABLE99_RS01830	FEF31_RS01660, FEF31_RS01455
OG0000044	ABLE99_RS01625	FEF31_RS04775
OG0000044	ABLE99_RS01720	FEF31_RS01545
OG0000045	ABLE99_RS01575	FEF31_RS01280, FEF31_RS01285
OG0000048	ABLE99_RS02015	FEF31_RS01845
OG0000049	ABLE99_RS02940	FEF31_RS03620
OG0000050	ABLE99_RS02350	FEF31_RS02180
OG0000051	ABLE99_RS02550	FEF31_RS02395
OG0000052	ABLE99_RS00075	FEF31_RS03360
OG0000053	ABLE99_RS01415	FEF31_RS04425
OG0000054	ABLE99_RS02375	FEF31_RS02205
OG0000055	ABLE99_RS00135	FEF31_RS03405
OG0000056	ABLE99_RS03395	FEF31_RS03205
OG0000057	ABLE99_RS02815	FEF31_RS02660
OG0000060	ABLE99_RS01160	FEF31_RS00850
OG0000061	ABLE99_RS01780	FEF31_RS01245
OG0000062	ABLE99_RS03445	FEF31_RS03250
OG0000063	ABLE99_RS03440	FEF31_RS04645
OG0000064	ABLE99_RS03430	FEF31_RS03235
OG0000065	ABLE99_RS02085	FEF31_RS01990
OG0000066	ABLE99_RS01320	FEF31_RS01015
OG0000067	ABLE99_RS00520	FEF31_RS00185
