Orthogroup	MHP_MHP650_proteins	MHP_111A_proteins
OG0000000	WP_308704769.1	WP_404911849.1
OG0000000	WP_233688764.1	WP_404912447.1
OG0000001	WP_258556637.1	WP_404912312.1
OG0000001	WP_258556624.1	WP_404911958.1
OG0000001	WP_011206342.1	WP_011206342.1
OG0000002	WP_258556677.1	WP_225972974.1
OG0000002	WP_160601116.1	WP_146379587.1
OG0000002	WP_160601263.1	WP_404912241.1
OG0000003	WP_220200909.1	WP_404912467.1, WP_404912175.1
OG0000003	WP_237697199.1	WP_225973025.1
OG0000004	WP_160601249.1	WP_404912021.1
OG0000004	WP_160600949.1	WP_404912454.1
OG0000005	WP_160601191.1	WP_404912131.1
OG0000005	WP_160590473.1	WP_404912133.1
OG0000005	WP_160601189.1	WP_404912135.1
OG0000006	WP_228366101.1	WP_404911894.1
OG0000007	WP_011284157.1	WP_011284157.1
OG0000007	WP_160585819.1	WP_002557993.1
OG0000007	WP_002557992.1	WP_002557992.1
OG0000008	WP_011206260.1	WP_404911847.1
OG0000008	WP_258556714.1	WP_404911898.1
OG0000009	WP_160600866.1	WP_404912201.1
OG0000009	WP_094521537.1	WP_041361519.1
OG0000009	WP_094521581.1	WP_011290021.1
OG0000010	WP_160601055.1	WP_404911810.1
OG0000011	WP_160600906.1	WP_404911790.1
OG0000011	WP_160600904.1	WP_404911792.1
OG0000012	WP_160601281.1	WP_011284103.1
OG0000013	WP_371863325.1	WP_404911873.1
OG0000014	WP_160601233.1	WP_404912188.1
OG0000016	WP_160600653.1	WP_404912144.1
OG0000017	WP_228365403.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000020	WP_308704754.1	WP_404912096.1
OG0000020	WP_308704755.1	WP_404912098.1
OG0000021	WP_014579585.1, WP_094521655.1, WP_220200881.1	WP_160606951.1
OG0000022	WP_160601006.1	WP_404912375.1
OG0000022	WP_160601018.1	WP_404912386.1
OG0000024	WP_258556699.1	WP_160585259.1
OG0000024	WP_160600862.1	WP_404912310.1
OG0000025	WP_160601008.1	WP_404912377.1
