Orthogroup	MHP_7422_proteins	MHP_7448_proteins
OG0000000	WP_041361655.1	WP_044272483.1
OG0000000	WP_148174330.1	WP_148174330.1
OG0000000	WP_020835762.1	WP_052269173.1
OG0000000	WP_020835681.1	WP_081420845.1
OG0000001	WP_020835629.1	WP_187145661.1
OG0000001	WP_228365393.1	WP_228365393.1
OG0000001	WP_228366104.1	WP_228366104.1
OG0000001	WP_020835822.1	WP_020835822.1
OG0000002	WP_020835748.1	WP_020835748.1
OG0000002	WP_011206235.1	WP_011206235.1
OG0000002	WP_020835682.1	WP_020835682.1
OG0000003	WP_041361653.1, WP_051129928.1	WP_052269171.1
OG0000004	WP_020835883.1	WP_020835883.1
OG0000004	WP_020835887.1	WP_020835887.1
OG0000005	WP_011289941.1	WP_011289941.1
OG0000005	WP_011289945.1	WP_011289945.1
OG0000005	WP_020835493.1	WP_011289942.1
OG0000005	WP_011289943.1	WP_011289943.1
OG0000005	WP_011289946.1	WP_011289946.1
OG0000006	WP_051129932.1	WP_228366101.1
OG0000006	WP_041361785.1	WP_081420850.1
OG0000006	WP_225972978.1	WP_225972978.1
OG0000008	WP_020835760.1	WP_011290229.1
OG0000008	WP_041361617.1	WP_044272707.1
OG0000008	WP_228366102.1	WP_228366102.1
OG0000009	WP_041361566.1	WP_011290018.1
OG0000009	WP_041361519.1	WP_041361519.1
OG0000009	WP_011290021.1	WP_011290021.1
OG0000010	WP_020835701.1	WP_011290178.1
OG0000010	WP_228366119.1	WP_228366119.1
OG0000011	WP_020835715.1	WP_011290191.1
OG0000011	WP_020835713.1	WP_044272461.1
OG0000012	WP_179221115.1	WP_179221115.1
OG0000013	WP_020835777.1	WP_228366099.1
OG0000013	WP_020835504.1	WP_228366120.1
OG0000014	WP_020835603.1	WP_011290070.1
OG0000014	WP_020835563.1	WP_011290011.1
OG0000015	WP_135618763.1	WP_135618763.1
OG0000015	WP_020835561.1	WP_228366094.1, WP_228366093.1
OG0000015	WP_041361615.1	WP_041361615.1
OG0000016	WP_020835836.1	WP_044272572.1
OG0000016	WP_020835503.1	WP_011289955.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_020835635.1	WP_020835635.1
OG0000018	WP_041361561.1	WP_044272499.1
OG0000020	WP_020835927.1	WP_011290437.1
OG0000020	WP_020835928.1	WP_011290438.1
