Orthogroup	MHP_MHP696_proteins	MHP_7422_proteins
OG0000000	WP_308507069.1	WP_269076337.1
OG0000000	WP_308507068.1	WP_020835681.1
OG0000001	WP_258555241.1	WP_228365393.1
OG0000001	WP_228366104.1	WP_228366104.1
OG0000001	WP_258555237.1	WP_020835822.1
OG0000002	WP_258555377.1	WP_020835748.1
OG0000002	WP_160588356.1	WP_020835737.1
OG0000002	WP_160588193.1	WP_020835682.1
OG0000003	WP_135618795.1	WP_041361639.1
OG0000003	WP_308507067.1	WP_041361653.1
OG0000003	WP_052293597.1	WP_051129928.1
OG0000004	WP_020835887.1	WP_020835887.1
OG0000005	WP_160588124.1	WP_011289941.1
OG0000005	WP_160588336.1	WP_011289945.1
OG0000005	WP_160588374.1	WP_020835493.1
OG0000005	WP_160588334.1	WP_011289943.1
OG0000005	WP_160588338.1	WP_011289946.1
OG0000006	WP_225972988.1	WP_051129932.1
OG0000006	WP_308507061.1, WP_258555362.1	WP_041361785.1
OG0000007	WP_011284157.1	WP_020835743.1
OG0000007	WP_002557993.1	WP_020835742.1
OG0000007	WP_160588331.1	WP_002557992.1
OG0000008	WP_258555379.1	WP_041361617.1
OG0000008	WP_308507071.1	WP_228366102.1
OG0000009	WP_146379448.1	WP_041361519.1
OG0000009	WP_011290021.1	WP_011290021.1
OG0000010	WP_160587884.1	WP_020835701.1
OG0000010	WP_160588333.1	WP_269076334.1
OG0000010	WP_160588372.1, WP_160588382.1	WP_228366119.1
OG0000011	WP_160587900.1	WP_020835715.1
OG0000011	WP_160587898.1	WP_020835713.1
OG0000012	WP_179221115.1	WP_179221115.1
OG0000013	WP_258555342.1	WP_020835777.1
OG0000013	WP_308507056.1	WP_020835504.1
OG0000014	WP_160587971.1	WP_020835603.1
OG0000014	WP_160587966.1	WP_020835563.1
OG0000015	WP_225973030.1	WP_135618763.1, WP_020835561.1, WP_041361615.1
OG0000016	WP_160587852.1	WP_020835836.1
OG0000016	WP_160588042.1	WP_020835503.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_160588235.1	WP_020835635.1, WP_041361561.1
OG0000020	WP_160588169.1	WP_020835927.1
OG0000020	WP_220191087.1	WP_020835928.1
OG0000021	WP_044284635.1	WP_041361759.1, WP_020835536.1
OG0000022	WP_160588207.1	WP_011290146.1
OG0000022	WP_160588197.1	WP_020835680.1
OG0000023	WP_160588233.1	WP_020835634.1, WP_020835559.1, WP_020835560.1
OG0000024	WP_160585259.1	WP_011290315.1
OG0000024	WP_160588003.1	WP_011290098.1
OG0000025	WP_160588205.1	WP_041361620.1
OG0000025	WP_160588199.1	WP_020835679.1
OG0000026	WP_192894288.1	WP_020835640.1
OG0000027	WP_020835902.1	WP_020835902.1
OG0000027	WP_160588189.1	WP_020835905.1
OG0000028	WP_160617508.1	WP_020835779.1
OG0000029	WP_160588071.1	WP_020835602.1
OG0000029	WP_160587963.1	WP_020835564.1
OG0000030	WP_160588148.1	WP_236607958.1
OG0000030	WP_020835904.1	WP_020835904.1
OG0000031	WP_011290137.1	WP_011290137.1
OG0000031	WP_011290137.1	WP_011290238.1
OG0000032	WP_160588340.1	WP_020835660.1
OG0000032	WP_308507060.1	WP_236607959.1
OG0000033	WP_160617510.1	WP_020835778.1
OG0000034	WP_243234977.1	WP_236607948.1
OG0000035	WP_160588344.1	WP_020835886.1
OG0000035	WP_160588066.1	WP_020835882.1
OG0000036	WP_020835495.1	WP_020835495.1
OG0000036	WP_258555370.1	WP_020835498.1
OG0000039	WP_160588346.1	WP_041361612.1
OG0000040	WP_160588136.1	WP_020835895.1
OG0000041	WP_258555272.1	WP_011290019.1, WP_020835620.1
OG0000042	WP_308507064.1	WP_041361801.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000043	WP_014579804.1	WP_011290239.1
OG0000044	WP_225973034.1	WP_225973034.1
OG0000045	WP_225973032.1	WP_020835667.1
OG0000048	WP_011284150.1	WP_020835735.1
OG0000049	WP_020835860.1	WP_020835860.1
OG0000050	WP_160588301.1	WP_020835784.1
OG0000051	WP_160587825.1	WP_020835809.1
OG0000052	WP_146379447.1	WP_011289937.1
OG0000053	WP_160588221.1	WP_020835649.1
OG0000054	WP_160588303.1	WP_020835786.1
OG0000055	WP_146379455.1	WP_011205867.1
OG0000056	WP_160588161.1	WP_020835923.1
OG0000057	WP_160587863.1	WP_020835847.1
OG0000060	WP_225973002.1	WP_258556516.1
OG0000061	WP_160587888.1	WP_020835703.1
OG0000062	WP_160588098.1	WP_011206522.1
OG0000063	WP_146379768.1	WP_041361715.1
OG0000064	WP_160588095.1	WP_020835930.1
OG0000065	WP_011290219.1	WP_020835752.1
OG0000066	WP_160588243.1	WP_011205965.1
OG0000067	WP_160617519.1	WP_020835540.1
OG0000068	WP_160587949.1	WP_011206103.1
OG0000069	WP_011284269.1	WP_011206373.1
OG0000070	WP_146379657.1	WP_011206292.1
OG0000071	WP_160585219.1	WP_020835893.1
OG0000072	WP_160588134.1	WP_236607956.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_044284596.1	WP_020835587.1, WP_236607966.1
OG0000075	WP_014579568.1	WP_020835523.1
OG0000076	WP_160584756.1	WP_011289987.1
OG0000077	WP_160588013.1	WP_011289996.1
OG0000078	WP_160588203.1	WP_020835673.1
OG0000079	WP_011206305.1	WP_020835797.1
OG0000080	WP_179695988.1	WP_011206314.1
OG0000081	WP_160588023.1	WP_011289985.1
OG0000082	WP_258555885.1	WP_236607951.1
OG0000083	WP_160587917.1	WP_014579823.1
OG0000084	WP_011284142.1	WP_011284142.1
OG0000085	WP_011206223.1	WP_020835729.1
OG0000086	WP_160587925.1	WP_011290207.1
OG0000087	WP_160587927.1	WP_020835732.1
OG0000088	WP_044272480.1	WP_020835733.1
OG0000089	WP_011206231.1	WP_011290212.1
OG0000090	WP_160588122.1	WP_020835488.1
OG0000091	WP_160588118.1	WP_020835487.1
OG0000092	WP_011205847.1	WP_020835485.1
OG0000093	WP_160588114.1	WP_020835484.1
OG0000094	WP_014579519.1	WP_020835483.1
OG0000095	WP_044272251.1	WP_020835480.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_258555298.1	WP_041361816.1
OG0000098	WP_160588100.1	WP_020835932.1
OG0000099	WP_160588163.1	WP_020835924.1
OG0000100	WP_160585575.1	WP_020835921.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_160588213.1	WP_020835678.1
OG0000103	WP_160606854.1	WP_011290214.1
