Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCA_000008205.1	ASM820v1	Mesomycoplasma hyopneumoniae J		J					Annotation submitted by LNCC - Laboratorio Nacional de Computacao Cientifica	Complete Genome	2005-08-05		1
GCF_000008205.1	ASM820v1	Mesomycoplasma hyopneumoniae J		J					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2005-08-05		1
GCA_004768725.1	ASM476872v1	Mesomycoplasma hyopneumoniae		ES2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-04-10		1
GCF_004768725.1	ASM476872v1	Mesomycoplasma hyopneumoniae		ES2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-04-10		1
GCA_045006005.1	ASM4500600v1	Mesomycoplasma hyopneumoniae		133A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-11-18		1
GCF_045006005.1	ASM4500600v1	Mesomycoplasma hyopneumoniae		133A					GCF_045006005.1-RS_2024_11_18	Complete Genome	2024-11-22		1
GCA_045006015.1	ASM4500601v1	Mesomycoplasma hyopneumoniae		131B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-11-18		1
GCF_045006015.1	ASM4500601v1	Mesomycoplasma hyopneumoniae		131B					GCF_045006015.1-RS_2024_11_18	Complete Genome	2024-11-22		1
GCA_045006665.1	ASM4500666v1	Mesomycoplasma hyopneumoniae		111A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-11-18		1
GCF_045006665.1	ASM4500666v1	Mesomycoplasma hyopneumoniae		111A					GCF_045006665.1-RS_2024_11_18	Complete Genome	2024-11-22		1
GCA_021383865.1	ASM2138386v1	Mesomycoplasma hyopneumoniae		LH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-07		1
GCF_021383865.1	ASM2138386v1	Mesomycoplasma hyopneumoniae		LH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-01-07		1
GCA_045005345.1	ASM4500534v1	Mesomycoplasma hyopneumoniae		154B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-11-18		1
GCF_045005345.1	ASM4500534v1	Mesomycoplasma hyopneumoniae		154B					GCF_045005345.1-RS_2024_11_18	Complete Genome	2024-11-22		1
GCA_045005995.1	ASM4500599v1	Mesomycoplasma hyopneumoniae		153B					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-11-18		1
GCF_045005995.1	ASM4500599v1	Mesomycoplasma hyopneumoniae		153B					GCF_045005995.1-RS_2024_11_18	Complete Genome	2024-11-22		1
GCA_013402755.1	ASM1340275v1	Mesomycoplasma hyopneumoniae		ES2L					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-07-12		1
GCF_013402755.1	ASM1340275v1	Mesomycoplasma hyopneumoniae		ES2L					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-07-12		1
GCA_040026155.1	ASM4002615v1	Mesomycoplasma hyopneumoniae		116					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-06-03		1
GCF_040026155.1	ASM4002615v1	Mesomycoplasma hyopneumoniae		116					GCF_040026155.1-RS_2024_06_03	Complete Genome	2024-06-04		1
GCA_039907915.1	ASM3990791v1	Mesomycoplasma hyopneumoniae		Ue273					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-05-29		1
GCF_039907915.1	ASM3990791v1	Mesomycoplasma hyopneumoniae		Ue273					GCF_039907915.1-RS_2024_05_30	Complete Genome	2024-05-31		1
GCA_007923985.1	ASM792398v1	Mesomycoplasma hyopneumoniae		F72C					Annotation submitted by University of Bern	Complete Genome	2019-08-09		1
GCF_007923985.1	ASM792398v1	Mesomycoplasma hyopneumoniae		F72C					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-08-09		1
GCA_040026965.1	ASM4002696v1	Mesomycoplasma hyopneumoniae		1257					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2024-06-03		1
