Orthogroup	MHP_ES2L_genes	MHP_MHP650_genes
OG0000000	HZK19_RS02105	DR083_RS04550, DR083_RS03535, DR083_RS03820, DR083_RS00790, DR083_RS03700
OG0000000	HZK19_RS02290	DR083_RS04515
OG0000000	HZK19_RS03795	DR083_RS04520
OG0000001	HZK19_RS03720	DR083_RS04075
OG0000001	HZK19_RS02765	DR083_RS00590
OG0000001	HZK19_RS03840	DR083_RS00540
OG0000002	HZK19_RS02175	DR083_RS04320
OG0000002	HZK19_RS02110	DR083_RS04915
OG0000002	HZK19_RS01705	DR083_RS04760
OG0000003	HZK19_RS02160	DR083_RS04460
OG0000003	HZK19_RS01800	DR083_RS03840
OG0000004	HZK19_RS03255	DR083_RS03440
OG0000004	HZK19_RS02970	DR083_RS01645
OG0000005	HZK19_RS00085	DR083_RS03065
OG0000005	HZK19_RS00090	DR083_RS03050
OG0000005	HZK19_RS00095, HZK19_RS00110	DR083_RS04870
OG0000006	HZK19_RS02470	DR083_RS04420
OG0000006	HZK19_RS03800	DR083_RS03605
OG0000006	HZK19_RS03805	DR083_RS03320
OG0000007	HZK19_RS02155	DR083_RS03475
OG0000007	HZK19_RS02150	DR083_RS03470
OG0000007	HZK19_RS02145	DR083_RS03465
OG0000008	HZK19_RS03790	DR083_RS04510
OG0000008	HZK19_RS03825	DR083_RS04540
OG0000009	HZK19_RS00655	DR083_RS01240
OG0000010	HZK19_RS01810	DR083_RS02305
OG0000010	HZK19_RS03735	DR083_RS04910
OG0000011	HZK19_RS03920	DR083_RS01555
OG0000012	HZK19_RS03250	DR083_RS03720
OG0000013	HZK19_RS02370	DR083_RS05105
OG0000013	HZK19_RS03715	DR083_RS03885
OG0000014	HZK19_RS00585	DR083_RS03770
OG0000014	HZK19_RS00595	DR083_RS04890
OG0000015	HZK19_RS01540, HZK19_RS03105	DR083_RS02965
OG0000016	HZK19_RS02805	DR083_RS00630
OG0000016	HZK19_RS00155	DR083_RS00040
OG0000017	HZK19_RS00140	DR083_RS00025
OG0000017	HZK19_RS02815	DR083_RS00640
OG0000018	HZK19_RS03075	DR083_RS04835
OG0000020	HZK19_RS03860	DR083_RS04635
OG0000020	HZK19_RS03600	DR083_RS04640
OG0000021	HZK19_RS01725	DR083_RS02215, DR083_RS03855
OG0000022	HZK19_RS01625	DR083_RS02055
OG0000022	HZK19_RS01685	DR083_RS04755
OG0000023	HZK19_RS03085	DR083_RS02935
OG0000024	HZK19_RS02710	DR083_RS03365
OG0000024	HZK19_RS01240	DR083_RS01215
OG0000025	HZK19_RS01630	DR083_RS04750
OG0000025	HZK19_RS01680	DR083_RS02105
OG0000026	HZK19_RS01330	DR083_RS01120
