Orthogroup	MHP_ES2L_genes	MHP_168_genes
OG0000000	HZK19_RS02290	MHP168_RS02315
OG0000000	HZK19_RS01695	MHP168_RS01690
OG0000001	HZK19_RS03720	MHP168_RS01365
OG0000001	HZK19_RS02765	MHP168_RS02805
OG0000001	HZK19_RS03840	MHP168_RS02760
OG0000002	HZK19_RS01705	MHP168_RS01665, MHP168_RS01685
OG0000003	HZK19_RS01715	MHP168_RS00480
OG0000003	HZK19_RS01800	MHP168_RS03875
OG0000004	HZK19_RS03240	MHP168_RS03180
OG0000004	HZK19_RS03255	MHP168_RS03190
OG0000005	HZK19_RS00085	MHP168_RS00085
OG0000005	HZK19_RS00090	MHP168_RS00095
OG0000005	HZK19_RS00095, HZK19_RS00110	MHP168_RS00100, MHP168_RS03905
OG0000006	HZK19_RS02470	MHP168_RS02510, MHP168_RS02505
OG0000006	HZK19_RS03800	MHP168_RS02320
OG0000006	HZK19_RS03805	MHP168_RS02355
OG0000006	HZK19_RS02465	MHP168_RS02500
OG0000008	HZK19_RS03790	MHP168_RS02310
OG0000008	HZK19_RS03745	MHP168_RS01780
OG0000008	HZK19_RS03825	MHP168_RS04005
OG0000009	HZK19_RS00655	MHP168_RS00975
OG0000010	HZK19_RS01810	MHP168_RS01930
OG0000010	HZK19_RS03735	MHP168_RS01645
OG0000011	HZK19_RS03920	MHP168_RS04085
OG0000013	HZK19_RS02370	MHP168_RS02405
OG0000013	HZK19_RS03715	MHP168_RS03910
OG0000014	HZK19_RS00595	MHP168_RS01055
OG0000015	HZK19_RS01540	MHP168_RS03815
OG0000016	HZK19_RS02805	MHP168_RS02850
OG0000016	HZK19_RS00155	MHP168_RS00145
OG0000017	HZK19_RS00140	MHP168_RS00130
OG0000017	HZK19_RS02815	MHP168_RS02860
OG0000018	HZK19_RS03075	MHP168_RS04030
OG0000020	HZK19_RS03865, HZK19_RS03860	MHP168_RS03580
OG0000020	HZK19_RS03600	MHP168_RS03585
OG0000021	HZK19_RS01725	MHP168_RS00485
OG0000022	HZK19_RS01625	MHP168_RS01760
OG0000022	HZK19_RS01685	MHP168_RS01710
OG0000024	HZK19_RS02710	MHP168_RS02750
OG0000024	HZK19_RS01240	MHP168_RS03940
OG0000025	HZK19_RS01630	MHP168_RS01755
OG0000025	HZK19_RS01680	MHP168_RS01715
OG0000026	HZK19_RS01330	MHP168_RS01450
OG0000026	HZK19_RS01660	MHP168_RS01735
OG0000027	HZK19_RS03390	MHP168_RS03845
OG0000027	HZK19_RS03405	MHP168_RS03330
OG0000028	HZK19_RS02385	MHP168_RS02415, MHP168_RS02420
OG0000029	HZK19_RS01065	MHP168_RS00575
OG0000029	HZK19_RS00600	MHP168_RS01050
OG0000030	HZK19_RS03380	MHP168_RS03310
OG0000030	HZK19_RS03400	MHP168_RS03325
OG0000031	HZK19_RS03025	MHP168_RS03565
OG0000032	HZK19_RS03395	MHP168_RS03320
OG0000033	HZK19_RS03820, HZK19_RS02375	MHP168_RS02410
OG0000035	HZK19_RS03235	MHP168_RS03185
OG0000035	HZK19_RS03225	MHP168_RS03170
OG0000036	HZK19_RS00100, HZK19_RS03705, HZK19_RS03710	MHP168_RS00105
OG0000037	HZK19_RS01550	MHP168_RS01830
OG0000038	HZK19_RS01710	MHP168_RS01840
OG0000039	HZK19_RS01580	MHP168_RS01800
OG0000040	HZK19_RS03325	MHP168_RS03260
OG0000041	HZK19_RS01160	MHP168_RS03920
OG0000042	HZK19_RS02900	MHP168_RS02950
OG0000043	HZK19_RS01875	MHP168_RS01985
OG0000043	HZK19_RS01875	MHP168_RS01205
OG0000044	HZK19_RS03955	MHP168_RS03745
OG0000044	HZK19_RS01755	MHP168_RS01880
OG0000045	HZK19_RS01585	MHP168_RS01795
OG0000048	HZK19_RS02065	MHP168_RS02190
OG0000049	HZK19_RS02995	MHP168_RS03035
OG0000050	HZK19_RS02415	MHP168_RS02450
OG0000051	HZK19_RS02620	MHP168_RS04010
OG0000052	HZK19_RS00075	MHP168_RS00070
OG0000053	HZK19_RS01415	MHP168_RS01535
OG0000054	HZK19_RS02440	MHP168_RS02475
OG0000055	HZK19_RS00120	MHP168_RS00110
OG0000056	HZK19_RS03580	MHP168_RS03500
OG0000057	HZK19_RS02885	MHP168_RS02935
OG0000058	HZK19_RS03020	MHP168_RS03570
OG0000060	HZK19_RS00080	MHP168_RS01270, MHP168_RS00075
OG0000062	HZK19_RS03630	MHP168_RS03625
OG0000063	HZK19_RS03625	MHP168_RS03620
OG0000064	HZK19_RS03615	MHP168_RS03610
OG0000065	HZK19_RS02220	MHP168_RS02125
OG0000066	HZK19_RS01320	MHP168_RS01440
OG0000067	HZK19_RS00515	MHP168_RS00505
OG0000068	HZK19_RS00635	MHP168_RS03810
OG0000069	HZK19_RS02780	MHP168_RS02825
OG0000070	HZK19_RS02445	MHP168_RS02480
OG0000071	HZK19_RS03315	MHP168_RS03250
OG0000072	HZK19_RS03320	MHP168_RS03255
OG0000073	HZK19_RS00680	MHP168_RS00950
OG0000074	HZK19_RS00875	MHP168_RS00760
OG0000075	HZK19_RS00325	MHP168_RS00315
OG0000076	HZK19_RS00340	MHP168_RS00330
OG0000077	HZK19_RS00425	MHP168_RS00420
OG0000078	HZK19_RS01645	MHP168_RS01745
OG0000079	HZK19_RS02525	MHP168_RS02565
OG0000080	HZK19_RS02570	MHP168_RS03900
OG0000081	HZK19_RS00320	MHP168_RS00310
OG0000082	HZK19_RS02365	MHP168_RS03995, MHP168_RS04000
OG0000083	HZK19_RS01985	MHP168_RS02095
OG0000084	HZK19_RS02015	MHP168_RS02245
OG0000085	HZK19_RS02020	MHP168_RS02240
OG0000086	HZK19_RS02030	MHP168_RS02230
OG0000087	HZK19_RS02045	MHP168_RS02215
OG0000088	HZK19_RS02050	MHP168_RS02210
OG0000089	HZK19_RS02060	MHP168_RS02195
OG0000090	HZK19_RS00070	MHP168_RS00065
OG0000091	HZK19_RS00055	MHP168_RS00055
OG0000092	HZK19_RS00040	MHP168_RS00040
OG0000093	HZK19_RS00035	MHP168_RS00035
OG0000094	HZK19_RS00030	MHP168_RS00030
OG0000095	HZK19_RS00005	MHP168_RS00005
OG0000096	HZK19_RS03665	MHP168_RS03660
OG0000097	HZK19_RS03645	MHP168_RS03640
OG0000098	HZK19_RS03635	MHP168_RS03630
OG0000099	HZK19_RS03585	MHP168_RS03510
OG0000100	HZK19_RS03570	MHP168_RS03490
OG0000101	HZK19_RS03565	MHP168_RS03485
OG0000102	HZK19_RS01675	MHP168_RS01720
OG0000103	HZK19_RS02185	MHP168_RS02160
OG0000104	HZK19_RS02190	MHP168_RS02155
OG0000105	HZK19_RS02205	MHP168_RS02140
OG0000106	HZK19_RS02215	MHP168_RS02130
OG0000107	HZK19_RS02225	MHP168_RS02120
OG0000108	HZK19_RS02230	MHP168_RS02115
OG0000109	HZK19_RS02235	MHP168_RS02110
OG0000110	HZK19_RS02355	MHP168_RS02385
OG0000111	HZK19_RS02350	MHP168_RS02380
OG0000112	HZK19_RS02340	MHP168_RS02370
OG0000113	HZK19_RS02320	MHP168_RS02350
OG0000114	HZK19_RS02310	MHP168_RS02340
OG0000115	HZK19_RS02300	MHP168_RS02325
OG0000116	HZK19_RS01265	MHP168_RS01380
OG0000117	HZK19_RS01270	MHP168_RS01385
OG0000118	HZK19_RS01305	MHP168_RS01425
OG0000119	HZK19_RS01310	MHP168_RS01430
OG0000120	HZK19_RS01325	MHP168_RS01445
OG0000121	HZK19_RS01350	MHP168_RS01470
OG0000122	HZK19_RS01355	MHP168_RS01475
OG0000123	HZK19_RS01375	MHP168_RS01495
OG0000124	HZK19_RS01380	MHP168_RS01500
OG0000125	HZK19_RS01385	MHP168_RS01505
OG0000126	HZK19_RS01395	MHP168_RS01515
OG0000127	HZK19_RS01405	MHP168_RS01525
OG0000128	HZK19_RS01420	MHP168_RS01540
OG0000129	HZK19_RS01425	MHP168_RS01545
OG0000130	HZK19_RS01435	MHP168_RS01555
OG0000131	HZK19_RS01465	MHP168_RS01585
OG0000132	HZK19_RS01480	MHP168_RS01600
OG0000133	HZK19_RS00520	MHP168_RS00510
OG0000134	HZK19_RS00525	MHP168_RS00515
OG0000135	HZK19_RS00540	MHP168_RS00530
OG0000136	HZK19_RS00545	MHP168_RS00535
OG0000137	HZK19_RS00575	MHP168_RS00570
OG0000138	HZK19_RS00610	MHP168_RS01030
OG0000139	HZK19_RS00640	MHP168_RS01000
OG0000140	HZK19_RS00645	MHP168_RS00995
OG0000141	HZK19_RS02895	MHP168_RS02945
OG0000142	HZK19_RS02890	MHP168_RS02940
OG0000143	HZK19_RS02870	MHP168_RS02915
OG0000144	HZK19_RS02860	MHP168_RS02905
OG0000145	HZK19_RS02850	MHP168_RS02895
OG0000146	HZK19_RS02840	MHP168_RS02885
OG0000147	HZK19_RS02835	MHP168_RS02880
OG0000148	HZK19_RS02820	MHP168_RS02865
OG0000149	HZK19_RS02810	MHP168_RS02855
OG0000150	HZK19_RS02795	MHP168_RS02840
OG0000151	HZK19_RS02750	MHP168_RS02790
OG0000152	HZK19_RS02745	MHP168_RS02785
OG0000153	HZK19_RS02740	MHP168_RS02780
OG0000154	HZK19_RS02730	MHP168_RS02770
OG0000155	HZK19_RS02690	MHP168_RS02730
OG0000156	HZK19_RS02680	MHP168_RS02720
OG0000157	HZK19_RS02675	MHP168_RS02715
OG0000158	HZK19_RS03895	MHP168_RS04090
OG0000159	HZK19_RS03970	MHP168_RS02465
OG0000160	HZK19_RS02425	MHP168_RS02460
OG0000161	HZK19_RS02420	MHP168_RS02455
OG0000162	HZK19_RS02410	MHP168_RS02445
OG0000163	HZK19_RS02405	MHP168_RS02440
OG0000164	HZK19_RS01575	MHP168_RS01810
OG0000165	HZK19_RS01905	MHP168_RS02010
OG0000166	HZK19_RS01925	MHP168_RS02035
OG0000167	HZK19_RS01940	MHP168_RS02050
OG0000168	HZK19_RS01945	MHP168_RS02055
OG0000169	HZK19_RS02990	MHP168_RS03030
OG0000170	HZK19_RS03005	MHP168_RS03045
OG0000171	HZK19_RS03110	MHP168_RS03055
OG0000172	HZK19_RS03115	MHP168_RS03060
OG0000173	HZK19_RS03120	MHP168_RS03065
OG0000174	HZK19_RS03125	MHP168_RS03070
OG0000175	HZK19_RS03140	MHP168_RS03085
OG0000176	HZK19_RS03190	MHP168_RS03135
OG0000177	HZK19_RS03195	MHP168_RS03140
OG0000178	HZK19_RS03200	MHP168_RS03145
OG0000179	HZK19_RS03210	MHP168_RS03155
OG0000180	HZK19_RS03215	MHP168_RS03160
OG0000181	HZK19_RS03265	MHP168_RS03200
OG0000182	HZK19_RS03275	MHP168_RS03210
OG0000183	HZK19_RS03310	MHP168_RS03245
OG0000184	HZK19_RS03355	MHP168_RS03285
OG0000185	HZK19_RS03340	MHP168_RS03270
OG0000186	HZK19_RS01490	MHP168_RS01610
OG0000187	HZK19_RS01505	MHP168_RS01625
OG0000188	HZK19_RS01515	MHP168_RS01635
OG0000189	HZK19_RS02270	MHP168_RS02300
OG0000190	HZK19_RS02265	MHP168_RS02295
OG0000191	HZK19_RS02245	MHP168_RS02275
