Orthogroup	MHP_ES2L_genes	MHP_7422_genes
OG0000000	HZK19_RS02105	MHL_RS02190
OG0000000	HZK19_RS02290	MHL_RS02380
OG0000000	HZK19_RS03795	MHL_RS04190
OG0000000	HZK19_RS01695	MHL_RS03710
OG0000001	HZK19_RS03720	MHL_RS03980
OG0000001	HZK19_RS02765	MHL_RS02845
OG0000001	HZK19_RS03840	MHL_RS04080
OG0000002	HZK19_RS02175	MHL_RS03865
OG0000002	HZK19_RS02110	MHL_RS02195
OG0000002	HZK19_RS01705	MHL_RS01800
OG0000003	HZK19_RS02160	MHL_RS02255
OG0000003	HZK19_RS01800	MHL_RS03835
OG0000004	HZK19_RS03240	MHL_RS03205
OG0000004	HZK19_RS03255	MHL_RS03215
OG0000005	HZK19_RS00085	MHL_RS00105
OG0000005	HZK19_RS00105	MHL_RS00125
OG0000005	HZK19_RS00090	MHL_RS04205
OG0000005	HZK19_RS00095	MHL_RS00115
OG0000005	HZK19_RS00110	MHL_RS00130
OG0000006	HZK19_RS02470	MHL_RS03635
OG0000006	HZK19_RS03800, HZK19_RS03810, HZK19_RS03805	MHL_RS02420
OG0000007	HZK19_RS02155	MHL_RS02250
OG0000007	HZK19_RS02150	MHL_RS02245
OG0000007	HZK19_RS02145	MHL_RS02240
OG0000008	HZK19_RS03790	MHL_RS02375
OG0000008	HZK19_RS03745	MHL_RS04180
OG0000008	HZK19_RS03825	MHL_RS04065
OG0000009	HZK19_RS00655	MHL_RS00770
OG0000010	HZK19_RS01810	MHL_RS01930
OG0000011	HZK19_RS01910	MHL_RS02025
OG0000011	HZK19_RS03920	MHL_RS04185
OG0000012	HZK19_RS01825	MHL_RS03845
OG0000013	HZK19_RS02370	MHL_RS02470
OG0000013	HZK19_RS03715	MHL_RS03925
OG0000014	HZK19_RS00585	MHL_RS00590
OG0000014	HZK19_RS00595	MHL_RS00695
OG0000015	HZK19_RS01540, HZK19_RS03105	MHL_RS01720
OG0000016	HZK19_RS02805	MHL_RS02885
OG0000016	HZK19_RS00155	MHL_RS00175
OG0000017	HZK19_RS00140	MHL_RS00160
OG0000017	HZK19_RS02815	MHL_RS02895
OG0000018	HZK19_RS01290	MHL_RS01405
OG0000020	HZK19_RS03865, HZK19_RS03860	MHL_RS03545
OG0000020	HZK19_RS03600	MHL_RS03550
OG0000022	HZK19_RS01625	MHL_RS01740
OG0000022	HZK19_RS01685	MHL_RS01790
OG0000024	HZK19_RS02710	MHL_RS02790
OG0000024	HZK19_RS01240	MHL_RS01355
OG0000025	HZK19_RS01630	MHL_RS01745
OG0000025	HZK19_RS01680	MHL_RS01785
OG0000026	HZK19_RS01330	MHL_RS01445
OG0000027	HZK19_RS03390	MHL_RS03755
OG0000027	HZK19_RS03405	MHL_RS03360
OG0000028	HZK19_RS02380	MHL_RS02480
OG0000029	HZK19_RS01065	MHL_RS01165
OG0000029	HZK19_RS00600	MHL_RS00700
OG0000030	HZK19_RS03380	MHL_RS03335
OG0000030	HZK19_RS03400	MHL_RS03355
OG0000031	HZK19_RS01570	MHL_RS01685
OG0000032	HZK19_RS01545	MHL_RS04000
OG0000032	HZK19_RS03395	MHL_RS03350
OG0000034	HZK19_RS03770	MHL_RS04045
OG0000035	HZK19_RS03235	MHL_RS03210
OG0000035	HZK19_RS03225	MHL_RS03195
OG0000036	HZK19_RS00100	MHL_RS00120
OG0000036	HZK19_RS03705, HZK19_RS03710	MHL_RS00135
OG0000038	HZK19_RS01710	MHL_RS01870
OG0000039	HZK19_RS01580	MHL_RS01705
OG0000041	HZK19_RS01160	MHL_RS01270
OG0000042	HZK19_RS02900	MHL_RS02985
OG0000043	HZK19_RS01875	MHL_RS01990
OG0000043	HZK19_RS01875	MHL_RS00625
OG0000044	HZK19_RS03955	MHL_RS04220
OG0000045	HZK19_RS01585	MHL_RS01710
OG0000046	HZK19_RS03335	MHL_RS04100
OG0000047	HZK19_RS03090	MHL_RS01655
OG0000048	HZK19_RS02065	MHL_RS02170
OG0000049	HZK19_RS02995	MHL_RS03060
OG0000050	HZK19_RS02415	MHL_RS02510
OG0000052	HZK19_RS00075	MHL_RS00080
OG0000053	HZK19_RS01415	MHL_RS01530
OG0000054	HZK19_RS02440	MHL_RS02535
OG0000055	HZK19_RS00120	MHL_RS00140
OG0000056	HZK19_RS03580	MHL_RS03530
OG0000057	HZK19_RS02885	MHL_RS02970
OG0000058	HZK19_RS03015	MHL_RS00610
OG0000060	HZK19_RS00080	MHL_RS04115
OG0000061	HZK19_RS01820	MHL_RS01940
OG0000062	HZK19_RS03630	MHL_RS03580
OG0000063	HZK19_RS03625	MHL_RS03575
OG0000064	HZK19_RS03615	MHL_RS03565
OG0000065	HZK19_RS02220	MHL_RS02310
OG0000066	HZK19_RS01320	MHL_RS01435
OG0000067	HZK19_RS00515	MHL_RS00525
OG0000068	HZK19_RS00635	MHL_RS00735
OG0000069	HZK19_RS02780	MHL_RS02860
OG0000070	HZK19_RS02445	MHL_RS02540
OG0000071	HZK19_RS03315	MHL_RS03275
OG0000072	HZK19_RS03320	MHL_RS03280
OG0000073	HZK19_RS00680	MHL_RS00795
OG0000074	HZK19_RS00875	MHL_RS03950, MHL_RS04210
OG0000075	HZK19_RS00325	MHL_RS00345
OG0000076	HZK19_RS00340	MHL_RS00360
OG0000077	HZK19_RS00425	MHL_RS00450
OG0000078	HZK19_RS01645	MHL_RS01755
OG0000079	HZK19_RS02525	MHL_RS02615
OG0000080	HZK19_RS02570	MHL_RS03870
OG0000081	HZK19_RS00320	MHL_RS00340
OG0000082	HZK19_RS02365	MHL_RS02460
OG0000083	HZK19_RS01985	MHL_RS02095
OG0000084	HZK19_RS02015	MHL_RS02120
OG0000085	HZK19_RS02020	MHL_RS02125
OG0000086	HZK19_RS02030	MHL_RS02135
OG0000087	HZK19_RS02045	MHL_RS02150
OG0000088	HZK19_RS02050	MHL_RS02155
OG0000089	HZK19_RS02060	MHL_RS02165
OG0000090	HZK19_RS00070	MHL_RS00075
OG0000091	HZK19_RS00055	MHL_RS00060
OG0000092	HZK19_RS00040	MHL_RS00045
OG0000093	HZK19_RS00035	MHL_RS00040
OG0000094	HZK19_RS00030	MHL_RS00035
OG0000095	HZK19_RS00005	MHL_RS00010
OG0000096	HZK19_RS03665	MHL_RS03615
OG0000097	HZK19_RS03645	MHL_RS03595
OG0000098	HZK19_RS03635	MHL_RS03585
OG0000099	HZK19_RS03585	MHL_RS03535
OG0000100	HZK19_RS03570	MHL_RS03520
OG0000101	HZK19_RS03565	MHL_RS03515
OG0000102	HZK19_RS01675	MHL_RS01780
OG0000103	HZK19_RS02185	MHL_RS02275
OG0000104	HZK19_RS02190	MHL_RS02280
OG0000105	HZK19_RS02205	MHL_RS02295
OG0000106	HZK19_RS02215	MHL_RS02305
OG0000107	HZK19_RS02225	MHL_RS02315
OG0000108	HZK19_RS02230	MHL_RS02320
OG0000109	HZK19_RS02235	MHL_RS02325
OG0000110	HZK19_RS02355	MHL_RS02450
OG0000111	HZK19_RS02350	MHL_RS02445
OG0000112	HZK19_RS02340	MHL_RS02435
OG0000113	HZK19_RS02320	MHL_RS02415
OG0000114	HZK19_RS02310	MHL_RS02405
OG0000115	HZK19_RS02300	MHL_RS02395
OG0000116	HZK19_RS01265	MHL_RS01380
OG0000117	HZK19_RS01270	MHL_RS01385
OG0000118	HZK19_RS01305	MHL_RS01420
OG0000119	HZK19_RS01310	MHL_RS01425
OG0000120	HZK19_RS01325	MHL_RS01440
OG0000121	HZK19_RS01350	MHL_RS01465
OG0000122	HZK19_RS01355	MHL_RS01470
OG0000123	HZK19_RS01375	MHL_RS01490
OG0000124	HZK19_RS01380	MHL_RS01495
OG0000125	HZK19_RS01385	MHL_RS01500
OG0000126	HZK19_RS01395	MHL_RS01510
OG0000127	HZK19_RS01405	MHL_RS01520
OG0000128	HZK19_RS01420	MHL_RS01535
OG0000129	HZK19_RS01425	MHL_RS01540
OG0000130	HZK19_RS01435	MHL_RS01550
OG0000131	HZK19_RS01465	MHL_RS01580
OG0000132	HZK19_RS01480	MHL_RS01595
OG0000133	HZK19_RS00520	MHL_RS00530
OG0000134	HZK19_RS00525	MHL_RS00535
OG0000135	HZK19_RS00540	MHL_RS00550
OG0000136	HZK19_RS00545	MHL_RS00555
OG0000137	HZK19_RS00575	MHL_RS00585
OG0000138	HZK19_RS00610	MHL_RS00710
OG0000139	HZK19_RS00640	MHL_RS00740
OG0000140	HZK19_RS00645	MHL_RS00745
OG0000141	HZK19_RS02895	MHL_RS02980
OG0000142	HZK19_RS02890	MHL_RS02975
OG0000143	HZK19_RS02870	MHL_RS02950
OG0000144	HZK19_RS02860	MHL_RS02940
OG0000145	HZK19_RS02850	MHL_RS02930
OG0000146	HZK19_RS02840	MHL_RS02920
OG0000147	HZK19_RS02835	MHL_RS02915
OG0000148	HZK19_RS02820	MHL_RS02900
OG0000149	HZK19_RS02810	MHL_RS02890
OG0000150	HZK19_RS02795	MHL_RS02875
OG0000151	HZK19_RS02750	MHL_RS02830
OG0000152	HZK19_RS02745	MHL_RS02825
OG0000153	HZK19_RS02740	MHL_RS02820
OG0000154	HZK19_RS02730	MHL_RS02810
OG0000155	HZK19_RS02690	MHL_RS02770
OG0000156	HZK19_RS02680	MHL_RS02760
OG0000157	HZK19_RS02675	MHL_RS02755
OG0000158	HZK19_RS03895	MHL_RS04195
OG0000159	HZK19_RS03970	MHL_RS02525
OG0000160	HZK19_RS02425	MHL_RS02520
OG0000161	HZK19_RS02420	MHL_RS02515
OG0000162	HZK19_RS02410	MHL_RS02505
OG0000163	HZK19_RS02405	MHL_RS02500
OG0000164	HZK19_RS01575	MHL_RS01690
OG0000165	HZK19_RS01905	MHL_RS02015
OG0000166	HZK19_RS01925	MHL_RS02035
OG0000167	HZK19_RS01940	MHL_RS02050
OG0000168	HZK19_RS01945	MHL_RS04040
OG0000169	HZK19_RS02990	MHL_RS03055
OG0000170	HZK19_RS03005	MHL_RS03070
OG0000171	HZK19_RS03110	MHL_RS03080
OG0000172	HZK19_RS03115	MHL_RS03085
OG0000173	HZK19_RS03120	MHL_RS03090
OG0000174	HZK19_RS03125	MHL_RS03095
OG0000175	HZK19_RS03140	MHL_RS03110
OG0000176	HZK19_RS03190	MHL_RS03160
OG0000177	HZK19_RS03195	MHL_RS03165
OG0000178	HZK19_RS03200	MHL_RS03170
OG0000179	HZK19_RS03210	MHL_RS03180
OG0000180	HZK19_RS03215	MHL_RS03185
OG0000181	HZK19_RS03265	MHL_RS03225
OG0000182	HZK19_RS03275	MHL_RS03235
OG0000183	HZK19_RS03310	MHL_RS03270
OG0000184	HZK19_RS03355	MHL_RS03310
OG0000185	HZK19_RS03340	MHL_RS03295
OG0000186	HZK19_RS01490	MHL_RS01605
OG0000187	HZK19_RS01505	MHL_RS01620
OG0000188	HZK19_RS01515	MHL_RS01630
OG0000189	HZK19_RS02270	MHL_RS02365
OG0000190	HZK19_RS02265	MHL_RS02360
OG0000191	HZK19_RS02245	MHL_RS02340
OG0000192	HZK19_RS01180	MHL_RS01300
OG0000193	HZK19_RS01175	MHL_RS01290
OG0000194	HZK19_RS00665	MHL_RS00780
OG0000195	HZK19_RS00670	MHL_RS00785
OG0000196	HZK19_RS00690	MHL_RS00805
OG0000197	HZK19_RS00695	MHL_RS00810
OG0000198	HZK19_RS00710	MHL_RS00825
OG0000199	HZK19_RS00715	MHL_RS00830
OG0000200	HZK19_RS00730	MHL_RS00840
OG0000201	HZK19_RS00740	MHL_RS00850
OG0000202	HZK19_RS00795	MHL_RS00905
OG0000203	HZK19_RS00800	MHL_RS00910
OG0000204	HZK19_RS00805	MHL_RS00915
OG0000205	HZK19_RS00810	MHL_RS00920
OG0000206	HZK19_RS00830	MHL_RS00940
OG0000207	HZK19_RS00845	MHL_RS00955
OG0000208	HZK19_RS00850	MHL_RS00960
OG0000209	HZK19_RS00855	MHL_RS00965
OG0000210	HZK19_RS00900	MHL_RS01010
OG0000211	HZK19_RS00910	MHL_RS01020
OG0000212	HZK19_RS00920	MHL_RS01030
OG0000213	HZK19_RS00925	MHL_RS01035
OG0000214	HZK19_RS00930	MHL_RS01040
OG0000215	HZK19_RS00935	MHL_RS01045
OG0000216	HZK19_RS00940	MHL_RS01050
OG0000217	HZK19_RS00945	MHL_RS01055
OG0000218	HZK19_RS00955	MHL_RS01065
