Orthogroup	MHP_ES2L_genes	MHP_131B_genes
OG0000000	HZK19_RS02105	NB627_RS02280, NB627_RS02285, NB627_RS02265
OG0000000	HZK19_RS03675	NB627_RS02260
OG0000000	HZK19_RS02290	NB627_RS02480
OG0000000	HZK19_RS03795	NB627_RS02485
OG0000000	HZK19_RS01695	NB627_RS01860
OG0000001	HZK19_RS03720	NB627_RS01400, NB627_RS01405
OG0000001	HZK19_RS03840	NB627_RS02935
OG0000002	HZK19_RS02110	NB627_RS02290
OG0000002	HZK19_RS01705	NB627_RS01865
OG0000003	HZK19_RS01800	NB627_RS01980
OG0000004	HZK19_RS03240	NB627_RS03390
OG0000004	HZK19_RS03255	NB627_RS03405
OG0000004	HZK19_RS02970	NB627_RS03205
OG0000005	HZK19_RS00085	NB627_RS00100
OG0000005	HZK19_RS00105	NB627_RS00120
OG0000005	HZK19_RS00090	NB627_RS00110
OG0000005	HZK19_RS00110	NB627_RS00125
OG0000006	HZK19_RS02470	NB627_RS02685, NB627_RS02690
OG0000006	HZK19_RS03805	NB627_RS02520
OG0000007	HZK19_RS02155	NB627_RS02345
OG0000007	HZK19_RS02150	NB627_RS02325
OG0000008	HZK19_RS03790	NB627_RS02475
OG0000008	HZK19_RS03745	NB627_RS01765
OG0000008	HZK19_RS03825	NB627_RS02695
OG0000009	HZK19_RS00655	NB627_RS00790
OG0000010	HZK19_RS01810	NB627_RS01985
OG0000012	HZK19_RS01825	NB627_RS01310, NB627_RS02000
OG0000013	HZK19_RS02370	NB627_RS02570
OG0000013	HZK19_RS03715	NB627_RS00185
OG0000014	HZK19_RS00585	NB627_RS00705
OG0000014	HZK19_RS00595	NB627_RS00715
OG0000015	HZK19_RS01540, HZK19_RS03105	NB627_RS00525
OG0000016	HZK19_RS02805	NB627_RS03030
OG0000016	HZK19_RS00155	NB627_RS00170
OG0000017	HZK19_RS00140	NB627_RS00155
OG0000017	HZK19_RS02815	NB627_RS03040
OG0000018	HZK19_RS03075	NB627_RS00490
