Assembly	GCF_007923985.1_ASM792398v1_genomic
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	894983
Total length (>= 1000 bp)	894983
Total length (>= 5000 bp)	894983
Total length (>= 10000 bp)	894983
Total length (>= 25000 bp)	894983
Total length (>= 50000 bp)	894983
# contigs	1
Largest contig	894983
Total length	894983
GC (%)	28.57
N50	894983
N90	894983
auN	894983.0
L50	1
L90	1
# N's per 100 kbp	0.00
