Orthogroup	MHP_MHP682_genes	MFC_MF18_genes
OG0000000	DR097_RS02690	DR082_RS03155
OG0000001	DR097_RS00335, DR097_RS04145, DR097_RS04155	DR082_RS00825, DR082_RS00820
OG0000002	DR097_RS02695	DR082_RS03795
OG0000002	DR097_RS04855	DR082_RS02920
OG0000002	DR097_RS04675	DR082_RS03830
OG0000003	DR097_RS04840	DR082_RS03925
OG0000007	DR097_RS03435	DR082_RS02890
OG0000007	DR097_RS03440	DR082_RS02895
OG0000007	DR097_RS03450	DR082_RS03930
OG0000011	DR097_RS00820	DR082_RS03895, DR082_RS03545
OG0000011	DR097_RS00825	DR082_RS02625
OG0000013	DR097_RS02175	DR082_RS01090, DR082_RS01085
OG0000013	DR097_RS03895	DR082_RS03095
OG0000014	DR097_RS03860, DR097_RS03370	DR082_RS03685
OG0000016	DR097_RS01165	DR082_RS00770
OG0000017	DR097_RS00285	DR082_RS00175
OG0000017	DR097_RS01175	DR082_RS00760
OG0000018	DR097_RS04695	DR082_RS03790
OG0000019	DR097_RS03615	DR082_RS03120
OG0000020	DR097_RS04835	DR082_RS03840
OG0000020	DR097_RS04830	DR082_RS03845
OG0000022	DR097_RS04680	DR082_RS03835
OG0000023	DR097_RS01710, DR097_RS02020	DR082_RS02000
OG0000024	DR097_RS01795, DR097_RS00345	DR082_RS00830
OG0000025	DR097_RS01845	DR082_RS02390
OG0000026	DR097_RS01665, DR097_RS01865	DR082_RS02045
OG0000027	DR097_RS02965	DR082_RS02575
OG0000027	DR097_RS04560	DR082_RS03875
OG0000028	DR097_RS04690	DR082_RS01105
OG0000029	DR097_RS02335	DR082_RS00605
OG0000030	DR097_RS04775, DR097_RS04565	DR082_RS03880
OG0000031	DR097_RS02075, DR097_RS03120	DR082_RS01195
OG0000032	DR097_RS04795, DR097_RS00730	DR082_RS02570
OG0000039	DR097_RS04950	DR082_RS00665
OG0000040	DR097_RS03560	DR082_RS01855, DR082_RS00885
OG0000042	DR097_RS01265	DR082_RS00660, DR082_RS00805
OG0000043	DR097_RS00855	DR082_RS02595
OG0000045	DR097_RS03525	DR082_RS03225, DR082_RS03230
OG0000047	DR097_RS02010	DR082_RS00835
OG0000048	DR097_RS02830	DR082_RS03010, DR082_RS02750
OG0000049	DR097_RS01470	DR082_RS01640, DR082_RS03345
OG0000050	DR097_RS01960	DR082_RS01160
OG0000051	DR097_RS01545	DR082_RS01520
OG0000052	DR097_RS02480	DR082_RS03660
OG0000053	DR097_RS04845	DR082_RS03920
OG0000054	DR097_RS01935	DR082_RS01135
OG0000055	DR097_RS00305	DR082_RS03970
OG0000056	DR097_RS00545	DR082_RS02415
OG0000057	DR097_RS01250	DR082_RS00685
OG0000062	DR097_RS02590	DR082_RS00025
OG0000063	DR097_RS04735	DR082_RS00020
OG0000064	DR097_RS02605	DR082_RS00010
OG0000065	DR097_RS02745	DR082_RS01905
OG0000066	DR097_RS01675	DR082_RS02035
OG0000068	DR097_RS03055	DR082_RS00640
OG0000069	DR097_RS01725	DR082_RS00795
OG0000070	DR097_RS01930	DR082_RS01115
OG0000071	DR097_RS03575	DR082_RS01840
OG0000072	DR097_RS03580, DR097_RS04860	DR082_RS03775
OG0000073	DR097_RS01115	DR082_RS02205
