Orthogroup	MHP_7422_genes	MHP_TB1_genes
OG0000000	MHL_RS02380	B5M19_RS03770
OG0000000	MHL_RS03710	B5M19_RS02100
OG0000001	MHL_RS03980	B5M19_RS02595
OG0000001	MHL_RS02845	B5M19_RS02555
OG0000001	MHL_RS04080	B5M19_RS02510
OG0000002	MHL_RS04055	B5M19_RS04465
OG0000002	MHL_RS01800	B5M19_RS02105
OG0000003	MHL_RS03835	B5M19_RS03885
OG0000004	MHL_RS03215	B5M19_RS04240
OG0000005	MHL_RS00105	B5M19_RS00020
OG0000005	MHL_RS04205	B5M19_RS00030
OG0000005	MHL_RS00115, MHL_RS00130	B5M19_RS04010, B5M19_RS04005
OG0000006	MHL_RS03635	B5M19_RS03635, B5M19_RS03630
OG0000006	MHL_RS02420	B5M19_RS03605, B5M19_RS02695
OG0000008	MHL_RS02375	B5M19_RS03790
OG0000008	MHL_RS04180	B5M19_RS03340
OG0000008	MHL_RS04065	B5M19_RS04540
OG0000009	MHL_RS00755	B5M19_RS04475
OG0000009	MHL_RS00770	B5M19_RS04265
OG0000010	MHL_RS01930	B5M19_RS00670
OG0000010	MHL_RS00100	B5M19_RS00015
OG0000011	MHL_RS04185	B5M19_RS04080
OG0000011	MHL_RS02020	B5M19_RS00765
OG0000013	MHL_RS02470	B5M19_RS02640
OG0000013	MHL_RS03925	B5M19_RS00100
OG0000014	MHL_RS01170	B5M19_RS03715
OG0000014	MHL_RS00695	B5M19_RS03505
OG0000015	MHL_RS00685	B5M19_RS02335
OG0000015	MHL_RS01720	B5M19_RS03260
OG0000016	MHL_RS02885	B5M19_RS01425
OG0000016	MHL_RS00175	B5M19_RS00080
OG0000017	MHL_RS00160	B5M19_RS00065
OG0000017	MHL_RS02895	B5M19_RS01415
OG0000018	MHL_RS00665	B5M19_RS02315
OG0000020	MHL_RS03545	B5M19_RS04305
OG0000020	MHL_RS03550	B5M19_RS02010
OG0000021	MHL_RS03930	B5M19_RS03625
OG0000022	MHL_RS01740	B5M19_RS02040
OG0000022	MHL_RS01790	B5M19_RS02090
OG0000023	MHL_RS00675, MHL_RS03935	B5M19_RS04365
