Orthogroup	MHP_7422_genes	MHP_133A_genes
OG0000000	MHL_RS02190	NB626_RS02275, NB626_RS02255
OG0000000	MHL_RS03905	NB626_RS02345
OG0000000	MHL_RS02380	NB626_RS02475
OG0000000	MHL_RS04190	NB626_RS02480
OG0000000	MHL_RS03710	NB626_RS01850
OG0000001	MHL_RS03980	NB626_RS01400
OG0000001	MHL_RS04080	NB626_RS02930
OG0000002	MHL_RS04055	NB626_RS02360
OG0000002	MHL_RS02195	NB626_RS02280
OG0000002	MHL_RS01800	NB626_RS01855
OG0000003	MHL_RS03835	NB626_RS01965
OG0000004	MHL_RS03205	NB626_RS03385
OG0000004	MHL_RS03215	NB626_RS03400
OG0000005	MHL_RS00105	NB626_RS00100
OG0000005	MHL_RS00125	NB626_RS00120
OG0000005	MHL_RS04205	NB626_RS00110
OG0000005	MHL_RS00130	NB626_RS00125
OG0000006	MHL_RS03635	NB626_RS02680, NB626_RS02685
OG0000006	MHL_RS02420	NB626_RS02520, NB626_RS02515
OG0000007	MHL_RS02250	NB626_RS02340
OG0000007	MHL_RS02245	NB626_RS02320
OG0000008	MHL_RS02375	NB626_RS02470
OG0000008	MHL_RS04180	NB626_RS01750
OG0000008	MHL_RS04065	NB626_RS02690
OG0000009	MHL_RS00755	NB626_RS00765
OG0000009	MHL_RS00090	NB626_RS00085
OG0000009	MHL_RS00770	NB626_RS00780
OG0000010	MHL_RS01930	NB626_RS01975
OG0000011	MHL_RS04185	NB626_RS02080
OG0000012	MHL_RS03845	NB626_RS01310, NB626_RS01990
OG0000013	MHL_RS02470	NB626_RS02565
OG0000013	MHL_RS03925	NB626_RS00185
OG0000014	MHL_RS00590	NB626_RS00695
OG0000014	MHL_RS01170	NB626_RS01210
OG0000014	MHL_RS00695	NB626_RS00705
OG0000015	MHL_RS01645	NB626_RS01740
OG0000015	MHL_RS01720	NB626_RS00515
OG0000016	MHL_RS00175	NB626_RS00170
OG0000017	MHL_RS00160	NB626_RS00155
OG0000017	MHL_RS02895	NB626_RS03035
OG0000020	MHL_RS03550	NB626_RS03760
OG0000021	MHL_RS01835	NB626_RS01895
OG0000022	MHL_RS01740	NB626_RS01775
OG0000022	MHL_RS01790	NB626_RS01830
OG0000024	MHL_RS02790	NB626_RS02925
OG0000024	MHL_RS01355	NB626_RS01390
OG0000025	MHL_RS01745	NB626_RS01780
OG0000025	MHL_RS01785	NB626_RS01825
OG0000026	MHL_RS01445	NB626_RS01480
OG0000027	MHL_RS03755	NB626_RS03540
OG0000027	MHL_RS03360	NB626_RS03555
OG0000028	MHL_RS02480	NB626_RS02595
OG0000029	MHL_RS01165	NB626_RS01205
OG0000029	MHL_RS00700	NB626_RS00710
OG0000030	MHL_RS03335	NB626_RS03530
OG0000030	MHL_RS03355	NB626_RS03550
OG0000032	MHL_RS04000	NB626_RS01690
OG0000032	MHL_RS03350	NB626_RS03545
OG0000033	MHL_RS02475	NB626_RS02570, NB626_RS02580
OG0000035	MHL_RS03210	NB626_RS03395
OG0000035	MHL_RS03195	NB626_RS03380
OG0000036	MHL_RS00120	NB626_RS00115
OG0000036	MHL_RS00135	NB626_RS00130
OG0000039	MHL_RS01705	NB626_RS01720
OG0000040	MHL_RS03285	NB626_RS03470
OG0000041	MHL_RS00760	NB626_RS00770
OG0000041	MHL_RS01270	NB626_RS01305
OG0000042	MHL_RS02985	NB626_RS03120
OG0000043	MHL_RS01990	NB626_RS02045
OG0000043	MHL_RS00625	NB626_RS02045
OG0000044	MHL_RS04220	NB626_RS01790
OG0000045	MHL_RS01710	NB626_RS01725
OG0000046	MHL_RS04100	NB626_RS03480
OG0000046	MHL_RS03290	NB626_RS03475
OG0000047	MHL_RS01655	NB626_RS00500
OG0000048	MHL_RS02170	NB626_RS02235
OG0000049	MHL_RS03060	NB626_RS03235
OG0000050	MHL_RS02510	NB626_RS02625
OG0000052	MHL_RS00080	NB626_RS00075
OG0000053	MHL_RS01530	NB626_RS01570
OG0000054	MHL_RS02535	NB626_RS02650
OG0000055	MHL_RS00140	NB626_RS00135
OG0000056	MHL_RS03530	NB626_RS03740
OG0000057	MHL_RS02970	NB626_RS03105
OG0000058	MHL_RS00610	NB626_RS00425
OG0000059	MHL_RS00620	NB626_RS00455
OG0000060	MHL_RS04115	NB626_RS00080
OG0000061	MHL_RS01940	NB626_RS01985
OG0000062	MHL_RS03580	NB626_RS03790
OG0000063	MHL_RS03575	NB626_RS03785
OG0000064	MHL_RS03565	NB626_RS03775
OG0000065	MHL_RS02310	NB626_RS02405
OG0000066	MHL_RS01435	NB626_RS01470
OG0000068	MHL_RS00735	NB626_RS00745
OG0000069	MHL_RS02860	NB626_RS03000
