Orthogroup	MHP_7422_genes	MFC_MF11_genes
OG0000000	MHL_RS02190	DR093_RS03030, DR093_RS03040
OG0000001	MHL_RS03980, MHL_RS02845, MHL_RS03875, MHL_RS04080	DR093_RS00830, DR093_RS00825
OG0000002	MHL_RS02195	DR093_RS04025
OG0000002	MHL_RS01800	DR093_RS03845
OG0000003	MHL_RS02255	DR093_RS04030
OG0000007	MHL_RS02250	DR093_RS02845
OG0000007	MHL_RS02245	DR093_RS02840
OG0000007	MHL_RS02240	DR093_RS02835
OG0000008	MHL_RS04180	DR093_RS03250
OG0000011	MHL_RS02025, MHL_RS04185	DR093_RS03025
OG0000011	MHL_RS02020	DR093_RS03260
OG0000013	MHL_RS02470	DR093_RS01095, DR093_RS01090
OG0000013	MHL_RS03925	DR093_RS03220
OG0000014	MHL_RS00590, MHL_RS01170, MHL_RS00695	DR093_RS03805
OG0000016	MHL_RS02885	DR093_RS00770
OG0000016	MHL_RS00175	DR093_RS00190
OG0000017	MHL_RS00160	DR093_RS00175
OG0000017	MHL_RS02895	DR093_RS00760
OG0000020	MHL_RS03545	DR093_RS03835
OG0000020	MHL_RS03550	DR093_RS03830
OG0000022	MHL_RS01790	DR093_RS03840
OG0000023	MHL_RS01400, MHL_RS00675, MHL_RS03935	DR093_RS01985
OG0000024	MHL_RS02790, MHL_RS01355	DR093_RS00835
OG0000025	MHL_RS01785	DR093_RS01230
OG0000026	MHL_RS01445	DR093_RS02030
OG0000027	MHL_RS03755	DR093_RS01425
OG0000027	MHL_RS03360	DR093_RS03885
OG0000029	MHL_RS01165, MHL_RS00700	DR093_RS00605
OG0000030	MHL_RS03335, MHL_RS03355	DR093_RS03890
OG0000031	MHL_RS00630	DR093_RS02685
OG0000032	MHL_RS04000, MHL_RS03350	DR093_RS01420
OG0000039	MHL_RS01705	DR093_RS00665
OG0000042	MHL_RS02985	DR093_RS00660, DR093_RS03365, DR093_RS00810
OG0000043	MHL_RS00625	DR093_RS02660
OG0000045	MHL_RS01710	DR093_RS00670
