Orthogroup	MHP_7422_genes	MHP_MHP696_genes
OG0000000	MHL_RS02190	DR090_RS04285
OG0000000	MHL_RS03710	DR090_RS04630
OG0000001	MHL_RS02845	DR090_RS01575
OG0000001	MHL_RS03875	DR090_RS03950
OG0000001	MHL_RS04080	DR090_RS03945
OG0000002	MHL_RS04055	DR090_RS04315
OG0000002	MHL_RS02195	DR090_RS03470
OG0000002	MHL_RS01800	DR090_RS03425
OG0000003	MHL_RS01875	DR090_RS00820
OG0000003	MHL_RS02255	DR090_RS04620
OG0000003	MHL_RS03835	DR090_RS03665
OG0000004	MHL_RS03215	DR090_RS03435
OG0000005	MHL_RS00105	DR090_RS03620
OG0000005	MHL_RS00125	DR090_RS04590
OG0000005	MHL_RS04205	DR090_RS03525
OG0000005	MHL_RS00115	DR090_RS03075
OG0000005	MHL_RS00130	DR090_RS04595
OG0000006	MHL_RS03635	DR090_RS04160
OG0000006	MHL_RS02420	DR090_RS03705, DR090_RS04155
OG0000007	MHL_RS02250	DR090_RS03340
OG0000007	MHL_RS02245	DR090_RS03345
OG0000007	MHL_RS02240	DR090_RS03360
OG0000008	MHL_RS04180	DR090_RS03700
OG0000008	MHL_RS04065	DR090_RS04310
OG0000009	MHL_RS00090	DR090_RS01340
OG0000009	MHL_RS00770	DR090_RS00150
OG0000010	MHL_RS01930	DR090_RS00915
OG0000010	MHL_RS04125	DR090_RS03070
OG0000010	MHL_RS00100	DR090_RS03520, DR090_RS03650
OG0000011	MHL_RS04185	DR090_RS01025
OG0000011	MHL_RS02020	DR090_RS01020
OG0000012	MHL_RS03845	DR090_RS03670
OG0000013	MHL_RS02470	DR090_RS02640
OG0000013	MHL_RS03925	DR090_RS03805
OG0000014	MHL_RS01170	DR090_RS00220
OG0000014	MHL_RS00695	DR090_RS04325
OG0000015	MHL_RS01645, MHL_RS00685, MHL_RS01720	DR090_RS03270
OG0000016	MHL_RS02885	DR090_RS01615
OG0000016	MHL_RS00175	DR090_RS00790
OG0000017	MHL_RS00160	DR090_RS00805
OG0000017	MHL_RS02895	DR090_RS01625
OG0000018	MHL_RS01405, MHL_RS00665	DR090_RS04560
OG0000020	MHL_RS03545	DR090_RS04405
OG0000020	MHL_RS03550	DR090_RS04410
