Orthogroup	MHP_7422_genes	MHP_F72C_genes
OG0000000	MHL_RS02190	EHI52_RS00960
OG0000000	MHL_RS03905	EHI52_RS03755
OG0000000	MHL_RS02380	EHI52_RS02325
OG0000000	MHL_RS04190	EHI52_RS03815
OG0000000	MHL_RS03710	EHI52_RS01775
OG0000001	MHL_RS02845	EHI52_RS02790
OG0000001	MHL_RS04080	EHI52_RS02740
OG0000002	MHL_RS04055	EHI52_RS02215
OG0000002	MHL_RS02195	EHI52_RS03740
OG0000002	MHL_RS01800	EHI52_RS01780
OG0000003	MHL_RS02255	EHI52_RS00975, EHI52_RS03760
OG0000003	MHL_RS03835	EHI52_RS03670
OG0000004	MHL_RS03205	EHI52_RS03210
OG0000004	MHL_RS03215	EHI52_RS03225
OG0000005	MHL_RS00105	EHI52_RS00100
OG0000005	MHL_RS00125	EHI52_RS00120
OG0000005	MHL_RS04205	EHI52_RS00105
OG0000005	MHL_RS00115	EHI52_RS00110
OG0000005	MHL_RS00130	EHI52_RS00125
OG0000006	MHL_RS03635	EHI52_RS02500
OG0000006	MHL_RS02420	EHI52_RS02365, EHI52_RS03880
OG0000006	MHL_RS02390	EHI52_RS02330
OG0000007	MHL_RS02250	EHI52_RS00980
OG0000007	MHL_RS02245	EHI52_RS00985
OG0000007	MHL_RS02240	EHI52_RS00995
OG0000008	MHL_RS02375	EHI52_RS02320
OG0000008	MHL_RS04180	EHI52_RS03775
OG0000008	MHL_RS04065	EHI52_RS03830
OG0000009	MHL_RS00090	EHI52_RS00085
OG0000009	MHL_RS00770	EHI52_RS00680
OG0000010	MHL_RS01930	EHI52_RS02085
OG0000011	MHL_RS04185	EHI52_RS01985
OG0000011	MHL_RS02020	EHI52_RS01990
OG0000012	MHL_RS03845	EHI52_RS03635
OG0000013	MHL_RS02470	EHI52_RS02410
OG0000013	MHL_RS03925	EHI52_RS03710
OG0000014	MHL_RS00590	EHI52_RS00615
OG0000014	MHL_RS01170	EHI52_RS01155
OG0000016	MHL_RS02885	EHI52_RS02830
OG0000016	MHL_RS00175	EHI52_RS00170
OG0000017	MHL_RS00160	EHI52_RS00155
OG0000017	MHL_RS02895	EHI52_RS02840
OG0000020	MHL_RS03545	EHI52_RS03550
OG0000020	MHL_RS03550	EHI52_RS03555
OG0000021	MHL_RS03930	EHI52_RS03715
OG0000022	MHL_RS01740	EHI52_RS01715
OG0000022	MHL_RS01790	EHI52_RS01770
OG0000024	MHL_RS02790	EHI52_RS02735
OG0000024	MHL_RS01355	EHI52_RS01335
OG0000025	MHL_RS01745	EHI52_RS01720
OG0000025	MHL_RS01785	EHI52_RS01765
OG0000026	MHL_RS01445	EHI52_RS01425
OG0000027	MHL_RS03755	EHI52_RS03355
OG0000028	MHL_RS02480	EHI52_RS02420
OG0000029	MHL_RS01165	EHI52_RS01150
OG0000029	MHL_RS00700	EHI52_RS00620
OG0000030	MHL_RS03335	EHI52_RS03350
OG0000031	MHL_RS01685	EHI52_RS01660
OG0000031	MHL_RS00630	EHI52_RS01660
OG0000032	MHL_RS04000	EHI52_RS01630
OG0000033	MHL_RS02475	EHI52_RS03820
OG0000035	MHL_RS03210	EHI52_RS03220
OG0000035	MHL_RS03195	EHI52_RS03205
OG0000036	MHL_RS00120	EHI52_RS00115, EHI52_RS03705
OG0000036	MHL_RS00135	EHI52_RS00130
OG0000038	MHL_RS01870	EHI52_RS02145
OG0000039	MHL_RS01705	EHI52_RS01675
OG0000040	MHL_RS03285	EHI52_RS03295
OG0000041	MHL_RS00760, MHL_RS01270	EHI52_RS03655
OG0000043	MHL_RS01990	EHI52_RS02020
OG0000043	MHL_RS00625	EHI52_RS02020
OG0000044	MHL_RS04220	EHI52_RS03910
OG0000045	MHL_RS01710	EHI52_RS01680
OG0000046	MHL_RS04100	EHI52_RS03305
OG0000048	MHL_RS02170	EHI52_RS01840
OG0000049	MHL_RS03060	EHI52_RS03065
OG0000050	MHL_RS02510	EHI52_RS02450
OG0000051	MHL_RS02710	EHI52_RS02650
OG0000052	MHL_RS00080	EHI52_RS00075
OG0000053	MHL_RS01530	EHI52_RS01510
OG0000054	MHL_RS02535	EHI52_RS02475
OG0000055	MHL_RS00140	EHI52_RS00135
OG0000056	MHL_RS03530	EHI52_RS03530
OG0000057	MHL_RS02970	EHI52_RS02915
OG0000060	MHL_RS04115	EHI52_RS00080
