Orthogroup	MHP_7422_genes	MHP_ES2_genes
OG0000000	MHL_RS02190	E5E95_RS02240
OG0000000	MHL_RS03905	E5E95_RS04075
OG0000000	MHL_RS02380	E5E95_RS02430
OG0000000	MHL_RS04190	E5E95_RS04240
OG0000000	MHL_RS03710	E5E95_RS04235, E5E95_RS01835
OG0000001	MHL_RS03980	E5E95_RS01300
OG0000001	MHL_RS02845	E5E95_RS03000
OG0000001	MHL_RS04080	E5E95_RS04150
OG0000002	MHL_RS04055	E5E95_RS02320
OG0000002	MHL_RS02195	E5E95_RS02250
OG0000002	MHL_RS01800	E5E95_RS01840
OG0000003	MHL_RS01875	E5E95_RS01870
OG0000003	MHL_RS02255	E5E95_RS04070
OG0000003	MHL_RS03835	E5E95_RS03910
OG0000004	MHL_RS03205	E5E95_RS03410
OG0000004	MHL_RS03215	E5E95_RS03425
OG0000005	MHL_RS00105	E5E95_RS00090
OG0000005	MHL_RS00125	E5E95_RS00110
OG0000005	MHL_RS04205	E5E95_RS00095
OG0000005	MHL_RS00115	E5E95_RS00100
OG0000005	MHL_RS00130	E5E95_RS00115
OG0000006	MHL_RS03635	E5E95_RS02705
OG0000006	MHL_RS02420	E5E95_RS02445, E5E95_RS04120, E5E95_RS04115
OG0000007	MHL_RS02250	E5E95_RS02300
OG0000007	MHL_RS02245	E5E95_RS02295
OG0000007	MHL_RS02240	E5E95_RS02290
OG0000008	MHL_RS02375	E5E95_RS03925, E5E95_RS04080
OG0000008	MHL_RS04180	E5E95_RS03905
OG0000008	MHL_RS04065	E5E95_RS03930, E5E95_RS04135
OG0000009	MHL_RS00755	E5E95_RS00665
OG0000009	MHL_RS00770	E5E95_RS00680
OG0000010	MHL_RS01930	E5E95_RS01970
OG0000011	MHL_RS04185	E5E95_RS02070
OG0000011	MHL_RS02020	E5E95_RS02060
OG0000013	MHL_RS02470	E5E95_RS02610
OG0000013	MHL_RS03925	E5E95_RS03955
OG0000014	MHL_RS00590	E5E95_RS00595
OG0000014	MHL_RS01170	E5E95_RS01105
OG0000014	MHL_RS00695	E5E95_RS00605
OG0000015	MHL_RS01645	E5E95_RS01745
OG0000015	MHL_RS01720	E5E95_RS02450
OG0000016	MHL_RS02885	E5E95_RS03040
OG0000016	MHL_RS00175	E5E95_RS00160
OG0000017	MHL_RS00160	E5E95_RS00145
OG0000017	MHL_RS02895	E5E95_RS03050
OG0000020	MHL_RS03545	E5E95_RS03770
OG0000021	MHL_RS01835	E5E95_RS01875
OG0000022	MHL_RS01740	E5E95_RS01770
OG0000022	MHL_RS01790	E5E95_RS01825
