Orthogroup	MHP_116_proteins	MHP_ES2_proteins
OG0000000	WP_348602510.1	WP_240536417.1
OG0000000	WP_348602860.1	WP_135618868.1
OG0000000	WP_348602504.1	WP_240536413.1
OG0000000	WP_228729165.1	WP_228729165.1
OG0000000	WP_348602503.1	WP_094521686.1
OG0000000	WP_348602862.1	WP_135618898.1
OG0000000	WP_348602524.1	WP_318026010.1
OG0000000	WP_348602817.1	WP_135618783.1, WP_318026031.1, WP_334199108.1
OG0000001	WP_348602774.1	WP_193325079.1
OG0000001	WP_348572046.1	WP_237697234.1
OG0000001	WP_348602576.1	WP_240536342.1, WP_240536341.1
OG0000002	WP_237697200.1	WP_237697200.1
OG0000002	WP_348602505.1	WP_135618870.1
OG0000002	WP_348602818.1	WP_135618787.1
OG0000003	WP_348602702.1	WP_135618540.1
OG0000003	WP_348602509.1	WP_240536309.1
OG0000003	WP_094521666.1	WP_228729174.1
OG0000004	WP_044284712.1	WP_014579982.1
OG0000004	WP_348602619.1	WP_135619084.1
OG0000004	WP_348602620.1	WP_135619088.1
OG0000004	WP_348602621.1	WP_135619092.1
OG0000005	WP_348602674.1	WP_135618450.1
OG0000005	WP_348602675.1	WP_135618452.1
OG0000005	WP_348602676.1	WP_135618454.1, WP_135618458.1
OG0000006	WP_348602543.1	WP_135618942.1
OG0000007	WP_011284157.1	WP_011284157.1
OG0000007	WP_002557993.1	WP_002557993.1
OG0000007	WP_348602508.1	WP_135618872.1
OG0000008	WP_348602523.1	WP_240536315.1, WP_011206260.1
OG0000008	WP_348602804.1	WP_240536388.1
OG0000008	WP_348602544.1	WP_240536339.1, WP_240536338.1
OG0000009	WP_348602749.1	WP_011206100.1
OG0000009	WP_348602762.1	WP_135618648.1
OG0000009	WP_348602747.1	WP_135618567.1
OG0000010	WP_348602833.1	WP_135618816.1
OG0000011	WP_348602848.1	WP_240536403.1, WP_135618836.1
OG0000011	WP_348602847.1	WP_135618832.1
OG0000013	WP_348602536.1	WP_240536333.1
OG0000013	WP_348602684.1	WP_240536360.1
OG0000014	WP_348602713.1	WP_135618555.1
OG0000014	WP_348602754.1	WP_135618629.1
OG0000014	WP_348602753.1	WP_135618557.1
OG0000015	WP_240536643.1	WP_135618902.1
OG0000015	WP_146379573.1	WP_240536383.1
OG0000016	WP_348602584.1	WP_135619010.1
OG0000016	WP_348602682.1	WP_135618472.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_020835837.1	WP_020835837.1
OG0000018	WP_348602781.1	WP_135618680.1, WP_135618751.1
OG0000019	WP_348602604.1	WP_135619049.1
OG0000019	WP_348602605.1	WP_135619053.1
OG0000020	WP_348602656.1	WP_240536358.1
OG0000021	WP_348602703.1	WP_011206128.1
OG0000022	WP_348602807.1	WP_135618767.1
OG0000022	WP_348602816.1	WP_135618781.1
OG0000024	WP_348602575.1	WP_135618988.1
OG0000024	WP_348602773.1	WP_135618668.1
OG0000025	WP_348602808.1	WP_135618769.1
OG0000025	WP_348602815.1	WP_135618779.1
OG0000026	WP_348602786.1	WP_044284614.1
OG0000026	WP_348602812.1	WP_135618775.1
OG0000027	WP_348602636.1	WP_135619129.1
OG0000028	WP_348602538.1	WP_135618930.1
OG0000029	WP_348602714.1	WP_135618627.1
OG0000029	WP_348602752.1	WP_135618559.1
OG0000030	WP_348602635.1	WP_240536353.1
OG0000031	WP_348602800.1	WP_011284063.1
OG0000032	WP_348602799.1	WP_135618726.1
OG0000035	WP_044284714.1	WP_135619086.1
OG0000036	WP_348602677.1	WP_135618460.1
OG0000037	WP_348602858.1	WP_240536407.1
OG0000037	WP_020835661.1	WP_020835661.1
OG0000039	WP_348602802.1	WP_135618739.1, WP_167871264.1
OG0000040	WP_348602629.1	WP_135619110.1
OG0000041	WP_011290019.1	WP_135618565.1
OG0000042	WP_348602593.1	WP_135619032.1
OG0000043	WP_014579804.1	WP_014579804.1
OG0000044	WP_225973034.1	WP_081430780.1
OG0000045	WP_160606615.1	WP_135618740.1
OG0000046	WP_348602631.1	WP_135619114.1
OG0000048	WP_011284150.1	WP_135618866.1
OG0000049	WP_348602606.1	WP_240536351.1
OG0000050	WP_348602539.1	WP_135618938.1
OG0000051	WP_348602565.1	WP_135618969.1
OG0000052	WP_011283836.1	WP_135618448.1
OG0000053	WP_348602794.1	WP_135618705.1
OG0000054	WP_348602541.1	WP_135618940.1
OG0000055	WP_348602678.1	WP_135618462.1
OG0000056	WP_348571887.1	WP_135619162.1
OG0000057	WP_348602591.1	WP_240536348.1
OG0000060	WP_348602763.1	WP_240536367.1
OG0000061	WP_348602835.1	WP_135618818.1
OG0000062	WP_348602661.1, WP_011206522.1	WP_011206522.1
OG0000063	WP_348602663.1, WP_348602660.1	WP_135619169.1
OG0000064	WP_348602658.1	WP_135619167.1
OG0000065	WP_225972975.1	WP_011290219.1
OG0000066	WP_011205965.1	WP_011205965.1
OG0000067	WP_348602706.1	WP_135618544.1
OG0000068	WP_011206103.1	WP_011206103.1
OG0000069	WP_011206373.1	WP_135619002.1
OG0000070	WP_348602542.1	WP_011206292.1
OG0000071	WP_348571847.1	WP_135619103.1
OG0000072	WP_348602628.1	WP_135619105.1
OG0000073	WP_011206093.1	WP_011206093.1
OG0000074	WP_348602722.1	WP_044284596.1
OG0000075	WP_014579568.1	WP_135618517.1
OG0000076	WP_146379475.1	WP_135618521.1
OG0000077	WP_348602701.1	WP_135618533.1
OG0000078	WP_348602810.1	WP_135618771.1
OG0000079	WP_348602553.1	WP_135618951.1
OG0000080	WP_348602560.1	WP_179695988.1
OG0000081	WP_011289985.1	WP_135618515.1
OG0000082	WP_348602535.1	WP_240536332.1
OG0000083	WP_011206216.1	WP_011206216.1
OG0000084	WP_011284142.1	WP_011206222.1
OG0000085	WP_348602498.1	WP_011206223.1
OG0000086	WP_348602499.1	WP_135618860.1
OG0000087	WP_348602502.1	WP_044272477.1
OG0000088	WP_020835733.1	WP_044272480.1
OG0000089	WP_011206231.1	WP_011206231.1
OG0000090	WP_094521535.1	WP_044278048.1
OG0000091	WP_348602669.1	WP_011205850.1
OG0000092	WP_348602668.1	WP_011205847.1
OG0000093	WP_020835484.1	WP_011205846.1
OG0000094	WP_348602667.1	WP_014579519.1
OG0000095	WP_044272251.1	WP_044272251.1
OG0000096	WP_011206529.1	WP_011206529.1
OG0000097	WP_348602664.1	WP_135619172.1
OG0000098	WP_135619170.1	WP_135619170.1
OG0000099	WP_348602654.1	WP_135619164.1
OG0000100	WP_160585575.1	WP_135619158.1
OG0000101	WP_011206510.1	WP_011206510.1
OG0000102	WP_348602859.1	WP_135619192.1
OG0000103	WP_348571656.1	WP_135618876.1
