#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP098237.1:92935-94731|+   -            599 501at2085            -            526  3.6e-249  823.2   9.0   1   1  5.1e-251  7.5e-249  822.2   9.0     1   526     1   594     1   594 0.93 NZ_CP098237.1_81 # 92935 # 94731 # 1 # ID=1_81;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.343
NZ_CP098237.1:96064-98148|-   -            695 501at2085            -            526   6.2e-47  155.9   1.2   1   4   1.8e-36   2.6e-34  114.2   0.1     4   153     8   162     5   186 0.86 NZ_CP098237.1_83 # 96064 # 98148 # -1 # ID=1_83;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
NZ_CP098237.1:96064-98148|-   -            695 501at2085            -            526   6.2e-47  155.9   1.2   2   4      0.53        78   -2.9   0.0   155   173   263   281   256   293 0.80 NZ_CP098237.1_83 # 96064 # 98148 # -1 # ID=1_83;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
NZ_CP098237.1:96064-98148|-   -            695 501at2085            -            526   6.2e-47  155.9   1.2   3   4     6e-12   8.9e-10   33.2   0.1   170   339   301   485   289   498 0.69 NZ_CP098237.1_83 # 96064 # 98148 # -1 # ID=1_83;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
NZ_CP098237.1:96064-98148|-   -            695 501at2085            -            526   6.2e-47  155.9   1.2   4   4    0.0026      0.39    4.7   0.0   350   411   607   675   595   691 0.78 NZ_CP098237.1_83 # 96064 # 98148 # -1 # ID=1_83;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
NZ_CP098237.1:784714-786513|- -            600 501at2085            -            526   2.6e-19   64.7   2.9   1   3   1.7e-21   2.6e-19   64.7   2.9    10   196   117   308   115   321 0.77 NZ_CP098237.1_643 # 784714 # 786513 # -1 # ID=1_643;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354
NZ_CP098237.1:784714-786513|- -            600 501at2085            -            526   2.6e-19   64.7   2.9   2   3      0.66        97   -3.2   0.6   135   181   388   434   378   447 0.72 NZ_CP098237.1_643 # 784714 # 786513 # -1 # ID=1_643;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354
NZ_CP098237.1:784714-786513|- -            600 501at2085            -            526   2.6e-19   64.7   2.9   3   3      0.37        55   -2.4   0.0   382   408   480   506   464   515 0.80 NZ_CP098237.1_643 # 784714 # 786513 # -1 # ID=1_643;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354
NZ_CP098237.1:708138-709346|- -            403 501at2085            -            526     2e-18   61.8   3.1   1   2   3.1e-20   4.5e-18   60.6   0.3     8   140    20   155    14   168 0.88 NZ_CP098237.1_580 # 708138 # 709346 # -1 # ID=1_580;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
NZ_CP098237.1:708138-709346|- -            403 501at2085            -            526     2e-18   61.8   3.1   2   2     0.023       3.4    1.6   0.2   161   256   205   309   194   325 0.67 NZ_CP098237.1_580 # 708138 # 709346 # -1 # ID=1_580;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
NZ_CP098237.1:91076-92377|+   -            434 501at2085            -            526   8.4e-13   43.2   0.5   1   2   4.8e-06   0.00071   13.8   0.1    62   180    45   170    35   173 0.76 NZ_CP098237.1_78 # 91076 # 92377 # 1 # ID=1_78;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
NZ_CP098237.1:91076-92377|+   -            434 501at2085            -            526   8.4e-13   43.2   0.5   2   2     3e-10   4.4e-08   27.7   0.1    78   168   238   340   214   363 0.81 NZ_CP098237.1_78 # 91076 # 92377 # 1 # ID=1_78;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/154B/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/154B/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/154B/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/154B/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/154B/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/154B/Use
# Date:            Sun Dec  1 19:00:48 2024
# [ok]
