#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
seq00000002:18385-20181|- -            599 501at2085            -            526  3.6e-248  819.8   8.9   1   1  5.2e-250  7.3e-248  818.8   8.9     1   526     1   594     1   594 0.93 seq00000002_16 # 18385 # 20181 # -1 # ID=6_16;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.345
seq00000002:14969-17053|+ -            695 501at2085            -            526   5.9e-47  155.9   1.2   1   4   1.8e-36   2.5e-34  114.2   0.1     4   153     8   162     5   186 0.86 seq00000002_14 # 14969 # 17053 # 1 # ID=6_14;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
seq00000002:14969-17053|+ -            695 501at2085            -            526   5.9e-47  155.9   1.2   2   4      0.53        75   -2.9   0.0   155   173   263   281   256   293 0.80 seq00000002_14 # 14969 # 17053 # 1 # ID=6_14;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
seq00000002:14969-17053|+ -            695 501at2085            -            526   5.9e-47  155.9   1.2   3   4     6e-12   8.5e-10   33.2   0.1   170   339   301   485   289   498 0.69 seq00000002_14 # 14969 # 17053 # 1 # ID=6_14;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
seq00000002:14969-17053|+ -            695 501at2085            -            526   5.9e-47  155.9   1.2   4   4    0.0026      0.37    4.7   0.0   350   411   607   675   595   691 0.78 seq00000002_14 # 14969 # 17053 # 1 # ID=6_14;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.374
seq00000003:16098-17897|- -            600 501at2085            -            526   2.5e-19   64.7   2.9   1   3   1.7e-21   2.5e-19   64.7   2.9    10   196   117   308   115   321 0.77 seq00000003_16 # 16098 # 17897 # -1 # ID=7_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354
seq00000003:16098-17897|- -            600 501at2085            -            526   2.5e-19   64.7   2.9   2   3      0.56        79   -3.0   0.6   135   181   388   434   377   452 0.72 seq00000003_16 # 16098 # 17897 # -1 # ID=7_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354
seq00000003:16098-17897|- -            600 501at2085            -            526   2.5e-19   64.7   2.9   3   3      0.34        48   -2.2   0.0   382   408   480   506   460   516 0.80 seq00000003_16 # 16098 # 17897 # -1 # ID=7_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.354
scf00000002:72025-73233|- -            403 501at2085            -            526     2e-18   61.7   2.9   1   2   3.7e-20   5.2e-18   60.3   0.2     8   140    20   155    14   168 0.88 scf00000002_48 # 72025 # 73233 # -1 # ID=3_48;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
scf00000002:72025-73233|- -            403 501at2085            -            526     2e-18   61.7   2.9   2   2     0.023       3.3    1.6   0.2   161   256   205   309   194   325 0.67 scf00000002_48 # 72025 # 73233 # -1 # ID=3_48;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
seq00000002:20739-22040|- -            434 501at2085            -            526   9.8e-13   42.9   0.5   1   2   5.8e-06   0.00081   13.5   0.1    62   180    45   170    35   173 0.76 seq00000002_19 # 20739 # 22040 # -1 # ID=6_19;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
seq00000002:20739-22040|- -            434 501at2085            -            526   9.8e-13   42.9   0.5   2   2     3e-10   4.2e-08   27.7   0.1    78   168   238   340   214   363 0.81 seq00000002_19 # 20739 # 22040 # -1 # ID=6_19;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP709/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP709/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP709/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP709/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP709/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP709/Use
# Date:            Thu Nov 28 19:36:59 2024
# [ok]
