#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP034597.1:112783-113574|+ -            264 1679at2085           -            265   2.8e-79  261.4  12.4   1   1   3.6e-81   3.1e-79  261.3  12.4    12   256     1   255     1   263 0.90 NZ_CP034597.1_91 # 112783 # 113574 # 1 # ID=1_91;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.269
NZ_CP034597.1:92881-94182|+   -            434 1679at2085           -            265   3.5e-23   77.5  11.9   1   3   1.5e-11   1.3e-09   33.1   0.2   123   177     6    64     1    79 0.80 NZ_CP034597.1_74 # 92881 # 94182 # 1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
NZ_CP034597.1:92881-94182|+   -            434 1679at2085           -            265   3.5e-23   77.5  11.9   2   3   1.6e-12   1.4e-10   36.3   0.5    22   173    78   228    71   240 0.77 NZ_CP034597.1_74 # 92881 # 94182 # 1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
NZ_CP034597.1:92881-94182|+   -            434 1679at2085           -            265   3.5e-23   77.5  11.9   3   3   7.1e-06   0.00061   14.4   1.1    24   139   251   380   245   386 0.62 NZ_CP034597.1_74 # 92881 # 94182 # 1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.293
NZ_CP034597.1:570478-571074|- -            199 1679at2085           -            265   5.1e-13   44.2   5.5   1   2   8.5e-13   7.3e-11   37.1   0.1   123   172    41    91    32   109 0.90 NZ_CP034597.1_457 # 570478 # 571074 # -1 # ID=1_457;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.296
NZ_CP034597.1:570478-571074|- -            199 1679at2085           -            265   5.1e-13   44.2   5.5   2   2   0.00035      0.03    8.9   1.9    24    97   117   195   102   198 0.77 NZ_CP034597.1_457 # 570478 # 571074 # -1 # ID=1_457;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.296
NZ_CP034597.1:256189-257517|- -            443 1679at2085           -            265   1.1e-12   43.2  15.6   1   3         1        87   -2.4   0.1   231   258   137   164   113   170 0.58 NZ_CP034597.1_232 # 256189 # 257517 # -1 # ID=1_232;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
NZ_CP034597.1:256189-257517|- -            443 1679at2085           -            265   1.1e-12   43.2  15.6   2   3     1e-13   8.6e-12   40.2   0.3    97   174   194   275   184   289 0.78 NZ_CP034597.1_232 # 256189 # 257517 # -1 # ID=1_232;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
NZ_CP034597.1:256189-257517|- -            443 1679at2085           -            265   1.1e-12   43.2  15.6   3   3   0.00024      0.02    9.5   6.1    21   104   291   366   281   386 0.71 NZ_CP034597.1_232 # 256189 # 257517 # -1 # ID=1_232;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.315
NZ_CP034597.1:190097-190978|- -            294 1679at2085           -            265   1.6e-10   36.0   9.5   1   2   2.1e-11   1.8e-09   32.6   0.3   119   175     6    66     2    84 0.78 NZ_CP034597.1_155 # 190097 # 190978 # -1 # ID=1_155;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.295
NZ_CP034597.1:190097-190978|- -            294 1679at2085           -            265   1.6e-10   36.0   9.5   2   2    0.0015      0.13    6.8   4.0    47   103   108   169    77   190 0.77 NZ_CP034597.1_155 # 190097 # 190978 # -1 # ID=1_155;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.295
