#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_LR214993.1:243588-244379|- -            264 1679at2085           -            265   1.3e-78  259.4  13.2   1   1   1.5e-80   1.4e-78  259.3  13.2    12   256     1   255     1   263 0.90 NZ_LR214993.1_215 # 243588 # 244379 # -1 # ID=2_215;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.265
NZ_LR214992.1:92897-94198|+   -            434 1679at2085           -            265   3.8e-23   77.5  11.9   1   3   1.5e-11   1.4e-09   33.1   0.2   123   177     6    64     1    79 0.80 NZ_LR214992.1_74 # 92897 # 94198 # 1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
NZ_LR214992.1:92897-94198|+   -            434 1679at2085           -            265   3.8e-23   77.5  11.9   2   3   1.6e-12   1.5e-10   36.3   0.5    22   173    78   228    71   240 0.77 NZ_LR214992.1_74 # 92897 # 94198 # 1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
NZ_LR214992.1:92897-94198|+   -            434 1679at2085           -            265   3.8e-23   77.5  11.9   3   3   7.1e-06   0.00066   14.4   1.1    24   139   251   380   245   386 0.62 NZ_LR214992.1_74 # 92897 # 94198 # 1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.291
NZ_LR214992.1:330236-330832|- -            199 1679at2085           -            265   2.6e-13   45.3   5.4   1   2   8.2e-13   7.5e-11   37.2   0.1   123   172    41    91    32   106 0.90 NZ_LR214992.1_246 # 330236 # 330832 # -1 # ID=1_246;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.298
NZ_LR214992.1:330236-330832|- -            199 1679at2085           -            265   2.6e-13   45.3   5.4   2   2   0.00018     0.017    9.8   1.8    24    97   117   195   102   198 0.78 NZ_LR214992.1_246 # 330236 # 330832 # -1 # ID=1_246;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.298
NZ_LR214993.1:116610-117938|+ -            443 1679at2085           -            265   1.6e-12   42.7  15.7   1   3       1.1        98   -2.5   0.1   231   258   137   164   114   170 0.58 NZ_LR214993.1_94 # 116610 # 117938 # 1 # ID=2_94;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
NZ_LR214993.1:116610-117938|+ -            443 1679at2085           -            265   1.6e-12   42.7  15.7   2   3   1.3e-13   1.2e-11   39.8   0.2    97   174   194   275   185   287 0.79 NZ_LR214993.1_94 # 116610 # 117938 # 1 # ID=2_94;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
NZ_LR214993.1:116610-117938|+ -            443 1679at2085           -            265   1.6e-12   42.7  15.7   3   3   0.00027     0.025    9.3   6.3    21   104   291   366   283   386 0.70 NZ_LR214993.1_94 # 116610 # 117938 # 1 # ID=2_94;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.314
NZ_LR214993.1:160531-161412|+ -            294 1679at2085           -            265   1.6e-10   36.1   9.5   1   2   2.1e-11   1.9e-09   32.6   0.3   119   175     6    66     2    84 0.78 NZ_LR214993.1_146 # 160531 # 161412 # 1 # ID=2_146;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
NZ_LR214993.1:160531-161412|+ -            294 1679at2085           -            265   1.6e-10   36.1   9.5   2   2    0.0015      0.14    6.8   4.0    47   103   108   169    77   190 0.77 NZ_LR214993.1_146 # 160531 # 161412 # 1 # ID=2_146;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.291
NZ_LR214992.1:55473-56732|+   -            420 1679at2085           -            265   3.9e-06   21.7  12.8   1   2     5e-07   4.6e-05   18.2   0.1   124   175   161   215   145   236 0.75 NZ_LR214992.1_43 # 55473 # 56732 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.308
NZ_LR214992.1:55473-56732|+   -            420 1679at2085           -            265   3.9e-06   21.7  12.8   2   2    0.0072      0.66    4.6   9.4    39   121   257   343   253   346 0.86 NZ_LR214992.1_43 # 55473 # 56732 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.308
NZ_LR214992.1:128928-130031|- -            368 1679at2085           -            265   1.4e-05   19.9   0.1   1   1   3.4e-07   3.2e-05   18.8   0.1   119   155     2    37     1    47 0.85 NZ_LR214992.1_106 # 128928 # 130031 # -1 # ID=1_106;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.303
NZ_LR214993.1:163734-164591|+ -            286 1679at2085           -            265   2.1e-05   19.4   8.0   1   1   4.7e-05    0.0043   11.8   8.0    19   173    65   212    58   231 0.62 NZ_LR214993.1_150 # 163734 # 164591 # 1 # ID=2_150;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.280
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/NCTC10127/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/NCTC10127/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/NCTC10127/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/NCTC10127/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/NCTC10127/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/NCTC10127/Use
# Date:            Sun Dec  1 19:04:55 2024
# [ok]
