#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP079799.1:590123-590653|- -            177 4324at2085           -            135   8.8e-42  137.7   2.8   1   1   2.2e-43   1.7e-41  136.8   2.8     1   134     1   168     1   169 0.79 NZ_CP079799.1_476 # 590123 # 590653 # -1 # ID=1_476;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.303
NZ_CP079799.1:92898-94199|+   -            434 4324at2085           -            135   1.5e-15   52.8   7.2   1   3   4.8e-10   3.8e-08   28.8   0.1    10    46     3    39     1   129 0.72 NZ_CP079799.1_73 # 92898 # 94199 # 1 # ID=1_73;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.294
NZ_CP079799.1:92898-94199|+   -            434 4324at2085           -            135   1.5e-15   52.8   7.2   2   3   3.8e-09     3e-07   25.9   0.2    11    60   172   228   162   311 0.61 NZ_CP079799.1_73 # 92898 # 94199 # 1 # ID=1_73;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.294
NZ_CP079799.1:92898-94199|+   -            434 4324at2085           -            135   1.5e-15   52.8   7.2   3   3      0.52        41   -0.5   0.4    25    82   353   412   334   421 0.72 NZ_CP079799.1_73 # 92898 # 94199 # 1 # ID=1_73;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.294
NZ_CP079799.1:112795-113586|+ -            264 4324at2085           -            135   1.6e-08   30.0  10.4   1   4     0.025         2    3.8   1.2   100   124    42    66     8    73 0.72 NZ_CP079799.1_89 # 112795 # 113586 # 1 # ID=1_89;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.265
NZ_CP079799.1:112795-113586|+ -            264 4324at2085           -            135   1.6e-08   30.0  10.4   2   4      0.43        33   -0.2   0.6    74   119    62   104    55   108 0.56 NZ_CP079799.1_89 # 112795 # 113586 # 1 # ID=1_89;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.265
NZ_CP079799.1:112795-113586|+ -            264 4324at2085           -            135   1.6e-08   30.0  10.4   3   4   2.4e-10   1.9e-08   29.8   0.1    11    71   112   174   103   208 0.79 NZ_CP079799.1_89 # 112795 # 113586 # 1 # ID=1_89;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.265
NZ_CP079799.1:112795-113586|+ -            264 4324at2085           -            135   1.6e-08   30.0  10.4   4   4      0.18        14    1.1   0.1    85   114   209   238   203   244 0.84 NZ_CP079799.1_89 # 112795 # 113586 # 1 # ID=1_89;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.265
NZ_CP079799.1:239963-241291|- -            443 4324at2085           -            135   5.1e-08   28.4   4.2   1   2       4.7   3.7e+02   -3.5   0.0    27    49    93   115    88   124 0.63 NZ_CP079799.1_211 # 239963 # 241291 # -1 # ID=1_211;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.313
NZ_CP079799.1:239963-241291|- -            443 4324at2085           -            135   5.1e-08   28.4   4.2   2   2   1.4e-09   1.1e-07   27.3   2.3    12   129   219   350   215   357 0.68 NZ_CP079799.1_211 # 239963 # 241291 # -1 # ID=1_211;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.313
NZ_CP079799.1:194575-195456|- -            294 4324at2085           -            135   1.2e-06   23.9   3.4   1   1   4.1e-08   3.2e-06   22.6   3.4    12   115     9   129     3   141 0.63 NZ_CP079799.1_157 # 194575 # 195456 # -1 # ID=1_157;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
