Orthogroup	MHP_7448_genes	MHP_116_genes
OG0000000	MHP7448_RS02135	ABJ972_RS02145
OG0000000	MHP7448_RS02245	ABJ972_RS02265
OG0000000	MHP7448_RS03825	ABJ972_RS02270
OG0000000	MHP7448_RS01735, MHP7448_RS01740	ABJ972_RS01695
OG0000001	MHP7448_RS01300	ABJ972_RS01270
OG0000001	MHP7448_RS01295	ABJ972_RS01265
OG0000001	MHP7448_RS03920, MHP7448_RS04045	ABJ972_RS02675
OG0000002	MHP7448_RS03995	ABJ972_RS02150
OG0000002	MHP7448_RS01745	ABJ972_RS01715
OG0000003	MHP7448_RS03870	ABJ972_RS02140, ABJ972_RS01815
OG0000004	MHP7448_RS03230	ABJ972_RS03105
OG0000004	MHP7448_RS03235	ABJ972_RS03110
OG0000004	MHP7448_RS03245	ABJ972_RS03120
OG0000004	MHP7448_RS03055	ABJ972_RS02945
OG0000004	MHP7448_RS03065	ABJ972_RS02940
OG0000005	MHP7448_RS00100	ABJ972_RS00100
OG0000005	MHP7448_RS00105	ABJ972_RS00105
OG0000005	MHP7448_RS00110, MHP7448_RS00125	ABJ972_RS00110
OG0000006	MHP7448_RS02255	ABJ972_RS02275
OG0000008	MHP7448_RS02240	ABJ972_RS02260
OG0000008	MHP7448_RS01665	ABJ972_RS01615
OG0000008	MHP7448_RS04030	ABJ972_RS02445
OG0000009	MHP7448_RS00675	ABJ972_RS01005
OG0000009	MHP7448_RS00085	ABJ972_RS00085
OG0000009	MHP7448_RS00690	ABJ972_RS00990
OG0000010	MHP7448_RS01885	ABJ972_RS01825
OG0000010	MHP7448_RS00095	ABJ972_RS00095
OG0000011	MHP7448_RS01970	ABJ972_RS01915
OG0000011	MHP7448_RS01965	ABJ972_RS01910
OG0000012	MHP7448_RS01780, MHP7448_RS03630	ABJ972_RS02160
OG0000012	MHP7448_RS03880	ABJ972_RS01840
OG0000013	MHP7448_RS02430	ABJ972_RS02350
OG0000013	MHP7448_RS03945	ABJ972_RS00170
OG0000014	MHP7448_RS01090	ABJ972_RS01075
OG0000014	MHP7448_RS00605	ABJ972_RS01065
OG0000015	MHP7448_RS01650	ABJ972_RS01545
OG0000016	MHP7448_RS02865	ABJ972_RS02765
OG0000016	MHP7448_RS00170	ABJ972_RS00155
OG0000017	MHP7448_RS00155	ABJ972_RS00140
OG0000017	MHP7448_RS02875	ABJ972_RS02775
OG0000018	MHP7448_RS01340, MHP7448_RS02275	ABJ972_RS01310
OG0000019	MHP7448_RS03045	ABJ972_RS02935
OG0000019	MHP7448_RS03040	ABJ972_RS02950
OG0000020	MHP7448_RS03580	ABJ972_RS03450
OG0000020	MHP7448_RS03585	ABJ972_RS03455
OG0000021	MHP7448_RS03950	ABJ972_RS00495
OG0000022	MHP7448_RS01680	ABJ972_RS01635
OG0000022	MHP7448_RS01730	ABJ972_RS01690
OG0000024	MHP7448_RS02765	ABJ972_RS02670
OG0000024	MHP7448_RS01290	ABJ972_RS01260
OG0000025	MHP7448_RS01685	ABJ972_RS01640
OG0000025	MHP7448_RS01725	ABJ972_RS01685
OG0000026	MHP7448_RS01380	ABJ972_RS01350
OG0000026	MHP7448_RS01705	ABJ972_RS01665
OG0000027	MHP7448_RS03845	ABJ972_RS03260
OG0000028	MHP7448_RS02440	ABJ972_RS02360
OG0000029	MHP7448_RS01085	ABJ972_RS00585
OG0000029	MHP7448_RS00610	ABJ972_RS01060
OG0000030	MHP7448_RS03370	ABJ972_RS03245
OG0000032	MHP7448_RS01595	ABJ972_RS01555
OG0000033	MHP7448_RS02435	ABJ972_RS02355
OG0000035	MHP7448_RS03240	ABJ972_RS03115
OG0000036	MHP7448_RS00130	ABJ972_RS00115
OG0000037	MHP7448_RS03725	ABJ972_RS01560
OG0000039	MHP7448_RS01635	ABJ972_RS01595
OG0000040	MHP7448_RS03315	ABJ972_RS03190
OG0000041	MHP7448_RS00680	ABJ972_RS01000
OG0000042	MHP7448_RS02965	ABJ972_RS02860
OG0000043	MHP7448_RS01935	ABJ972_RS01880
OG0000043	MHP7448_RS02315	ABJ972_RS01880
