Orthogroup	MHP_7448_genes	MHP_ES2_genes
OG0000000	MHP7448_RS02135	E5E95_RS02310
OG0000000	MHP7448_RS03990	E5E95_RS04075
OG0000000	MHP7448_RS02245	E5E95_RS02430
OG0000000	MHP7448_RS03825	E5E95_RS04240
OG0000000	MHP7448_RS01735	E5E95_RS01830
OG0000000	MHP7448_RS01740	E5E95_RS04235, E5E95_RS01835
OG0000001	MHP7448_RS01300	E5E95_RS01300
OG0000001	MHP7448_RS01295	E5E95_RS01295
OG0000001	MHP7448_RS02820	E5E95_RS03000
OG0000001	MHP7448_RS04045	E5E95_RS04150
OG0000002	MHP7448_RS03995	E5E95_RS02320
OG0000002	MHP7448_RS01745	E5E95_RS01840
OG0000003	MHP7448_RS01830, MHP7448_RS01785, MHP7448_RS00505	E5E95_RS01915
OG0000003	MHP7448_RS03870	E5E95_RS00930, E5E95_RS04060, E5E95_RS04070, E5E95_RS04065, E5E95_RS03910
OG0000004	MHP7448_RS03230	E5E95_RS03410
OG0000004	MHP7448_RS03235	E5E95_RS03415
OG0000004	MHP7448_RS03245	E5E95_RS03425
OG0000004	MHP7448_RS03035	E5E95_RS03235
OG0000005	MHP7448_RS00100	E5E95_RS00090
OG0000005	MHP7448_RS00120	E5E95_RS00110
OG0000005	MHP7448_RS00105	E5E95_RS00095
OG0000005	MHP7448_RS00110	E5E95_RS00100
OG0000005	MHP7448_RS00125	E5E95_RS00115
OG0000006	MHP7448_RS04025	E5E95_RS02705
OG0000006	MHP7448_RS02380	E5E95_RS04120, E5E95_RS04115
OG0000008	MHP7448_RS02240	E5E95_RS03925, E5E95_RS04080
OG0000008	MHP7448_RS01665	E5E95_RS03905
OG0000008	MHP7448_RS04030	E5E95_RS03930, E5E95_RS04135
OG0000009	MHP7448_RS00675	E5E95_RS00665
OG0000009	MHP7448_RS00690	E5E95_RS00680
OG0000010	MHP7448_RS01885	E5E95_RS01970
OG0000011	MHP7448_RS01970	E5E95_RS02070
OG0000011	MHP7448_RS01965	E5E95_RS02060
OG0000012	MHP7448_RS03435, MHP7448_RS02690	E5E95_RS03230
OG0000013	MHP7448_RS02430	E5E95_RS02610
OG0000013	MHP7448_RS03945	E5E95_RS03955
OG0000014	MHP7448_RS01090	E5E95_RS01105
OG0000014	MHP7448_RS00605	E5E95_RS00605
OG0000015	MHP7448_RS03965	E5E95_RS01745
OG0000015	MHP7448_RS01650	E5E95_RS02450
OG0000016	MHP7448_RS02865	E5E95_RS03040
OG0000016	MHP7448_RS00170	E5E95_RS00160
OG0000017	MHP7448_RS00155	E5E95_RS00145
OG0000017	MHP7448_RS02875	E5E95_RS03050
OG0000019	MHP7448_RS03045	E5E95_RS04175
OG0000019	MHP7448_RS03040	E5E95_RS04180
OG0000020	MHP7448_RS03580	E5E95_RS03770
OG0000021	MHP7448_RS04125	E5E95_RS01875
OG0000022	MHP7448_RS01680	E5E95_RS01770
OG0000022	MHP7448_RS01730	E5E95_RS01825
OG0000024	MHP7448_RS02765	E5E95_RS02945
OG0000024	MHP7448_RS01290	E5E95_RS01290
OG0000025	MHP7448_RS01685	E5E95_RS01775
OG0000025	MHP7448_RS01725	E5E95_RS01820
OG0000026	MHP7448_RS01380	E5E95_RS01380
OG0000026	MHP7448_RS01705	E5E95_RS01800
OG0000027	MHP7448_RS03845	E5E95_RS03560
OG0000027	MHP7448_RS03390	E5E95_RS03575
OG0000028	MHP7448_RS02440	E5E95_RS02620
OG0000029	MHP7448_RS01085	E5E95_RS01100
OG0000029	MHP7448_RS00610	E5E95_RS00610
OG0000030	MHP7448_RS03370	E5E95_RS03550
OG0000030	MHP7448_RS03385	E5E95_RS03570
OG0000032	MHP7448_RS01595	E5E95_RS03995
OG0000032	MHP7448_RS03380	E5E95_RS03565
OG0000035	MHP7448_RS03240	E5E95_RS03405
OG0000035	MHP7448_RS03225	E5E95_RS03395
OG0000036	MHP7448_RS00115	E5E95_RS00105
OG0000036	MHP7448_RS00130	E5E95_RS00120
OG0000037	MHP7448_RS03725	E5E95_RS04000
OG0000038	MHP7448_RS01825	E5E95_RS01910
OG0000039	MHP7448_RS01635	E5E95_RS01650, E5E95_RS01645
OG0000040	MHP7448_RS03315	E5E95_RS03495
OG0000041	MHP7448_RS00680	E5E95_RS00670
OG0000042	MHP7448_RS02965	E5E95_RS03140
OG0000043	MHP7448_RS01935	E5E95_RS02030
OG0000043	MHP7448_RS02315	E5E95_RS02030
OG0000044	MHP7448_RS04120	E5E95_RS04290
OG0000045	MHP7448_RS01640	E5E95_RS01655
OG0000046	MHP7448_RS03325	E5E95_RS03505
OG0000047	MHP7448_RS01590	E5E95_RS04090
OG0000048	MHP7448_RS02115	E5E95_RS02215
OG0000049	MHP7448_RS03085	E5E95_RS03260
OG0000050	MHP7448_RS02470	E5E95_RS02655
OG0000051	MHP7448_RS02675	E5E95_RS02855
OG0000052	MHP7448_RS00075	E5E95_RS00075
OG0000053	MHP7448_RS01465	E5E95_RS01465
OG0000054	MHP7448_RS02495	E5E95_RS02680
OG0000055	MHP7448_RS00135	E5E95_RS00125
OG0000056	MHP7448_RS03565	E5E95_RS03750
OG0000057	MHP7448_RS02950	E5E95_RS03125
OG0000058	MHP7448_RS02335	E5E95_RS01660, E5E95_RS02525, E5E95_RS02530
OG0000059	MHP7448_RS02325, MHP7448_RS02320	E5E95_RS02510
OG0000060	MHP7448_RS00080	E5E95_RS00080
OG0000062	MHP7448_RS03615	E5E95_RS03805
OG0000063	MHP7448_RS03610	E5E95_RS03800
OG0000064	MHP7448_RS03600	E5E95_RS03790
OG0000065	MHP7448_RS02180	E5E95_RS02365
OG0000066	MHP7448_RS01370	E5E95_RS01370
OG0000067	MHP7448_RS00525	E5E95_RS00525
OG0000068	MHP7448_RS00655	E5E95_RS00645
OG0000069	MHP7448_RS02835	E5E95_RS03015
OG0000070	MHP7448_RS02500	E5E95_RS02685
OG0000071	MHP7448_RS03305	E5E95_RS03485
OG0000072	MHP7448_RS03310	E5E95_RS03490
OG0000073	MHP7448_RS00715	E5E95_RS00705
OG0000074	MHP7448_RS03660	E5E95_RS00900
OG0000075	MHP7448_RS00340	E5E95_RS00340
OG0000076	MHP7448_RS00355	E5E95_RS00355
OG0000077	MHP7448_RS00445	E5E95_RS00445
OG0000079	MHP7448_RS02580	E5E95_RS02760
OG0000080	MHP7448_RS03915	E5E95_RS03935
OG0000081	MHP7448_RS00335	E5E95_RS00335
OG0000082	MHP7448_RS02425	E5E95_RS02605
OG0000083	MHP7448_RS02040	E5E95_RS02140
OG0000084	MHP7448_RS02065	E5E95_RS02165
OG0000085	MHP7448_RS02070	E5E95_RS02170
OG0000086	MHP7448_RS02080	E5E95_RS02180
OG0000087	MHP7448_RS02095	E5E95_RS02195
OG0000088	MHP7448_RS02100	E5E95_RS02200
OG0000089	MHP7448_RS02110	E5E95_RS02210
OG0000090	MHP7448_RS00070	E5E95_RS00070
OG0000091	MHP7448_RS00055	E5E95_RS00055
OG0000092	MHP7448_RS00040	E5E95_RS00040
OG0000093	MHP7448_RS00035	E5E95_RS00035
OG0000094	MHP7448_RS00030	E5E95_RS00030
OG0000095	MHP7448_RS00005	E5E95_RS00005
OG0000096	MHP7448_RS03655	E5E95_RS03840
OG0000097	MHP7448_RS03635	E5E95_RS03820
OG0000098	MHP7448_RS03620	E5E95_RS03810
OG0000099	MHP7448_RS03570	E5E95_RS03760
OG0000100	MHP7448_RS03555	E5E95_RS03740
