Orthogroup	MHP_7448_genes	MHP_UFV01_genes
OG0000000	MHP7448_RS02135	FEF30_RS02570
OG0000000	MHP7448_RS03990	FEF30_RS04350
OG0000000	MHP7448_RS02245	FEF30_RS02690
OG0000000	MHP7448_RS03825	FEF30_RS02695
OG0000000	MHP7448_RS01735	FEF30_RS02035
OG0000001	MHP7448_RS01300	FEF30_RS01595
OG0000001	MHP7448_RS01295	FEF30_RS01590
OG0000001	MHP7448_RS02820	FEF30_RS03180
OG0000001	MHP7448_RS03920	FEF30_RS03130
OG0000001	MHP7448_RS04045	FEF30_RS03125
OG0000002	MHP7448_RS03995	FEF30_RS02580
OG0000002	MHP7448_RS01745	FEF30_RS04295
OG0000003	MHP7448_RS01830, MHP7448_RS01785, MHP7448_RS00505	FEF30_RS04200
OG0000003	MHP7448_RS03870	FEF30_RS04345
OG0000004	MHP7448_RS03230	FEF30_RS03540
OG0000004	MHP7448_RS03245	FEF30_RS03550
OG0000005	MHP7448_RS00100	FEF30_RS00415
OG0000005	MHP7448_RS00120	FEF30_RS00435
OG0000005	MHP7448_RS00105	FEF30_RS04180
OG0000005	MHP7448_RS00110	FEF30_RS00425
OG0000005	MHP7448_RS00125	FEF30_RS04185
OG0000006	MHP7448_RS04025	FEF30_RS02880
OG0000006	MHP7448_RS02380	FEF30_RS02730
OG0000006	MHP7448_RS02255	FEF30_RS02700
OG0000008	MHP7448_RS02240	FEF30_RS02685
OG0000008	MHP7448_RS01665	FEF30_RS01955
OG0000008	MHP7448_RS04030	FEF30_RS02885
OG0000009	MHP7448_RS00675	FEF30_RS00980
OG0000009	MHP7448_RS00690	FEF30_RS00990
OG0000010	MHP7448_RS01885	FEF30_RS02240
OG0000011	MHP7448_RS01970	FEF30_RS02330
OG0000011	MHP7448_RS01965	FEF30_RS02325
OG0000012	MHP7448_RS03435, MHP7448_RS02690	FEF30_RS03655
OG0000013	MHP7448_RS02430	FEF30_RS02775
OG0000013	MHP7448_RS03945	FEF30_RS00500
OG0000014	MHP7448_RS01090	FEF30_RS01400
OG0000014	MHP7448_RS00605	FEF30_RS04210
OG0000015	MHP7448_RS03965	FEF30_RS01950
OG0000015	MHP7448_RS04005, MHP7448_RS04000	FEF30_RS02045
OG0000016	MHP7448_RS02865	FEF30_RS03220
OG0000016	MHP7448_RS00170	FEF30_RS00485
OG0000017	MHP7448_RS00155	FEF30_RS00470
OG0000017	MHP7448_RS02875	FEF30_RS03230
OG0000018	MHP7448_RS02275	FEF30_RS02065, FEF30_RS02070
OG0000019	MHP7448_RS04070	FEF30_RS03670
OG0000020	MHP7448_RS03580	FEF30_RS00265
OG0000020	MHP7448_RS03585	FEF30_RS03755
OG0000022	MHP7448_RS01680	FEF30_RS01975
OG0000022	MHP7448_RS01730	FEF30_RS04290
OG0000023	MHP7448_RS04010	FEF30_RS02055
OG0000024	MHP7448_RS02765	FEF30_RS03120
OG0000024	MHP7448_RS01290	FEF30_RS01585
OG0000025	MHP7448_RS01685	FEF30_RS04285
OG0000025	MHP7448_RS01725	FEF30_RS02025
OG0000026	MHP7448_RS01380	FEF30_RS01680
OG0000026	MHP7448_RS01705	FEF30_RS02005
OG0000027	MHP7448_RS03845	FEF30_RS00060
OG0000027	MHP7448_RS03390	FEF30_RS04125
OG0000029	MHP7448_RS01085	FEF30_RS01390
OG0000029	MHP7448_RS00610	FEF30_RS00925
OG0000030	MHP7448_RS03370	FEF30_RS04110
OG0000030	MHP7448_RS03385	FEF30_RS04120
OG0000031	MHP7448_RS01620	FEF30_RS01920
OG0000031	MHP7448_RS02310	FEF30_RS02100
OG0000032	MHP7448_RS03380	FEF30_RS00065
OG0000035	MHP7448_RS03240	FEF30_RS03545
OG0000036	MHP7448_RS00115	FEF30_RS00430
OG0000036	MHP7448_RS00130	FEF30_RS00445
OG0000038	MHP7448_RS00500	FEF30_RS00810
OG0000039	MHP7448_RS01635	FEF30_RS01930
OG0000040	MHP7448_RS03315	FEF30_RS03620
OG0000041	MHP7448_RS00680	FEF30_RS00985
OG0000042	MHP7448_RS02965	FEF30_RS03315
OG0000043	MHP7448_RS02315	FEF30_RS02105
