Orthogroup	MHP_7448_genes	MHP_111A_genes
OG0000000	MHP7448_RS03990	NB623_RS01030
OG0000000	MHP7448_RS02245	NB623_RS02460
OG0000000	MHP7448_RS01735	NB623_RS01845, NB623_RS01850
OG0000000	MHP7448_RS01740	NB623_RS01865
OG0000001	MHP7448_RS02820	NB623_RS02960
OG0000001	MHP7448_RS04045	NB623_RS02910
OG0000002	MHP7448_RS03995	NB623_RS02345
OG0000003	MHP7448_RS03870	NB623_RS00940, NB623_RS00945, NB623_RS01040, NB623_RS01035, NB623_RS02255
OG0000004	MHP7448_RS03230	NB623_RS03360
OG0000004	MHP7448_RS03245	NB623_RS03365
OG0000004	MHP7448_RS03065	NB623_RS03180
OG0000005	MHP7448_RS00100	NB623_RS00105
OG0000005	MHP7448_RS00105	NB623_RS00110
OG0000005	MHP7448_RS00110	NB623_RS00115
OG0000006	MHP7448_RS04025	NB623_RS02650
OG0000006	MHP7448_RS02255	NB623_RS02465
OG0000008	MHP7448_RS02240	NB623_RS02455
OG0000008	MHP7448_RS01665	NB623_RS01760
OG0000008	MHP7448_RS04030	NB623_RS02665, NB623_RS02660
OG0000009	MHP7448_RS00675	NB623_RS00660, NB623_RS00665
OG0000009	MHP7448_RS00085	NB623_RS00090
OG0000009	MHP7448_RS00690	NB623_RS00680
OG0000010	MHP7448_RS01885	NB623_RS02245
OG0000011	MHP7448_RS01970	NB623_RS02145
OG0000011	MHP7448_RS01965	NB623_RS02150
OG0000012	MHP7448_RS01190	NB623_RS01890
OG0000012	MHP7448_RS03435	NB623_RS02340
OG0000012	MHP7448_RS03880	NB623_RS02230
OG0000013	MHP7448_RS02430	NB623_RS02540
OG0000014	MHP7448_RS01090	NB623_RS01220
OG0000014	MHP7448_RS00605	NB623_RS00600
OG0000015	MHP7448_RS03965	NB623_RS01685
OG0000016	MHP7448_RS00170	NB623_RS00160
OG0000017	MHP7448_RS00155	NB623_RS00145
OG0000017	MHP7448_RS02875	NB623_RS03015
OG0000018	MHP7448_RS01340	NB623_RS01440
OG0000019	MHP7448_RS03045	NB623_RS03195, NB623_RS03185, NB623_RS03175
OG0000020	MHP7448_RS03580	NB623_RS03740
OG0000020	MHP7448_RS03585	NB623_RS03745
OG0000021	MHP7448_RS03950	NB623_RS02325
OG0000022	MHP7448_RS01680	NB623_RS01785
OG0000022	MHP7448_RS01730	NB623_RS01840
OG0000024	MHP7448_RS02765	NB623_RS02905
OG0000024	MHP7448_RS01290	NB623_RS01395
OG0000025	MHP7448_RS01685	NB623_RS01790
OG0000025	MHP7448_RS01725	NB623_RS01835
OG0000026	MHP7448_RS01380	NB623_RS01480
OG0000026	MHP7448_RS01705	NB623_RS01815
OG0000027	MHP7448_RS03845	NB623_RS03520
OG0000027	MHP7448_RS03390	NB623_RS03535
OG0000028	MHP7448_RS02440	NB623_RS02565
OG0000029	MHP7448_RS01085	NB623_RS01215
OG0000029	MHP7448_RS00610	NB623_RS00605
OG0000030	MHP7448_RS03370	NB623_RS03510
OG0000030	MHP7448_RS03385	NB623_RS03530
OG0000031	MHP7448_RS01620	NB623_RS01720
OG0000032	MHP7448_RS01595	NB623_RS01690
OG0000032	MHP7448_RS03380	NB623_RS03525
OG0000033	MHP7448_RS02435	NB623_RS02545, NB623_RS02550
OG0000035	MHP7448_RS03240	NB623_RS03355
OG0000035	MHP7448_RS03225	NB623_RS03345
OG0000036	MHP7448_RS00115	NB623_RS00120
OG0000037	MHP7448_RS03725	NB623_RS01700
OG0000037	MHP7448_RS03970	NB623_RS01695
OG0000039	MHP7448_RS01635	NB623_RS01730
OG0000040	MHP7448_RS03315	NB623_RS03445, NB623_RS03440, NB623_RS03435
OG0000041	MHP7448_RS00680	NB623_RS00670
OG0000041	MHP7448_RS01195	NB623_RS01315
OG0000042	MHP7448_RS02965	NB623_RS03100
OG0000043	MHP7448_RS02315	NB623_RS02180
OG0000044	MHP7448_RS04120	NB623_RS01800
OG0000045	MHP7448_RS01640	NB623_RS01740, NB623_RS01735
OG0000046	MHP7448_RS03325	NB623_RS03460
OG0000048	MHP7448_RS02115	NB623_RS01920
OG0000049	MHP7448_RS03085	NB623_RS03205
OG0000050	MHP7448_RS02470	NB623_RS02600
OG0000051	MHP7448_RS02675	NB623_RS02820
OG0000052	MHP7448_RS00075	NB623_RS00080, NB623_RS00075
OG0000053	MHP7448_RS01465	NB623_RS01570
OG0000054	MHP7448_RS02495	NB623_RS02625
OG0000055	MHP7448_RS00135	NB623_RS00125
OG0000056	MHP7448_RS03565	NB623_RS03725
OG0000057	MHP7448_RS02950	NB623_RS03085
OG0000058	MHP7448_RS02335	NB623_RS01995
OG0000060	MHP7448_RS00080	NB623_RS00085
OG0000061	MHP7448_RS01895	NB623_RS02235
OG0000062	MHP7448_RS03615	NB623_RS03775
OG0000063	MHP7448_RS03610	NB623_RS03770
OG0000064	MHP7448_RS03600	NB623_RS03760
OG0000065	MHP7448_RS02180	NB623_RS02390
OG0000066	MHP7448_RS01370	NB623_RS01470
OG0000068	MHP7448_RS00655	NB623_RS00640
OG0000069	MHP7448_RS02835	NB623_RS02980
OG0000070	MHP7448_RS02500	NB623_RS02630
OG0000071	MHP7448_RS03305	NB623_RS03425
OG0000072	MHP7448_RS03310	NB623_RS03430
OG0000073	MHP7448_RS00715	NB623_RS00710
OG0000074	MHP7448_RS03660	NB623_RS00910
OG0000075	MHP7448_RS00340	NB623_RS00330
OG0000077	MHP7448_RS00445	NB623_RS00430
OG0000078	MHP7448_RS01695	NB623_RS01805
OG0000079	MHP7448_RS02580	NB623_RS02720
OG0000080	MHP7448_RS03915	NB623_RS02770
OG0000081	MHP7448_RS00335	NB623_RS00325
OG0000083	MHP7448_RS02040	NB623_RS02075
OG0000084	MHP7448_RS02065	NB623_RS02045
OG0000085	MHP7448_RS02070	NB623_RS02040
OG0000086	MHP7448_RS02080	NB623_RS02030
OG0000087	MHP7448_RS02095	NB623_RS02015
OG0000088	MHP7448_RS02100	NB623_RS02010
OG0000089	MHP7448_RS02110	NB623_RS02000
OG0000090	MHP7448_RS00070	NB623_RS00070
OG0000091	MHP7448_RS00055	NB623_RS00055
OG0000092	MHP7448_RS00040	NB623_RS00050
OG0000093	MHP7448_RS00035	NB623_RS00035
OG0000094	MHP7448_RS00030	NB623_RS00030
OG0000095	MHP7448_RS00005	NB623_RS00005
OG0000096	MHP7448_RS03655	NB623_RS03810
OG0000097	MHP7448_RS03635	NB623_RS03790
OG0000098	MHP7448_RS03620	NB623_RS03780
OG0000099	MHP7448_RS03570	NB623_RS03730
OG0000100	MHP7448_RS03555	NB623_RS03715
OG0000101	MHP7448_RS03550	NB623_RS03710
OG0000102	MHP7448_RS01720	NB623_RS01830
OG0000103	MHP7448_RS02145	NB623_RS02355
OG0000104	MHP7448_RS02150	NB623_RS02360
OG0000105	MHP7448_RS02165	NB623_RS02380
OG0000106	MHP7448_RS02175	NB623_RS02385
OG0000107	MHP7448_RS02185	NB623_RS02395
OG0000108	MHP7448_RS02190	NB623_RS02400
OG0000109	MHP7448_RS02195	NB623_RS02405
OG0000110	MHP7448_RS02410	NB623_RS02525
OG0000111	MHP7448_RS02405	NB623_RS02520
OG0000112	MHP7448_RS02395	NB623_RS02510
OG0000113	MHP7448_RS02375	NB623_RS02490
OG0000114	MHP7448_RS02365	NB623_RS02485
OG0000115	MHP7448_RS02355	NB623_RS02470
OG0000116	MHP7448_RS01315	NB623_RS01415
OG0000117	MHP7448_RS01320	NB623_RS01420
OG0000118	MHP7448_RS01355	NB623_RS01455
OG0000119	MHP7448_RS01360	NB623_RS01465
OG0000120	MHP7448_RS01375	NB623_RS01475
OG0000121	MHP7448_RS01400	NB623_RS01505
OG0000122	MHP7448_RS01405	NB623_RS01510
OG0000123	MHP7448_RS01425	NB623_RS01530
OG0000124	MHP7448_RS01430	NB623_RS01535
OG0000125	MHP7448_RS01435	NB623_RS01545
OG0000126	MHP7448_RS01445	NB623_RS01550
OG0000127	MHP7448_RS01455	NB623_RS01560
OG0000128	MHP7448_RS01470	NB623_RS01575
OG0000129	MHP7448_RS01475	NB623_RS01580
OG0000130	MHP7448_RS01485	NB623_RS01590
OG0000131	MHP7448_RS01515	NB623_RS01620
OG0000132	MHP7448_RS01530	NB623_RS01635
OG0000133	MHP7448_RS00530	NB623_RS00525
OG0000134	MHP7448_RS00535	NB623_RS00530
OG0000135	MHP7448_RS00550	NB623_RS00545
OG0000136	MHP7448_RS00555	NB623_RS00550
OG0000137	MHP7448_RS00590	NB623_RS00590
OG0000138	MHP7448_RS00630	NB623_RS00615
OG0000139	MHP7448_RS00660	NB623_RS00645
OG0000140	MHP7448_RS00665	NB623_RS00650
OG0000141	MHP7448_RS02960	NB623_RS03095
OG0000142	MHP7448_RS02955	NB623_RS03090
OG0000143	MHP7448_RS02930	NB623_RS03075
OG0000144	MHP7448_RS02920	NB623_RS03060
OG0000145	MHP7448_RS02910	NB623_RS03050
OG0000146	MHP7448_RS02900	NB623_RS03040
OG0000147	MHP7448_RS02895	NB623_RS03035
OG0000148	MHP7448_RS02880	NB623_RS03020
OG0000149	MHP7448_RS02870	NB623_RS03010
OG0000150	MHP7448_RS02850	NB623_RS02995
OG0000151	MHP7448_RS02805	NB623_RS02945
OG0000152	MHP7448_RS02800	NB623_RS02940
OG0000153	MHP7448_RS02795	NB623_RS02935
OG0000154	MHP7448_RS02785	NB623_RS02925
OG0000155	MHP7448_RS02745	NB623_RS02885
OG0000156	MHP7448_RS02735	NB623_RS02875
OG0000157	MHP7448_RS02730	NB623_RS02870
OG0000158	MHP7448_RS04110	NB623_RS02860
OG0000159	MHP7448_RS02485	NB623_RS02615
OG0000160	MHP7448_RS02480	NB623_RS02610
OG0000161	MHP7448_RS02475	NB623_RS02605
OG0000162	MHP7448_RS02465	NB623_RS02595
OG0000163	MHP7448_RS02460	NB623_RS02590
OG0000164	MHP7448_RS01625	NB623_RS01725
OG0000165	MHP7448_RS01960	NB623_RS02155
OG0000166	MHP7448_RS01980	NB623_RS02135
OG0000167	MHP7448_RS01995	NB623_RS02120
OG0000168	MHP7448_RS02000	NB623_RS02115
OG0000169	MHP7448_RS03080	NB623_RS03200
OG0000170	MHP7448_RS03095	NB623_RS03215
OG0000171	MHP7448_RS03105	NB623_RS03225
OG0000172	MHP7448_RS03115	NB623_RS03230
OG0000173	MHP7448_RS03120	NB623_RS03235
OG0000174	MHP7448_RS03125	NB623_RS03240
OG0000175	MHP7448_RS03140	NB623_RS03265
