Orthogroup	MHP_7448_genes	MHP_F72C_genes
OG0000000	MHP7448_RS02135	EHI52_RS01825
OG0000000	MHP7448_RS03990	EHI52_RS03755
OG0000000	MHP7448_RS02245	EHI52_RS02325
OG0000000	MHP7448_RS03825	EHI52_RS03815
OG0000000	MHP7448_RS01740	EHI52_RS01775
OG0000001	MHP7448_RS02820	EHI52_RS02790
OG0000001	MHP7448_RS04045	EHI52_RS02740
OG0000002	MHP7448_RS03995	EHI52_RS02215
OG0000002	MHP7448_RS01745	EHI52_RS01780
OG0000003	MHP7448_RS01830	EHI52_RS02140
OG0000003	MHP7448_RS01785, MHP7448_RS00505	EHI52_RS00520
OG0000003	MHP7448_RS03870	EHI52_RS03720, EHI52_RS03725, EHI52_RS00975, EHI52_RS03760, EHI52_RS03670
OG0000004	MHP7448_RS03230	EHI52_RS03210
OG0000004	MHP7448_RS03235	EHI52_RS03215
OG0000004	MHP7448_RS03245	EHI52_RS03225
OG0000004	MHP7448_RS03035	EHI52_RS03045, EHI52_RS03025
OG0000005	MHP7448_RS00100	EHI52_RS00100
OG0000005	MHP7448_RS00120	EHI52_RS00120
OG0000005	MHP7448_RS00105	EHI52_RS00105
OG0000005	MHP7448_RS00110	EHI52_RS00110
OG0000005	MHP7448_RS00125	EHI52_RS00125
OG0000006	MHP7448_RS02380	EHI52_RS03880
OG0000006	MHP7448_RS02255	EHI52_RS02330
OG0000008	MHP7448_RS02240	EHI52_RS02320
OG0000008	MHP7448_RS01665	EHI52_RS03775
OG0000008	MHP7448_RS04030	EHI52_RS03830
OG0000009	MHP7448_RS00085	EHI52_RS00085
OG0000009	MHP7448_RS00690	EHI52_RS00680
OG0000010	MHP7448_RS01885	EHI52_RS02085
OG0000011	MHP7448_RS01970	EHI52_RS01985
OG0000011	MHP7448_RS01965	EHI52_RS01990
OG0000012	MHP7448_RS01780, MHP7448_RS03630	EHI52_RS01160
OG0000012	MHP7448_RS03435	EHI52_RS02210
OG0000012	MHP7448_RS02690	EHI52_RS01810, EHI52_RS03060
OG0000012	MHP7448_RS03880	EHI52_RS03635
OG0000013	MHP7448_RS02430	EHI52_RS02410
OG0000013	MHP7448_RS03945	EHI52_RS03710
OG0000014	MHP7448_RS01090	EHI52_RS01155
OG0000016	MHP7448_RS02865	EHI52_RS02830
OG0000016	MHP7448_RS00170	EHI52_RS00170
OG0000017	MHP7448_RS00155	EHI52_RS00155
OG0000017	MHP7448_RS02875	EHI52_RS02840
OG0000019	MHP7448_RS03045	EHI52_RS03855, EHI52_RS03865
OG0000019	MHP7448_RS03040	EHI52_RS03860
OG0000020	MHP7448_RS03580	EHI52_RS03550
OG0000020	MHP7448_RS03585	EHI52_RS03555
OG0000021	MHP7448_RS03950	EHI52_RS03715
OG0000022	MHP7448_RS01680	EHI52_RS01715
OG0000022	MHP7448_RS01730	EHI52_RS01770
OG0000024	MHP7448_RS02765	EHI52_RS02735
OG0000024	MHP7448_RS01290	EHI52_RS01335
OG0000025	MHP7448_RS01685	EHI52_RS01720
OG0000025	MHP7448_RS01725	EHI52_RS01765
OG0000026	MHP7448_RS01380	EHI52_RS01425
OG0000026	MHP7448_RS01705	EHI52_RS01745
OG0000027	MHP7448_RS03845	EHI52_RS03355
OG0000028	MHP7448_RS02440	EHI52_RS02420
OG0000029	MHP7448_RS01085	EHI52_RS01150
OG0000029	MHP7448_RS00610	EHI52_RS00620
OG0000030	MHP7448_RS03370	EHI52_RS03350
OG0000031	MHP7448_RS01620	EHI52_RS01660
OG0000031	MHP7448_RS02310	EHI52_RS01660
OG0000032	MHP7448_RS01595	EHI52_RS01630
OG0000033	MHP7448_RS02435	EHI52_RS03820
OG0000035	MHP7448_RS03240	EHI52_RS03220
OG0000035	MHP7448_RS03225	EHI52_RS03205
OG0000036	MHP7448_RS00115	EHI52_RS00115, EHI52_RS03705
OG0000036	MHP7448_RS00130	EHI52_RS00130
OG0000037	MHP7448_RS03725	EHI52_RS01640
OG0000037	MHP7448_RS03970	EHI52_RS01635
OG0000038	MHP7448_RS01825	EHI52_RS02145
OG0000038	MHP7448_RS00500	EHI52_RS00515
OG0000039	MHP7448_RS01635	EHI52_RS01675
OG0000040	MHP7448_RS03315	EHI52_RS03295
OG0000041	MHP7448_RS00680, MHP7448_RS01195	EHI52_RS03655
OG0000043	MHP7448_RS01935	EHI52_RS02020
OG0000043	MHP7448_RS02315	EHI52_RS02020
OG0000044	MHP7448_RS04120	EHI52_RS03910
OG0000045	MHP7448_RS01640	EHI52_RS01680
OG0000046	MHP7448_RS03325	EHI52_RS03305
OG0000048	MHP7448_RS02115	EHI52_RS01840
OG0000049	MHP7448_RS03085	EHI52_RS03065
OG0000050	MHP7448_RS02470	EHI52_RS02450
OG0000051	MHP7448_RS02675	EHI52_RS02650
OG0000052	MHP7448_RS00075	EHI52_RS00075
OG0000053	MHP7448_RS01465	EHI52_RS01510
OG0000054	MHP7448_RS02495	EHI52_RS02475
OG0000055	MHP7448_RS00135	EHI52_RS00135
OG0000056	MHP7448_RS03565	EHI52_RS03530
OG0000057	MHP7448_RS02950	EHI52_RS02915
OG0000060	MHP7448_RS00080	EHI52_RS00080
OG0000062	MHP7448_RS03615	EHI52_RS03585
OG0000063	MHP7448_RS03610	EHI52_RS03580
OG0000064	MHP7448_RS03600	EHI52_RS03570
OG0000065	MHP7448_RS02180	EHI52_RS02260
OG0000066	MHP7448_RS01370	EHI52_RS01415
OG0000067	MHP7448_RS00525	EHI52_RS00540
OG0000068	MHP7448_RS00655	EHI52_RS00660
OG0000069	MHP7448_RS02835	EHI52_RS02805
OG0000070	MHP7448_RS02500	EHI52_RS02480
OG0000071	MHP7448_RS03305	EHI52_RS03285
OG0000072	MHP7448_RS03310	EHI52_RS03290
OG0000073	MHP7448_RS00715	EHI52_RS00705
OG0000074	MHP7448_RS03660	EHI52_RS00900
OG0000075	MHP7448_RS00340	EHI52_RS00355
OG0000076	MHP7448_RS00355	EHI52_RS00370
OG0000077	MHP7448_RS00445	EHI52_RS00460
OG0000078	MHP7448_RS01695	EHI52_RS01735
OG0000079	MHP7448_RS02580	EHI52_RS02555
OG0000080	MHP7448_RS03915	EHI52_RS03675
OG0000081	MHP7448_RS00335	EHI52_RS00350
OG0000082	MHP7448_RS02425	EHI52_RS02405
OG0000083	MHP7448_RS02040	EHI52_RS01915
OG0000084	MHP7448_RS02065	EHI52_RS01890
OG0000085	MHP7448_RS02070	EHI52_RS01885
OG0000086	MHP7448_RS02080	EHI52_RS01875
OG0000087	MHP7448_RS02095	EHI52_RS01860
OG0000088	MHP7448_RS02100	EHI52_RS01855
OG0000089	MHP7448_RS02110	EHI52_RS01845
OG0000090	MHP7448_RS00070	EHI52_RS00070
OG0000091	MHP7448_RS00055	EHI52_RS00055
OG0000092	MHP7448_RS00040	EHI52_RS00040
OG0000093	MHP7448_RS00035	EHI52_RS00035
OG0000094	MHP7448_RS00030	EHI52_RS00030
OG0000095	MHP7448_RS00005	EHI52_RS00005
OG0000096	MHP7448_RS03655	EHI52_RS03620
OG0000097	MHP7448_RS03635	EHI52_RS03600
OG0000098	MHP7448_RS03620	EHI52_RS03590
OG0000099	MHP7448_RS03570	EHI52_RS03540
OG0000100	MHP7448_RS03555	EHI52_RS03520
OG0000101	MHP7448_RS03550	EHI52_RS03515
OG0000102	MHP7448_RS01720	EHI52_RS01760
OG0000103	MHP7448_RS02145	EHI52_RS02225
OG0000104	MHP7448_RS02150	EHI52_RS02230
OG0000105	MHP7448_RS02165	EHI52_RS02245
OG0000106	MHP7448_RS02175	EHI52_RS02255
OG0000107	MHP7448_RS02185	EHI52_RS02265
OG0000108	MHP7448_RS02190	EHI52_RS02270
OG0000109	MHP7448_RS02195	EHI52_RS02275
