Orthogroup	MHP_7448_genes	MHP_MHP691_genes
OG0000000	MHP7448_RS01740	DR087_RS03570
OG0000001	MHP7448_RS01300	DR087_RS03325
OG0000001	MHP7448_RS01295	DR087_RS03335
OG0000001	MHP7448_RS02820	DR087_RS04015
OG0000001	MHP7448_RS03920	DR087_RS04300
OG0000001	MHP7448_RS04045	DR087_RS03255
OG0000002	MHP7448_RS03995, MHP7448_RS03900	DR087_RS03810
OG0000002	MHP7448_RS01745	DR087_RS04755
OG0000003	MHP7448_RS01830, MHP7448_RS01785, MHP7448_RS00505	DR087_RS01665
OG0000003	MHP7448_RS03870	DR087_RS04680, DR087_RS04220, DR087_RS04345, DR087_RS04750
OG0000004	MHP7448_RS03230	DR087_RS00850
OG0000004	MHP7448_RS03245	DR087_RS00840
OG0000005	MHP7448_RS00100	DR087_RS00530
OG0000005	MHP7448_RS00105	DR087_RS00540
OG0000005	MHP7448_RS00110, MHP7448_RS00125	DR087_RS04465
OG0000008	MHP7448_RS04030	DR087_RS04355
OG0000009	MHP7448_RS00085	DR087_RS00515
OG0000010	MHP7448_RS01885	DR087_RS01605
OG0000010	MHP7448_RS00095	DR087_RS03875
OG0000011	MHP7448_RS01970	DR087_RS04590
OG0000011	MHP7448_RS01965	DR087_RS01515
OG0000012	MHP7448_RS03435, MHP7448_RS02690	DR087_RS03620
OG0000012	MHP7448_RS03880	DR087_RS03740
OG0000013	MHP7448_RS02430	DR087_RS01680
OG0000013	MHP7448_RS03945	DR087_RS04185
OG0000014	MHP7448_RS00605	DR087_RS03520
OG0000015	MHP7448_RS01650	DR087_RS00350
OG0000016	MHP7448_RS02865	DR087_RS01400
OG0000016	MHP7448_RS00170	DR087_RS02395
OG0000017	MHP7448_RS00155	DR087_RS02410
OG0000017	MHP7448_RS02875	DR087_RS01410
OG0000018	MHP7448_RS01340	DR087_RS04550
OG0000019	MHP7448_RS03045	DR087_RS03610
OG0000020	MHP7448_RS03580	DR087_RS04440
OG0000020	MHP7448_RS03585	DR087_RS04445
OG0000022	MHP7448_RS01680	DR087_RS02045
OG0000022	MHP7448_RS01730	DR087_RS04630
OG0000024	MHP7448_RS02765	DR087_RS03250
OG0000025	MHP7448_RS01685	DR087_RS04625
