Orthogroup	MHP_7448_genes	MHP_MHP709_genes
OG0000000	MHP7448_RS02135	DR088_RS03530
OG0000000	MHP7448_RS01735	DR088_RS04105
OG0000000	MHP7448_RS01740	DR088_RS04100
OG0000001	MHP7448_RS02820	DR088_RS00215
OG0000001	MHP7448_RS03920	DR088_RS03735
OG0000001	MHP7448_RS04045	DR088_RS03730
OG0000002	MHP7448_RS03995	DR088_RS04280
OG0000002	MHP7448_RS01745	DR088_RS04510
OG0000003	MHP7448_RS01830, MHP7448_RS01785, MHP7448_RS00505	DR088_RS00355
OG0000003	MHP7448_RS03870	DR088_RS04215, DR088_RS04580, DR088_RS03645
OG0000004	MHP7448_RS03230	DR088_RS01540
OG0000004	MHP7448_RS03245	DR088_RS03400
OG0000005	MHP7448_RS00100	DR088_RS01950
OG0000005	MHP7448_RS00120	DR088_RS04585
OG0000005	MHP7448_RS00105	DR088_RS03545
OG0000005	MHP7448_RS00110	DR088_RS03300
OG0000005	MHP7448_RS00125	DR088_RS04590
OG0000006	MHP7448_RS02380	DR088_RS04190
OG0000008	MHP7448_RS01665	DR088_RS03690
OG0000008	MHP7448_RS04030	DR088_RS04285
OG0000009	MHP7448_RS00085	DR088_RS01935
OG0000009	MHP7448_RS00690	DR088_RS02850
OG0000010	MHP7448_RS01885	DR088_RS00450
OG0000010	MHP7448_RS00095	DR088_RS03540, DR088_RS03660
OG0000011	MHP7448_RS01970	DR088_RS00560
OG0000011	MHP7448_RS01965	DR088_RS00555
OG0000012	MHP7448_RS01780, MHP7448_RS03630	DR088_RS00005
OG0000012	MHP7448_RS03880	DR088_RS03650
OG0000013	MHP7448_RS02430	DR088_RS02380
OG0000013	MHP7448_RS03945	DR088_RS03910
OG0000014	MHP7448_RS01090	DR088_RS00785
OG0000014	MHP7448_RS00605	DR088_RS04355
OG0000016	MHP7448_RS02865	DR088_RS00255
OG0000016	MHP7448_RS00170	DR088_RS01355
OG0000017	MHP7448_RS00155	DR088_RS01370
OG0000017	MHP7448_RS02875	DR088_RS00265
OG0000018	MHP7448_RS01340, MHP7448_RS02275	DR088_RS04550
OG0000019	MHP7448_RS04070, MHP7448_RS03045, MHP7448_RS03040, MHP7448_RS04065	DR088_RS04255
OG0000020	MHP7448_RS03580	DR088_RS04465
OG0000020	MHP7448_RS03585	DR088_RS04470
OG0000021	MHP7448_RS04125, MHP7448_RS03950	DR088_RS00360
OG0000022	MHP7448_RS01680	DR088_RS02355
OG0000022	MHP7448_RS01730	DR088_RS04515
OG0000023	MHP7448_RS04010, MHP7448_RS01335	DR088_RS02595
OG0000024	MHP7448_RS02765	DR088_RS00160
OG0000024	MHP7448_RS01290	DR088_RS00975
OG0000025	MHP7448_RS01685	DR088_RS04520
OG0000025	MHP7448_RS01725	DR088_RS02305
OG0000026	MHP7448_RS01380	DR088_RS02640
OG0000026	MHP7448_RS01705	DR088_RS02325
OG0000027	MHP7448_RS03845	DR088_RS04450
OG0000027	MHP7448_RS03390	DR088_RS04500
OG0000028	MHP7448_RS02440	DR088_RS04565
OG0000029	MHP7448_RS01085	DR088_RS01545
OG0000029	MHP7448_RS00610	DR088_RS00770
OG0000030	MHP7448_RS03370	DR088_RS04445
OG0000030	MHP7448_RS03385	DR088_RS04505
OG0000031	MHP7448_RS01620, MHP7448_RS02310	DR088_RS03335
OG0000032	MHP7448_RS01595	DR088_RS03370
OG0000032	MHP7448_RS03380	DR088_RS02280
OG0000033	MHP7448_RS02435	DR088_RS02375
