Orthogroup	MHP_7448_genes	MHP_11_genes
OG0000000	MHP7448_RS02135	B5C39_RS02485
OG0000000	MHP7448_RS02245	B5C39_RS02595
OG0000000	MHP7448_RS03825	B5C39_RS03835
OG0000000	MHP7448_RS01735	B5C39_RS03750
OG0000000	MHP7448_RS01740	B5C39_RS03235
OG0000001	MHP7448_RS02820	B5C39_RS03070
OG0000001	MHP7448_RS03920	B5C39_RS03865
OG0000001	MHP7448_RS04045	B5C39_RS03020
OG0000002	MHP7448_RS03995	B5C39_RS03825
OG0000002	MHP7448_RS01745	B5C39_RS03240
OG0000003	MHP7448_RS03870	B5C39_RS03345
OG0000004	MHP7448_RS03230	B5C39_RS00380
OG0000004	MHP7448_RS03245	B5C39_RS00400
OG0000005	MHP7448_RS00100	B5C39_RS00915
OG0000005	MHP7448_RS00120	B5C39_RS00935
OG0000005	MHP7448_RS00105	B5C39_RS00920
OG0000005	MHP7448_RS00110	B5C39_RS00925
OG0000005	MHP7448_RS00125	B5C39_RS00940
OG0000006	MHP7448_RS04025	B5C39_RS03845
OG0000006	MHP7448_RS02380	B5C39_RS02640
OG0000008	MHP7448_RS02240	B5C39_RS03740, B5C39_RS03830
OG0000008	MHP7448_RS04030	B5C39_RS03850
OG0000009	MHP7448_RS00085	B5C39_RS00900
OG0000009	MHP7448_RS00690	B5C39_RS02225
OG0000010	MHP7448_RS01885	B5C39_RS03350
OG0000010	MHP7448_RS00095	B5C39_RS00910
OG0000011	MHP7448_RS01970	B5C39_RS03455
OG0000011	MHP7448_RS01965	B5C39_RS03450
OG0000012	MHP7448_RS01780, MHP7448_RS03630, MHP7448_RS01190, MHP7448_RS03435, MHP7448_RS02690, MHP7448_RS03880	B5C39_RS01220
OG0000013	MHP7448_RS02430	B5C39_RS02685
OG0000013	MHP7448_RS03945	B5C39_RS03780
OG0000014	MHP7448_RS01090	B5C39_RS01820
OG0000014	MHP7448_RS00605	B5C39_RS02290
OG0000016	MHP7448_RS02865	B5C39_RS00060
OG0000016	MHP7448_RS00170	B5C39_RS00985
OG0000017	MHP7448_RS00155	B5C39_RS00970
OG0000017	MHP7448_RS02875	B5C39_RS00070
OG0000019	MHP7448_RS03045	B5C39_RS03765
OG0000020	MHP7448_RS03580	B5C39_RS00735
OG0000020	MHP7448_RS03585	B5C39_RS00740
OG0000022	MHP7448_RS01680	B5C39_RS03170
OG0000022	MHP7448_RS01730	B5C39_RS03225
OG0000024	MHP7448_RS02765	B5C39_RS03015
OG0000024	MHP7448_RS01290	B5C39_RS01625
OG0000025	MHP7448_RS01685	B5C39_RS03175
OG0000025	MHP7448_RS01725	B5C39_RS03220
OG0000026	MHP7448_RS01380	B5C39_RS01535
OG0000026	MHP7448_RS01705	B5C39_RS03200
OG0000027	MHP7448_RS03845	B5C39_RS00530
OG0000027	MHP7448_RS03390	B5C39_RS00545
OG0000029	MHP7448_RS01085	B5C39_RS01825
OG0000029	MHP7448_RS00610	B5C39_RS02285
OG0000030	MHP7448_RS03370	B5C39_RS00520
OG0000030	MHP7448_RS03385	B5C39_RS00540
OG0000032	MHP7448_RS03380	B5C39_RS03770
OG0000035	MHP7448_RS03240	B5C39_RS00395
OG0000035	MHP7448_RS03225	B5C39_RS00375
OG0000036	MHP7448_RS00115	B5C39_RS00930
OG0000036	MHP7448_RS00130	B5C39_RS00945
OG0000037	MHP7448_RS03725	B5C39_RS03745
OG0000039	MHP7448_RS01635	B5C39_RS03875, B5C39_RS03130
OG0000040	MHP7448_RS03315	B5C39_RS00465
OG0000042	MHP7448_RS02965	B5C39_RS00160
OG0000043	MHP7448_RS02315	B5C39_RS03420
OG0000044	MHP7448_RS04120	B5C39_RS03955
OG0000045	MHP7448_RS01640	B5C39_RS03140
OG0000046	MHP7448_RS03325	B5C39_RS00475
OG0000047	MHP7448_RS01590	B5C39_RS00010
OG0000048	MHP7448_RS02115	B5C39_RS03615
OG0000049	MHP7448_RS03085	B5C39_RS00240
OG0000050	MHP7448_RS02470	B5C39_RS02725
OG0000051	MHP7448_RS02675	B5C39_RS02930
OG0000052	MHP7448_RS00075	B5C39_RS00890
OG0000053	MHP7448_RS01465	B5C39_RS01450
OG0000054	MHP7448_RS02495	B5C39_RS02750
OG0000055	MHP7448_RS00135	B5C39_RS00950
OG0000056	MHP7448_RS03565	B5C39_RS00720
OG0000057	MHP7448_RS02950	B5C39_RS00145
OG0000061	MHP7448_RS01895	B5C39_RS03360
OG0000062	MHP7448_RS03615	B5C39_RS00780
OG0000063	MHP7448_RS03610	B5C39_RS00775
OG0000064	MHP7448_RS03600	B5C39_RS00765
OG0000065	MHP7448_RS02180	B5C39_RS02530
OG0000066	MHP7448_RS01370	B5C39_RS01545
OG0000067	MHP7448_RS00525	B5C39_RS02370
OG0000068	MHP7448_RS00655	B5C39_RS02250
OG0000069	MHP7448_RS02835	B5C39_RS00035
OG0000070	MHP7448_RS02500	B5C39_RS02755
OG0000071	MHP7448_RS03305	B5C39_RS00455
OG0000072	MHP7448_RS03310	B5C39_RS00460
OG0000073	MHP7448_RS00715	B5C39_RS02200
OG0000074	MHP7448_RS03660	B5C39_RS02005
OG0000075	MHP7448_RS00340	B5C39_RS01170
OG0000076	MHP7448_RS00355	B5C39_RS01185
OG0000077	MHP7448_RS00445	B5C39_RS02455
OG0000079	MHP7448_RS02580	B5C39_RS02835
OG0000080	MHP7448_RS03915	B5C39_RS03700
OG0000081	MHP7448_RS00335	B5C39_RS01165
OG0000082	MHP7448_RS02425	B5C39_RS02680
OG0000083	MHP7448_RS02040	B5C39_RS03525
OG0000084	MHP7448_RS02065	B5C39_RS03550
OG0000085	MHP7448_RS02070	B5C39_RS03555
OG0000086	MHP7448_RS02080	B5C39_RS03565
OG0000087	MHP7448_RS02095	B5C39_RS03580
OG0000088	MHP7448_RS02100	B5C39_RS03585
OG0000089	MHP7448_RS02110	B5C39_RS03595
OG0000090	MHP7448_RS00070	B5C39_RS00885
OG0000091	MHP7448_RS00055	B5C39_RS00870
OG0000092	MHP7448_RS00040	B5C39_RS00855
OG0000093	MHP7448_RS00035	B5C39_RS00850
OG0000094	MHP7448_RS00030	B5C39_RS00845
OG0000095	MHP7448_RS00005	B5C39_RS00820
OG0000096	MHP7448_RS03655	B5C39_RS00815
OG0000097	MHP7448_RS03635	B5C39_RS00795
OG0000098	MHP7448_RS03620	B5C39_RS00785
OG0000099	MHP7448_RS03570	B5C39_RS00725
OG0000100	MHP7448_RS03555	B5C39_RS00710
OG0000101	MHP7448_RS03550	B5C39_RS00705
OG0000102	MHP7448_RS01720	B5C39_RS03215
OG0000103	MHP7448_RS02145	B5C39_RS02495
OG0000104	MHP7448_RS02150	B5C39_RS02500
OG0000105	MHP7448_RS02165	B5C39_RS02515
OG0000106	MHP7448_RS02175	B5C39_RS02525
OG0000107	MHP7448_RS02185	B5C39_RS02535
OG0000108	MHP7448_RS02190	B5C39_RS02540
OG0000109	MHP7448_RS02195	B5C39_RS02545
OG0000110	MHP7448_RS02410	B5C39_RS02670
OG0000111	MHP7448_RS02405	B5C39_RS02665
OG0000112	MHP7448_RS02395	B5C39_RS02655
OG0000113	MHP7448_RS02375	B5C39_RS02635
OG0000114	MHP7448_RS02365	B5C39_RS02625
OG0000115	MHP7448_RS02355	B5C39_RS02610
OG0000116	MHP7448_RS01315	B5C39_RS01600
OG0000117	MHP7448_RS01320	B5C39_RS01595
OG0000118	MHP7448_RS01355	B5C39_RS01560
OG0000119	MHP7448_RS01360	B5C39_RS01555
OG0000120	MHP7448_RS01375	B5C39_RS01540
OG0000121	MHP7448_RS01400	B5C39_RS01515
OG0000122	MHP7448_RS01405	B5C39_RS01510
OG0000123	MHP7448_RS01425	B5C39_RS01490
OG0000124	MHP7448_RS01430	B5C39_RS01485
OG0000125	MHP7448_RS01435	B5C39_RS01480
OG0000126	MHP7448_RS01445	B5C39_RS01470
OG0000127	MHP7448_RS01455	B5C39_RS01460
OG0000128	MHP7448_RS01470	B5C39_RS01445
OG0000129	MHP7448_RS01475	B5C39_RS01440
OG0000130	MHP7448_RS01485	B5C39_RS01430
OG0000131	MHP7448_RS01515	B5C39_RS01400
OG0000132	MHP7448_RS01530	B5C39_RS01385
OG0000133	MHP7448_RS00530	B5C39_RS02365
OG0000134	MHP7448_RS00535	B5C39_RS02360
OG0000135	MHP7448_RS00550	B5C39_RS02345
OG0000136	MHP7448_RS00555	B5C39_RS02340
OG0000137	MHP7448_RS00590	B5C39_RS02310
OG0000138	MHP7448_RS00630	B5C39_RS02275
OG0000139	MHP7448_RS00660	B5C39_RS02245
OG0000140	MHP7448_RS00665	B5C39_RS02240
OG0000141	MHP7448_RS02960	B5C39_RS00155
OG0000142	MHP7448_RS02955	B5C39_RS00150
OG0000143	MHP7448_RS02930	B5C39_RS00125
OG0000144	MHP7448_RS02920	B5C39_RS00115
OG0000145	MHP7448_RS02910	B5C39_RS00105
OG0000146	MHP7448_RS02900	B5C39_RS00095
OG0000147	MHP7448_RS02895	B5C39_RS00090
OG0000148	MHP7448_RS02880	B5C39_RS00075
OG0000149	MHP7448_RS02870	B5C39_RS00065
OG0000150	MHP7448_RS02850	B5C39_RS00050
OG0000151	MHP7448_RS02805	B5C39_RS03055
OG0000152	MHP7448_RS02800	B5C39_RS03050
OG0000153	MHP7448_RS02795	B5C39_RS03045
OG0000154	MHP7448_RS02785	B5C39_RS03035
OG0000155	MHP7448_RS02745	B5C39_RS02995
OG0000156	MHP7448_RS02735	B5C39_RS02985
OG0000157	MHP7448_RS02730	B5C39_RS02980
OG0000158	MHP7448_RS04110	B5C39_RS03905
OG0000159	MHP7448_RS02485	B5C39_RS03950
OG0000160	MHP7448_RS02480	B5C39_RS02735
OG0000161	MHP7448_RS02475	B5C39_RS02730
OG0000162	MHP7448_RS02465	B5C39_RS02720
OG0000163	MHP7448_RS02460	B5C39_RS02715
OG0000164	MHP7448_RS01625	B5C39_RS03120
OG0000165	MHP7448_RS01960	B5C39_RS03445
OG0000166	MHP7448_RS01980	B5C39_RS03465
OG0000167	MHP7448_RS01995	B5C39_RS03480
OG0000168	MHP7448_RS02000	B5C39_RS03485
OG0000169	MHP7448_RS03080	B5C39_RS00235
OG0000170	MHP7448_RS03095	B5C39_RS00250
OG0000171	MHP7448_RS03105	B5C39_RS00260
OG0000172	MHP7448_RS03115	B5C39_RS00265
OG0000173	MHP7448_RS03120	B5C39_RS00270
OG0000174	MHP7448_RS03125	B5C39_RS00275
OG0000175	MHP7448_RS03140	B5C39_RS00290
OG0000176	MHP7448_RS03190	B5C39_RS00340
OG0000177	MHP7448_RS03195	B5C39_RS00345
