Orthogroup	MHP_7448_genes	MFC_ATCC27716_genes
OG0000000	MHP7448_RS02135	MFC_RS01410
OG0000000	MHP7448_RS01735	MFC_RS00365
OG0000001	MHP7448_RS01300, MHP7448_RS01295, MHP7448_RS02820, MHP7448_RS03920, MHP7448_RS04045	MFC_RS03350
OG0000002	MHP7448_RS03995, MHP7448_RS03900	MFC_RS00395
OG0000002	MHP7448_RS01745	MFC_RS00370
OG0000003	MHP7448_RS03870	MFC_RS02995
OG0000004	MHP7448_RS03035	MFC_RS00155
OG0000008	MHP7448_RS01665	MFC_RS03380
OG0000011	MHP7448_RS01970	MFC_RS03510, MFC_RS03505
OG0000011	MHP7448_RS01965	MFC_RS01350
OG0000013	MHP7448_RS02430	MFC_RS03175, MFC_RS02880
OG0000013	MHP7448_RS03945	MFC_RS03420
OG0000014	MHP7448_RS01090, MHP7448_RS00605	MFC_RS00870
OG0000015	MHP7448_RS04005, MHP7448_RS04000	MFC_RS03450
OG0000016	MHP7448_RS02865	MFC_RS01050
OG0000017	MHP7448_RS00155	MFC_RS03155
OG0000017	MHP7448_RS02875	MFC_RS01040
OG0000019	MHP7448_RS04070	MFC_RS03000
OG0000019	MHP7448_RS03040	MFC_RS03330
OG0000020	MHP7448_RS03580	MFC_RS00305
OG0000020	MHP7448_RS03585	MFC_RS00300
OG0000022	MHP7448_RS01730	MFC_RS00360
OG0000024	MHP7448_RS02765, MHP7448_RS01290	MFC_RS01110
OG0000025	MHP7448_RS01725	MFC_RS00355
OG0000026	MHP7448_RS01380, MHP7448_RS01705	MFC_RS00580
OG0000027	MHP7448_RS03390	MFC_RS02850
OG0000029	MHP7448_RS01085, MHP7448_RS00610	MFC_RS00875
OG0000030	MHP7448_RS03370, MHP7448_RS03385	MFC_RS02855
OG0000031	MHP7448_RS02310	MFC_RS01295
OG0000032	MHP7448_RS01595	MFC_RS02685
OG0000032	MHP7448_RS03380	MFC_RS02860
OG0000037	MHP7448_RS03725	MFC_RS03185
OG0000037	MHP7448_RS03970	MFC_RS03295, MFC_RS00375
OG0000039	MHP7448_RS01635	MFC_RS03135, MFC_RS00935
OG0000040	MHP7448_RS03315	MFC_RS01640, MFC_RS01160, MFC_RS01165
OG0000042	MHP7448_RS02965	MFC_RS00930, MFC_RS01085
OG0000043	MHP7448_RS02315	MFC_RS01320
OG0000045	MHP7448_RS01640	MFC_RS00950
OG0000047	MHP7448_RS02290	MFC_RS03280
OG0000048	MHP7448_RS02115	MFC_RS00140
OG0000049	MHP7448_RS03085	MFC_RS03220, MFC_RS03365
