Orthogroup	MHP_7448_genes	MHP_UFV02_genes
OG0000000	MHP7448_RS02135	FEF31_RS01935
OG0000000	MHP7448_RS03990	FEF31_RS04515
OG0000000	MHP7448_RS02245	FEF31_RS02055
OG0000000	MHP7448_RS01735	FEF31_RS01380, FEF31_RS01385
OG0000001	MHP7448_RS01300	FEF31_RS00940
OG0000001	MHP7448_RS01295	FEF31_RS00935
OG0000001	MHP7448_RS02820	FEF31_RS02540
OG0000001	MHP7448_RS03920	FEF31_RS02495
OG0000001	MHP7448_RS04045	FEF31_RS02490
OG0000002	MHP7448_RS03995	FEF31_RS01945
OG0000002	MHP7448_RS01745	FEF31_RS04455
OG0000003	MHP7448_RS01830, MHP7448_RS01785, MHP7448_RS00505	FEF31_RS04365
OG0000003	MHP7448_RS03870	FEF31_RS04510, FEF31_RS01590
OG0000004	MHP7448_RS03230	FEF31_RS03760
OG0000004	MHP7448_RS03245	FEF31_RS03775
OG0000005	MHP7448_RS00100	FEF31_RS03370
OG0000005	MHP7448_RS00120	FEF31_RS04665
OG0000005	MHP7448_RS00105	FEF31_RS04660
OG0000005	MHP7448_RS00110	FEF31_RS03380
OG0000005	MHP7448_RS00125	FEF31_RS04670
OG0000006	MHP7448_RS04025	FEF31_RS02230
OG0000006	MHP7448_RS02380	FEF31_RS02090
OG0000006	MHP7448_RS02255	FEF31_RS02060
OG0000008	MHP7448_RS02240	FEF31_RS02050
OG0000008	MHP7448_RS01665	FEF31_RS01300
OG0000008	MHP7448_RS04030	FEF31_RS02250
OG0000009	MHP7448_RS00675	FEF31_RS00325
OG0000009	MHP7448_RS00690	FEF31_RS00335
OG0000010	MHP7448_RS01885	FEF31_RS01600
OG0000011	MHP7448_RS01970	FEF31_RS01695
OG0000011	MHP7448_RS01965	FEF31_RS01690
OG0000012	MHP7448_RS03435, MHP7448_RS02690	FEF31_RS02235
OG0000013	MHP7448_RS02430	FEF31_RS02135
OG0000013	MHP7448_RS03945	FEF31_RS03455
OG0000014	MHP7448_RS01090	FEF31_RS00745
OG0000014	MHP7448_RS00605	FEF31_RS04375
OG0000015	MHP7448_RS03965	FEF31_RS01295
OG0000015	MHP7448_RS04005, MHP7448_RS04000	FEF31_RS01395
OG0000016	MHP7448_RS02865	FEF31_RS02580
OG0000016	MHP7448_RS00170	FEF31_RS03440
OG0000017	MHP7448_RS00155	FEF31_RS03425
OG0000017	MHP7448_RS02875	FEF31_RS02590
OG0000018	MHP7448_RS02275	FEF31_RS01415, FEF31_RS01420
OG0000019	MHP7448_RS04070	FEF31_RS04805
OG0000020	MHP7448_RS03580	FEF31_RS03220
OG0000020	MHP7448_RS03585	FEF31_RS04270
OG0000022	MHP7448_RS01680	FEF31_RS01320
OG0000022	MHP7448_RS01730	FEF31_RS04450
OG0000023	MHP7448_RS04010	FEF31_RS01405
OG0000024	MHP7448_RS02765	FEF31_RS02485
OG0000024	MHP7448_RS01290	FEF31_RS00930
OG0000025	MHP7448_RS01685	FEF31_RS04445
OG0000025	MHP7448_RS01725	FEF31_RS01370
OG0000026	MHP7448_RS01380	FEF31_RS01025
OG0000026	MHP7448_RS01705	FEF31_RS01350
OG0000027	MHP7448_RS03845	FEF31_RS03015
OG0000027	MHP7448_RS03390	FEF31_RS04605
OG0000029	MHP7448_RS01085	FEF31_RS00735
OG0000029	MHP7448_RS00610	FEF31_RS00270
OG0000030	MHP7448_RS03370	FEF31_RS04590
OG0000030	MHP7448_RS03385	FEF31_RS04600
OG0000031	MHP7448_RS01620	FEF31_RS01265
OG0000031	MHP7448_RS02310	FEF31_RS01450
OG0000032	MHP7448_RS03380	FEF31_RS03020
OG0000035	MHP7448_RS03240	FEF31_RS03765
OG0000036	MHP7448_RS00115	FEF31_RS03385
OG0000036	MHP7448_RS00130	FEF31_RS03400
OG0000038	MHP7448_RS00500	FEF31_RS00160
OG0000039	MHP7448_RS01635	FEF31_RS01275
OG0000040	MHP7448_RS03315	FEF31_RS03890
OG0000041	MHP7448_RS00680	FEF31_RS00330
OG0000042	MHP7448_RS02965	FEF31_RS02675
OG0000043	MHP7448_RS02315	FEF31_RS01455
OG0000044	MHP7448_RS04120	FEF31_RS04775
OG0000045	MHP7448_RS01640	FEF31_RS01280, FEF31_RS01285
OG0000046	MHP7448_RS03325	FEF31_RS02960, FEF31_RS02245
OG0000047	MHP7448_RS02290	FEF31_RS01435
OG0000048	MHP7448_RS02115	FEF31_RS01845
OG0000049	MHP7448_RS03085	FEF31_RS03620
OG0000050	MHP7448_RS02470	FEF31_RS02180
OG0000051	MHP7448_RS02675	FEF31_RS02395
OG0000052	MHP7448_RS00075	FEF31_RS03360
OG0000053	MHP7448_RS01465	FEF31_RS04425
OG0000054	MHP7448_RS02495	FEF31_RS02205
OG0000055	MHP7448_RS00135	FEF31_RS03405
OG0000056	MHP7448_RS03565	FEF31_RS03205
OG0000057	MHP7448_RS02950	FEF31_RS02660
OG0000058	MHP7448_RS02335	FEF31_RS01470
OG0000059	MHP7448_RS02320	FEF31_RS01460
OG0000061	MHP7448_RS01895	FEF31_RS01610
OG0000062	MHP7448_RS03615	FEF31_RS03250
OG0000063	MHP7448_RS03610	FEF31_RS04645
OG0000064	MHP7448_RS03600	FEF31_RS03235
OG0000065	MHP7448_RS02180	FEF31_RS01990
OG0000066	MHP7448_RS01370	FEF31_RS01015
OG0000067	MHP7448_RS00525	FEF31_RS00185
OG0000068	MHP7448_RS00655	FEF31_RS00305
OG0000069	MHP7448_RS02835	FEF31_RS02555
OG0000070	MHP7448_RS02500	FEF31_RS02210
OG0000071	MHP7448_RS03305	FEF31_RS03835
OG0000072	MHP7448_RS03310	FEF31_RS04700
OG0000073	MHP7448_RS00715	FEF31_RS00360
OG0000074	MHP7448_RS03660	FEF31_RS04395
OG0000075	MHP7448_RS00340	FEF31_RS00005
OG0000076	MHP7448_RS00355	FEF31_RS00020
OG0000077	MHP7448_RS00445	FEF31_RS00105
OG0000078	MHP7448_RS01695	FEF31_RS01340
OG0000079	MHP7448_RS02580	FEF31_RS02300
OG0000080	MHP7448_RS03915	FEF31_RS02345
OG0000081	MHP7448_RS00335	FEF31_RS03610
OG0000082	MHP7448_RS02425	FEF31_RS02130
OG0000083	MHP7448_RS02040	FEF31_RS01765
OG0000084	MHP7448_RS02065	FEF31_RS01795
OG0000085	MHP7448_RS02070	FEF31_RS01800
OG0000086	MHP7448_RS02080	FEF31_RS01810
OG0000087	MHP7448_RS02095	FEF31_RS01825
OG0000088	MHP7448_RS02100	FEF31_RS01830
OG0000089	MHP7448_RS02110	FEF31_RS01840
OG0000090	MHP7448_RS00070	FEF31_RS03355
OG0000091	MHP7448_RS00055	FEF31_RS03340
OG0000092	MHP7448_RS00040	FEF31_RS03325
OG0000093	MHP7448_RS00035	FEF31_RS03320
OG0000094	MHP7448_RS00030	FEF31_RS03315
OG0000095	MHP7448_RS00005	FEF31_RS03290
OG0000096	MHP7448_RS03655	FEF31_RS03285
OG0000097	MHP7448_RS03635	FEF31_RS03265
OG0000098	MHP7448_RS03620	FEF31_RS03255
OG0000099	MHP7448_RS03570	FEF31_RS04640
OG0000100	MHP7448_RS03555	FEF31_RS03195
OG0000101	MHP7448_RS03550	FEF31_RS03190
OG0000102	MHP7448_RS01720	FEF31_RS01365
OG0000103	MHP7448_RS02145	FEF31_RS01955
OG0000104	MHP7448_RS02150	FEF31_RS01960
