Orthogroup	MHP_7448_genes	MHP_MHP682_genes
OG0000000	MHP7448_RS02135	DR097_RS02690
OG0000000	MHP7448_RS03990, MHP7448_RS02245, MHP7448_RS03825	DR097_RS04740
OG0000000	MHP7448_RS01740	DR097_RS01835
OG0000001	MHP7448_RS02820	DR097_RS04145
OG0000002	MHP7448_RS03995	DR097_RS02700
OG0000002	MHP7448_RS01745	DR097_RS04675
OG0000003	MHP7448_RS01830, MHP7448_RS01785, MHP7448_RS00505	DR097_RS04955
OG0000003	MHP7448_RS03870	DR097_RS04850, DR097_RS04840, DR097_RS03830
OG0000004	MHP7448_RS03230	DR097_RS01330
OG0000004	MHP7448_RS03245	DR097_RS01325
OG0000005	MHP7448_RS00100	DR097_RS02455
OG0000005	MHP7448_RS00120	DR097_RS04720
OG0000005	MHP7448_RS00105	DR097_RS02445
OG0000005	MHP7448_RS00110	DR097_RS02440
OG0000005	MHP7448_RS00125	DR097_RS04715
OG0000008	MHP7448_RS04030	DR097_RS03625
OG0000009	MHP7448_RS00085	DR097_RS02470
OG0000009	MHP7448_RS00690	DR097_RS01140
OG0000010	MHP7448_RS01885	DR097_RS02510
OG0000010	MHP7448_RS00095	DR097_RS02450
OG0000011	MHP7448_RS01970	DR097_RS00820
OG0000011	MHP7448_RS01965	DR097_RS00825
OG0000012	MHP7448_RS03880	DR097_RS03825
OG0000013	MHP7448_RS02430	DR097_RS02175
OG0000013	MHP7448_RS03945	DR097_RS03895
OG0000014	MHP7448_RS00605	DR097_RS03370
OG0000015	MHP7448_RS01650	DR097_RS02000
OG0000016	MHP7448_RS02865	DR097_RS01165
OG0000016	MHP7448_RS00170	DR097_RS00270
OG0000017	MHP7448_RS00155	DR097_RS00285
OG0000017	MHP7448_RS02875	DR097_RS01175
OG0000019	MHP7448_RS04070, MHP7448_RS03045, MHP7448_RS03040, MHP7448_RS04065	DR097_RS03615
OG0000020	MHP7448_RS03580	DR097_RS04835
OG0000020	MHP7448_RS03585	DR097_RS04830
OG0000021	MHP7448_RS04125, MHP7448_RS03950	DR097_RS03390
OG0000022	MHP7448_RS01680	DR097_RS01895
OG0000022	MHP7448_RS01730	DR097_RS04680
OG0000024	MHP7448_RS02765	DR097_RS01795
OG0000024	MHP7448_RS01290	DR097_RS00345
OG0000025	MHP7448_RS01685	DR097_RS04685
OG0000025	MHP7448_RS01725	DR097_RS01845
OG0000026	MHP7448_RS01380	DR097_RS01665
OG0000026	MHP7448_RS01705	DR097_RS01865
OG0000027	MHP7448_RS03845	DR097_RS02965
OG0000027	MHP7448_RS03390	DR097_RS04560
OG0000028	MHP7448_RS02440	DR097_RS02880, DR097_RS01995
OG0000029	MHP7448_RS01085	DR097_RS02335
OG0000030	MHP7448_RS03370	DR097_RS04775
OG0000030	MHP7448_RS03385	DR097_RS04565
OG0000032	MHP7448_RS01595	DR097_RS04795
OG0000032	MHP7448_RS03380	DR097_RS00730
OG0000035	MHP7448_RS03225	DR097_RS04085
OG0000036	MHP7448_RS00115	DR097_RS02435
OG0000036	MHP7448_RS00130	DR097_RS02415
OG0000037	MHP7448_RS03725	DR097_RS04800
OG0000037	MHP7448_RS03970	DR097_RS03100
OG0000039	MHP7448_RS01635	DR097_RS04950
OG0000040	MHP7448_RS03315	DR097_RS03560
OG0000041	MHP7448_RS00680	DR097_RS03645
OG0000042	MHP7448_RS02965	DR097_RS01265
OG0000043	MHP7448_RS01935	DR097_RS00855
OG0000043	MHP7448_RS02315	DR097_RS00855
OG0000044	MHP7448_RS04120	DR097_RS04900
OG0000045	MHP7448_RS01640	DR097_RS03525
OG0000046	MHP7448_RS03325	DR097_RS04785
OG0000048	MHP7448_RS02115	DR097_RS02830
OG0000049	MHP7448_RS03085	DR097_RS01470
OG0000050	MHP7448_RS02470	DR097_RS01960
OG0000051	MHP7448_RS02675	DR097_RS01545
OG0000052	MHP7448_RS00075	DR097_RS02480
OG0000053	MHP7448_RS01465	DR097_RS04845
OG0000054	MHP7448_RS02495	DR097_RS01935
OG0000055	MHP7448_RS00135	DR097_RS00305
OG0000056	MHP7448_RS03565	DR097_RS00545
OG0000057	MHP7448_RS02950	DR097_RS01250
OG0000058	MHP7448_RS02335	DR097_RS02085
OG0000059	MHP7448_RS02320	DR097_RS04190
OG0000062	MHP7448_RS03615	DR097_RS02590
OG0000063	MHP7448_RS03610	DR097_RS04735
OG0000064	MHP7448_RS03600	DR097_RS02605
OG0000065	MHP7448_RS02180	DR097_RS02745
OG0000066	MHP7448_RS01370	DR097_RS01675
OG0000067	MHP7448_RS00525	DR097_RS02405
OG0000068	MHP7448_RS00655	DR097_RS03055
OG0000069	MHP7448_RS02835	DR097_RS01725
OG0000070	MHP7448_RS02500	DR097_RS01930
OG0000071	MHP7448_RS03305	DR097_RS03575
OG0000072	MHP7448_RS03310	DR097_RS03580, DR097_RS04860
OG0000073	MHP7448_RS00715	DR097_RS01115
OG0000074	MHP7448_RS03660	DR097_RS04605
OG0000075	MHP7448_RS00340	DR097_RS00090
OG0000076	MHP7448_RS00355	DR097_RS00075
OG0000077	MHP7448_RS00445	DR097_RS03275
OG0000078	MHP7448_RS01695	DR097_RS01875
OG0000079	MHP7448_RS02580	DR097_RS02640
OG0000080	MHP7448_RS03915	DR097_RS04360
OG0000081	MHP7448_RS00335	DR097_RS00095
OG0000082	MHP7448_RS02425	DR097_RS02165
OG0000083	MHP7448_RS02040	DR097_RS00750
OG0000084	MHP7448_RS02065	DR097_RS03685
OG0000085	MHP7448_RS02070	DR097_RS02875
OG0000086	MHP7448_RS02080	DR097_RS02865
OG0000087	MHP7448_RS02095	DR097_RS02850
OG0000088	MHP7448_RS02100	DR097_RS02845
OG0000089	MHP7448_RS02110	DR097_RS02835
OG0000090	MHP7448_RS00070	DR097_RS02485
OG0000091	MHP7448_RS00055	DR097_RS02775
OG0000092	MHP7448_RS00040	DR097_RS02790
OG0000093	MHP7448_RS00035	DR097_RS02795
OG0000094	MHP7448_RS00030	DR097_RS02800
OG0000095	MHP7448_RS00005	DR097_RS03550
OG0000096	MHP7448_RS03655	DR097_RS03545
OG0000097	MHP7448_RS03635	DR097_RS02575
OG0000098	MHP7448_RS03620	DR097_RS02585
OG0000099	MHP7448_RS03570	DR097_RS03665
OG0000100	MHP7448_RS03555	DR097_RS00555
OG0000101	MHP7448_RS03550	DR097_RS00560
OG0000102	MHP7448_RS01720	DR097_RS01850
OG0000103	MHP7448_RS02145	DR097_RS02710
OG0000104	MHP7448_RS02150	DR097_RS02715
OG0000105	MHP7448_RS02165	DR097_RS02730
OG0000106	MHP7448_RS02175	DR097_RS02740
OG0000107	MHP7448_RS02185	DR097_RS02750
OG0000108	MHP7448_RS02190	DR097_RS02755
OG0000109	MHP7448_RS02195	DR097_RS02760
OG0000110	MHP7448_RS02410	DR097_RS02155
OG0000111	MHP7448_RS02405	DR097_RS02150
OG0000112	MHP7448_RS02395	DR097_RS02140
OG0000113	MHP7448_RS02375	DR097_RS04705
OG0000114	MHP7448_RS02365	DR097_RS02110
OG0000115	MHP7448_RS02355	DR097_RS02095
OG0000116	MHP7448_RS01315	DR097_RS00320
OG0000117	MHP7448_RS01320	DR097_RS00315
OG0000118	MHP7448_RS01355	DR097_RS01690
OG0000119	MHP7448_RS01360	DR097_RS01685
OG0000120	MHP7448_RS01375	DR097_RS01670
OG0000121	MHP7448_RS01400	DR097_RS01645
OG0000122	MHP7448_RS01405	DR097_RS01640
OG0000123	MHP7448_RS01425	DR097_RS01620
OG0000124	MHP7448_RS01430	DR097_RS01615
OG0000125	MHP7448_RS01435	DR097_RS01610
OG0000126	MHP7448_RS01445	DR097_RS01600
OG0000127	MHP7448_RS01455	DR097_RS01590
OG0000128	MHP7448_RS01470	DR097_RS03460
OG0000129	MHP7448_RS01475	DR097_RS03355
OG0000130	MHP7448_RS01485	DR097_RS03345
OG0000131	MHP7448_RS01515	DR097_RS04820
OG0000132	MHP7448_RS01530	DR097_RS04815
OG0000133	MHP7448_RS00530	DR097_RS02400
OG0000134	MHP7448_RS00535	DR097_RS02395
OG0000135	MHP7448_RS00550	DR097_RS02380
OG0000136	MHP7448_RS00555	DR097_RS02375
OG0000137	MHP7448_RS00590	DR097_RS02345
OG0000138	MHP7448_RS00630	DR097_RS03080
OG0000139	MHP7448_RS00660	DR097_RS03050
OG0000140	MHP7448_RS00665	DR097_RS03045
OG0000141	MHP7448_RS02960	DR097_RS01260
OG0000142	MHP7448_RS02955	DR097_RS04625
OG0000143	MHP7448_RS02930	DR097_RS01230
