Orthogroup	MHP_MHP653_genes	MHP_Ue273_genes
OG0000000	DR096_RS03590	VQY17_RS02200
OG0000000	DR096_RS03335	VQY17_RS02195
OG0000000	DR096_RS03340	VQY17_RS01775
OG0000001	DR096_RS01190	VQY17_RS02775
OG0000001	DR096_RS04085	VQY17_RS02730
OG0000002	DR096_RS04275	VQY17_RS02210
OG0000002	DR096_RS04795	VQY17_RS01780
OG0000003	DR096_RS03740	VQY17_RS00505
OG0000003	DR096_RS03690	VQY17_RS01865
OG0000003	DR096_RS04710	VQY17_RS00940
OG0000003	DR096_RS04825	VQY17_RS01910
OG0000005	DR096_RS02575	VQY17_RS00100
OG0000005	DR096_RS04720	VQY17_RS00120
OG0000005	DR096_RS02565	VQY17_RS00105
OG0000005	DR096_RS02560	VQY17_RS00110
OG0000005	DR096_RS04715	VQY17_RS00125
OG0000006	DR096_RS04365	VQY17_RS02495
OG0000006	DR096_RS01695	VQY17_RS02360
OG0000007	DR096_RS02415	VQY17_RS00945
OG0000007	DR096_RS04240	VQY17_RS00960
OG0000008	DR096_RS04360	VQY17_RS02500
OG0000009	DR096_RS02590	VQY17_RS00085
OG0000010	DR096_RS00395	VQY17_RS01920
OG0000010	DR096_RS02570	VQY17_RS00095
OG0000011	DR096_RS00490	VQY17_RS02025
OG0000011	DR096_RS00485	VQY17_RS02020
OG0000012	DR096_RS03785	VQY17_RS01935
OG0000013	DR096_RS04100	VQY17_RS02405
OG0000013	DR096_RS03875	VQY17_RS00185
OG0000014	DR096_RS04790	VQY17_RS00605
OG0000015	DR096_RS01405	VQY17_RS01665
OG0000016	DR096_RS01150	VQY17_RS02820
OG0000016	DR096_RS00345	VQY17_RS00170
OG0000017	DR096_RS00360	VQY17_RS00155
OG0000017	DR096_RS01140	VQY17_RS02830
OG0000019	DR096_RS03940	VQY17_RS03000, VQY17_RS03010, VQY17_RS03030
OG0000020	DR096_RS03230	VQY17_RS03550
OG0000020	DR096_RS04775	VQY17_RS03555
OG0000022	DR096_RS01995	VQY17_RS01695
OG0000022	DR096_RS04665	VQY17_RS01765
OG0000024	DR096_RS01490	VQY17_RS02725
OG0000024	DR096_RS01690	VQY17_RS01295
OG0000025	DR096_RS04660	VQY17_RS01700
OG0000025	DR096_RS02045	VQY17_RS01755
OG0000026	DR096_RS01600	VQY17_RS01380
