Orthogroup	MHP_MHP653_genes	MHP_168L_genes
OG0000000	DR096_RS03590	MHP168L_RS02190
OG0000000	DR096_RS03550	MHP168L_RS02335
OG0000000	DR096_RS04445	MHP168L_RS02340
OG0000000	DR096_RS03340	MHP168L_RS01715
OG0000001	DR096_RS01680	MHP168L_RS01370
OG0000001	DR096_RS01685	MHP168L_RS03950
OG0000001	DR096_RS01190	MHP168L_RS02830
OG0000002	DR096_RS04275	MHP168L_RS04010
OG0000002	DR096_RS04795	MHP168L_RS01710
OG0000003	DR096_RS03740	MHP168L_RS01860
OG0000003	DR096_RS03690, DR096_RS03695	MHP168L_RS00485
OG0000003	DR096_RS04825	MHP168L_RS03875
OG0000005	DR096_RS02575	MHP168L_RS00090
OG0000005	DR096_RS02565	MHP168L_RS00100
OG0000005	DR096_RS02560, DR096_RS04715	MHP168L_RS00105
OG0000008	DR096_RS04360	MHP168L_RS04025
OG0000010	DR096_RS00395	MHP168L_RS01950
OG0000010	DR096_RS02570	MHP168L_RS00085
OG0000011	DR096_RS00490	MHP168L_RS03995
OG0000011	DR096_RS00485	MHP168L_RS02035
OG0000013	DR096_RS04100	MHP168L_RS02430
OG0000013	DR096_RS03875	MHP168L_RS03905
OG0000014	DR096_RS04790	MHP168L_RS01055
OG0000015	DR096_RS01405	MHP168L_RS04080, MHP168L_RS03530, MHP168L_RS01270, MHP168L_RS01665
OG0000016	DR096_RS01150	MHP168L_RS02870
OG0000016	DR096_RS00345	MHP168L_RS00150
OG0000017	DR096_RS00360	MHP168L_RS00135
OG0000017	DR096_RS01140	MHP168L_RS02880
OG0000019	DR096_RS03940	MHP168L_RS04055
OG0000020	DR096_RS03230	MHP168L_RS03590
OG0000020	DR096_RS04775	MHP168L_RS03595
OG0000022	DR096_RS01995	MHP168L_RS01775
OG0000022	DR096_RS04665	MHP168L_RS01725
OG0000024	DR096_RS01490	MHP168L_RS02775
OG0000024	DR096_RS01690	MHP168L_RS03940, MHP168L_RS03945
OG0000025	DR096_RS04660	MHP168L_RS01770
OG0000025	DR096_RS02045	MHP168L_RS01730
OG0000026	DR096_RS01600	MHP168L_RS01455
OG0000026	DR096_RS02025	MHP168L_RS01750
OG0000027	DR096_RS04770	MHP168L_RS03825
OG0000027	DR096_RS04540	MHP168L_RS03345
OG0000029	DR096_RS03330	MHP168L_RS01050
OG0000030	DR096_RS04765	MHP168L_RS03325
OG0000030	DR096_RS04535	MHP168L_RS03340
OG0000031	DR096_RS01370	MHP168L_RS01830
OG0000032	DR096_RS00860	MHP168L_RS03335
OG0000035	DR096_RS03635	MHP168L_RS03185
OG0000036	DR096_RS02555, DR096_RS02535	MHP168L_RS00110
OG0000037	DR096_RS04615	MHP168L_RS01845
OG0000039	DR096_RS01385	MHP168L_RS01815
OG0000041	DR096_RS03595	MHP168L_RS00985
OG0000042	DR096_RS00855	MHP168L_RS02970
OG0000043	DR096_RS00455	MHP168L_RS01210
OG0000044	DR096_RS04875	MHP168L_RS04140
OG0000045	DR096_RS01390	MHP168L_RS01810
OG0000048	DR096_RS03530	MHP168L_RS02210
OG0000049	DR096_RS00770	MHP168L_RS03050
OG0000050	DR096_RS03020	MHP168L_RS02475
OG0000051	DR096_RS02440	MHP168L_RS04035
OG0000052	DR096_RS02830	MHP168L_RS00075
OG0000053	DR096_RS04590	MHP168L_RS01540
OG0000054	DR096_RS02995	MHP168L_RS02500
OG0000055	DR096_RS02530	MHP168L_RS00115
OG0000056	DR096_RS01045	MHP168L_RS03515
OG0000057	DR096_RS01065	MHP168L_RS02955
OG0000060	DR096_RS02295	MHP168L_RS01280
OG0000061	DR096_RS00405	MHP168L_RS01660
