Assembly	GCF_000183185.1_ASM18318v1_genomic
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	1
Total length (>= 0 bp)	925576
Total length (>= 1000 bp)	925576
Total length (>= 5000 bp)	925576
Total length (>= 10000 bp)	925576
Total length (>= 25000 bp)	925576
Total length (>= 50000 bp)	925576
# contigs	1
Largest contig	925576
Total length	925576
GC (%)	28.46
N50	925576
N90	925576
auN	925576.0
L50	1
L90	1
# N's per 100 kbp	0.00
