#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scf00000000:251394-253190|+ -            599 501at2085            -            526  5.2e-249  822.6   9.1   1   1  7.3e-251  1.1e-248  821.6   9.1     1   526     1   594     1   594 0.93 scf00000000_191 # 251394 # 253190 # 1 # ID=1_191;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.342
scf00000000:254523-256607|- -            695 501at2085            -            526   6.1e-47  155.9   1.2   1   4   1.8e-36   2.6e-34  114.2   0.1     4   153     8   162     5   186 0.86 scf00000000_193 # 254523 # 256607 # -1 # ID=1_193;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
scf00000000:254523-256607|- -            695 501at2085            -            526   6.1e-47  155.9   1.2   2   4      0.53        78   -2.9   0.0   155   173   263   281   256   293 0.80 scf00000000_193 # 254523 # 256607 # -1 # ID=1_193;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
scf00000000:254523-256607|- -            695 501at2085            -            526   6.1e-47  155.9   1.2   3   4     6e-12   8.8e-10   33.2   0.1   170   339   301   485   289   498 0.69 scf00000000_193 # 254523 # 256607 # -1 # ID=1_193;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
scf00000000:254523-256607|- -            695 501at2085            -            526   6.1e-47  155.9   1.2   4   4    0.0026      0.39    4.7   0.0   350   411   607   675   595   691 0.78 scf00000000_193 # 254523 # 256607 # -1 # ID=1_193;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.372
scf00000000:19747-21546|-   -            600 501at2085            -            526     3e-19   64.5   2.9   1   3     2e-21     3e-19   64.5   2.9    10   195   117   307   115   321 0.76 scf00000000_18 # 19747 # 21546 # -1 # ID=1_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
scf00000000:19747-21546|-   -            600 501at2085            -            526     3e-19   64.5   2.9   2   3      0.56        82   -3.0   0.6   135   181   388   434   377   452 0.72 scf00000000_18 # 19747 # 21546 # -1 # ID=1_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
scf00000000:19747-21546|-   -            600 501at2085            -            526     3e-19   64.5   2.9   3   3      0.34        50   -2.2   0.0   382   408   480   506   460   516 0.80 scf00000000_18 # 19747 # 21546 # -1 # ID=1_18;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.352
scf00000000:827642-828850|- -            403 501at2085            -            526   2.1e-18   61.7   2.9   1   2   3.7e-20   5.4e-18   60.3   0.2     8   140    20   155    14   168 0.88 scf00000000_650 # 827642 # 828850 # -1 # ID=1_650;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
scf00000000:827642-828850|- -            403 501at2085            -            526   2.1e-18   61.7   2.9   2   2     0.023       3.4    1.6   0.2   161   256   205   309   194   325 0.67 scf00000000_650 # 827642 # 828850 # -1 # ID=1_650;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
scf00000000:249535-250836|+ -            434 501at2085            -            526   5.7e-13   43.8   0.5   1   2   1.5e-05    0.0022   12.1   0.1    63   180    46   170    36   173 0.75 scf00000000_188 # 249535 # 250836 # 1 # ID=1_188;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.297
scf00000000:249535-250836|+ -            434 501at2085            -            526   5.7e-13   43.8   0.5   2   2   6.5e-11   9.5e-09   29.8   0.1    78   168   238   340   214   363 0.81 scf00000000_188 # 249535 # 250836 # 1 # ID=1_188;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.297
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP650/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP650/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP650/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP650/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP650/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/MHP650/Use
# Date:            Sun Dec  1 19:22:38 2024
# [ok]
