Orthogroup	MHP_REF_protein	MHP_MHP696_protein
OG0000000	WP_044272461.1	WP_160587898.1, WP_146379632.1, WP_160587900.1
OG0000001	WP_044272444.1	WP_308507067.1, WP_240536309.1, WP_135618795.1
OG0000002	WP_228366099.1	WP_308507056.1, WP_258555342.1
OG0000031	WP_011205867.1	WP_146379455.1
OG0000035	WP_044272427.1	WP_160588203.1
OG0000043	WP_011290432.1	WP_160585575.1
OG0000047	WP_225972996.1	WP_225972996.1
OG0000048	WP_044272567.1	WP_160587850.1
OG0000053	WP_002557698.1	WP_002557698.1
OG0000057	WP_011290028.1	WP_011290028.1
OG0000058	WP_011290048.1	WP_135618593.1
OG0000060	WP_011290055.1	WP_011290055.1
OG0000062	WP_020835608.1	WP_146379532.1
OG0000063	WP_014579535.1	WP_052259122.1
OG0000067	WP_011206493.1	WP_160588182.1
OG0000068	WP_020835906.1	WP_020835906.1
OG0000069	WP_044272542.1	WP_160588321.1
OG0000071	WP_044272563.1	WP_044272563.1
OG0000072	WP_044272653.1	WP_160588144.1
OG0000076	WP_228366125.1	WP_192894285.1
OG0000236	WP_044272642.1	WP_160588134.1
OG0000503	WP_228366107.1	WP_228366107.1
OG0000545	WP_011290141.1	WP_011284067.1
OG0000559	WP_011290306.1	WP_160587832.1
OG0000623	WP_052269171.1	WP_052293597.1
OG0000642	WP_187145663.1	WP_160587880.1
