Orthogroup	MHP_REF_protein	MHP_MHP691_protein
OG0000000	WP_044272461.1	WP_160607868.1, WP_160607678.1, WP_020835714.1, WP_160606477.1
OG0000001	WP_044272444.1	WP_160607882.1, WP_240536590.1, WP_258555606.1, WP_308704686.1, WP_308704693.1
OG0000002	WP_228366099.1	WP_308704685.1, WP_258555582.1
OG0000031	WP_011205867.1	WP_160607724.1
OG0000035	WP_044272427.1	WP_160607947.1
OG0000043	WP_011290432.1	WP_011290432.1
OG0000047	WP_225972996.1	WP_225972996.1
OG0000048	WP_044272567.1	WP_160607842.1
OG0000053	WP_002557698.1	WP_160607789.1
OG0000057	WP_011290028.1	WP_011290028.1
OG0000058	WP_011290048.1	WP_160608008.1
OG0000060	WP_011290055.1	WP_160608019.1
OG0000062	WP_020835608.1	WP_160607930.1
OG0000063	WP_014579535.1	WP_160585552.1
OG0000067	WP_011206493.1	WP_011206493.1
OG0000068	WP_020835906.1	WP_160607734.1
OG0000069	WP_044272542.1	WP_160608038.1
OG0000071	WP_044272563.1	WP_160607838.1
OG0000072	WP_044272653.1	WP_160607961.1
OG0000076	WP_228366125.1	WP_308704683.1
OG0000236	WP_044272642.1	WP_160607973.1
OG0000503	WP_228366107.1	WP_308507032.1
OG0000545	WP_011290141.1	WP_160590479.1
OG0000559	WP_011290306.1	WP_160607814.1
OG0000642	WP_187145663.1	WP_020835697.1
