Orthogroup	MHP_131B_proteins	MFC_MF30_proteins
OG0000000	WP_404924494.1	WP_308705463.1
OG0000000	WP_160612820.1, WP_404924508.1, WP_404924493.1, WP_404924491.1, WP_404924492.1	WP_220190802.1
OG0000000	WP_404924561.1	WP_160605580.1
OG0000001	WP_232039579.1, WP_187145661.1, WP_404924525.1, WP_404924273.1, WP_404924272.1	WP_002557631.1
OG0000002	WP_225972974.1, WP_404924222.1	WP_160605454.1
OG0000002	WP_404924467.1	WP_160605578.1
OG0000004	WP_404924499.1	WP_220190801.1
OG0000011	WP_404924567.1	WP_160605420.1
OG0000013	WP_225972984.1	WP_160605387.1, WP_160605385.1
OG0000013	WP_404924502.1	WP_258555096.1
OG0000014	WP_404924549.1, WP_404924552.1, WP_404924399.1	WP_220190749.1
OG0000016	WP_404924526.1	WP_160580902.1
OG0000017	WP_020835500.1	WP_002557881.1
OG0000017	WP_020835837.1	WP_160605334.1
OG0000018	WP_404924379.1	WP_160605522.1
OG0000019	WP_404924294.1, WP_404924295.1, WP_404924528.1	WP_160605640.1
OG0000020	WP_404924536.1	WP_308705457.1
OG0000022	WP_146379581.1	WP_160583783.1
OG0000024	WP_179696078.1, WP_404924435.1	WP_258555110.1
OG0000025	WP_404924464.1	WP_160583781.1
OG0000026	WP_020835640.1, WP_160606777.1	WP_002557545.1
OG0000027	WP_404924323.1	WP_160605603.1
OG0000029	WP_404924422.1, WP_404924400.1	WP_160605322.1
OG0000030	WP_308704613.1, WP_404924534.1	WP_160605605.1
OG0000031	WP_088172525.1, WP_404924450.1	WP_160605408.1
OG0000039	WP_404924559.1	WP_160605326.1
OG0000040	WP_404924313.1	WP_258555133.1, WP_160605352.1
OG0000042	WP_044272729.1	WP_160605324.1, WP_160605340.1
OG0000043	WP_014579804.1	WP_160605410.1
OG0000045	WP_404924452.1	WP_002557601.1
OG0000048	WP_011284150.1	WP_160605621.1
OG0000049	WP_020835860.1	WP_308705455.1
OG0000050	WP_404924247.1	WP_160605404.1
OG0000051	WP_404924263.1	WP_160581217.1
OG0000052	WP_404924352.1	WP_002557464.1
OG0000053	WP_404924445.1	WP_160605623.1
OG0000054	WP_404924248.1	WP_160605400.1
OG0000055	WP_146379455.1	WP_002557874.1, WP_323749063.1
OG0000056	WP_404924340.1	WP_160605584.1
OG0000057	WP_404924285.1	WP_258555107.1
OG0000062	WP_011206522.1	WP_002557486.1
OG0000063	WP_041361715.1	WP_160605552.1
OG0000064	WP_348571896.1	WP_160581114.1
OG0000065	WP_225972975.1	WP_002557517.1
OG0000066	WP_404913732.1, WP_404913730.1	WP_002557543.1
OG0000068	WP_011206103.1	WP_002557593.1
