Orthogroup	MHP_MHP650_genes	MFC_MF33_genes
OG0000000	DR083_RS02765	DR085_RS03035
OG0000000	DR083_RS04215	DR085_RS02470
OG0000001	DR083_RS04075, DR083_RS00590, DR083_RS00540, DR083_RS00545	DR085_RS03235
OG0000002	DR083_RS04915	DR085_RS03895
OG0000002	DR083_RS04760	DR085_RS03805
OG0000003	DR083_RS04460	DR085_RS03550
OG0000003	DR083_RS04905	DR085_RS03885
OG0000004	DR083_RS03460, DR083_RS03440, DR083_RS01645	DR085_RS01395
OG0000007	DR083_RS03475	DR085_RS02890
OG0000007	DR083_RS03470	DR085_RS02895
OG0000007	DR083_RS03465	DR085_RS03890
OG0000011	DR083_RS01555	DR085_RS03875, DR085_RS02795
OG0000011	DR083_RS01550	DR085_RS02805
OG0000013	DR083_RS05105	DR085_RS00915, DR085_RS00910
OG0000013	DR083_RS03885	DR085_RS03115
OG0000014	DR083_RS03770, DR083_RS04890	DR085_RS03650
OG0000016	DR083_RS00630	DR085_RS00605
OG0000017	DR083_RS00025	DR085_RS02380
OG0000017	DR083_RS00640	DR085_RS00595
OG0000018	DR083_RS04835	DR085_RS03745
OG0000020	DR083_RS04635	DR085_RS03795
OG0000020	DR083_RS04640	DR085_RS03790
OG0000022	DR083_RS04755	DR085_RS03800
OG0000023	DR083_RS02935	DR085_RS02195
OG0000024	DR083_RS03365, DR083_RS01215	DR085_RS00665
OG0000025	DR083_RS02105	DR085_RS02460
OG0000026	DR083_RS01120, DR083_RS02085	DR085_RS01755
OG0000027	DR083_RS04880	DR085_RS03845
OG0000029	DR083_RS02525, DR083_RS03325	DR085_RS00425
OG0000030	DR083_RS04855, DR083_RS04885	DR085_RS03850
OG0000031	DR083_RS02520	DR085_RS02695
OG0000032	DR083_RS03215	DR085_RS03940
OG0000033	DR083_RS00310	DR085_RS00935
OG0000039	DR083_RS03505	DR085_RS00495, DR085_RS00485
OG0000040	DR083_RS02780	DR085_RS03110, DR085_RS00715, DR085_RS00720
OG0000042	DR083_RS00730	DR085_RS00480, DR085_RS00645
OG0000043	DR083_RS01520	DR085_RS02670
OG0000045	DR083_RS03515	DR085_RS00505
OG0000048	DR083_RS02860	DR085_RS02880, DR085_RS03055
OG0000049	DR083_RS01660	DR085_RS01410
OG0000050	DR083_RS00350	DR085_RS02735
OG0000051	DR083_RS02195	DR085_RS01290
OG0000052	DR083_RS02690	DR085_RS03420
OG0000053	DR083_RS04665	DR085_RS03740
OG0000054	DR083_RS00375	DR085_RS00960
OG0000056	DR083_RS00815	DR085_RS02435
OG0000057	DR083_RS03975, DR083_RS03980	DR085_RS00520
OG0000062	DR083_RS00865	DR085_RS02230
OG0000063	DR083_RS04645	DR085_RS02225
OG0000064	DR083_RS00850	DR085_RS02215
OG0000065	DR083_RS02715	DR085_RS01895
OG0000066	DR083_RS01130	DR085_RS01765
OG0000068	DR083_RS03160	DR085_RS00460
OG0000069	DR083_RS00605	DR085_RS00630
OG0000070	DR083_RS00380	DR085_RS00940
