Orthogroup	MHP_MHP650_genes	MHP_TB1_genes
OG0000000	DR083_RS02765	B5M19_RS04470
OG0000000	DR083_RS04515	B5M19_RS03770
OG0000000	DR083_RS04210, DR083_RS04215	B5M19_RS02095
OG0000001	DR083_RS04075	B5M19_RS02595
OG0000001	DR083_RS00590	B5M19_RS02555
OG0000001	DR083_RS00540	B5M19_RS02510
OG0000002	DR083_RS04320	B5M19_RS04465
OG0000002	DR083_RS02760	B5M19_RS04625
OG0000002	DR083_RS04760	B5M19_RS02105
OG0000003	DR083_RS03840	B5M19_RS03885
OG0000004	DR083_RS03440	B5M19_RS04240
OG0000005	DR083_RS03065	B5M19_RS00020
OG0000005	DR083_RS03050	B5M19_RS00030
OG0000005	DR083_RS04870	B5M19_RS04010
OG0000006	DR083_RS04420	B5M19_RS03635
OG0000006	DR083_RS03605	B5M19_RS03605
OG0000006	DR083_RS03320	B5M19_RS02695
OG0000008	DR083_RS04510	B5M19_RS03790
OG0000008	DR083_RS04540	B5M19_RS04540
OG0000009	DR083_RS01225	B5M19_RS04475
OG0000009	DR083_RS01240	B5M19_RS04265
OG0000010	DR083_RS02305	B5M19_RS00670
OG0000010	DR083_RS04470, DR083_RS04910	B5M19_RS03275
OG0000011	DR083_RS01555	B5M19_RS04080
OG0000011	DR083_RS01550	B5M19_RS00765
OG0000013	DR083_RS05105	B5M19_RS02640
OG0000013	DR083_RS03885	B5M19_RS00100
OG0000014	DR083_RS04890	B5M19_RS03505
OG0000015	DR083_RS02965	B5M19_RS03260
OG0000016	DR083_RS00630	B5M19_RS01425
OG0000016	DR083_RS00040	B5M19_RS00080
OG0000017	DR083_RS00025	B5M19_RS00065
OG0000017	DR083_RS00640	B5M19_RS01415
OG0000018	DR083_RS04835	B5M19_RS04445
OG0000020	DR083_RS04635	B5M19_RS04305
OG0000020	DR083_RS04640	B5M19_RS02010
OG0000021	DR083_RS02335, DR083_RS02215, DR083_RS03855	B5M19_RS03625
OG0000022	DR083_RS02055	B5M19_RS02040
OG0000022	DR083_RS04755	B5M19_RS02090
OG0000024	DR083_RS03365	B5M19_RS02500
OG0000024	DR083_RS01215	B5M19_RS04395, B5M19_RS04390
OG0000025	DR083_RS04750	B5M19_RS04315
OG0000025	DR083_RS02105	B5M19_RS02085
OG0000026	DR083_RS01120	B5M19_RS01210
OG0000026	DR083_RS02085	B5M19_RS02065
OG0000027	DR083_RS02995	B5M19_RS00565
OG0000027	DR083_RS04880	B5M19_RS00550
OG0000029	DR083_RS02525	B5M19_RS03200
OG0000029	DR083_RS03325	B5M19_RS04520, B5M19_RS03510
OG0000030	DR083_RS04855	B5M19_RS00570
OG0000030	DR083_RS04885	B5M19_RS00555
OG0000031	DR083_RS02520	B5M19_RS04360
OG0000032	DR083_RS03215	B5M19_RS00560
OG0000035	DR083_RS03445	B5M19_RS01610
OG0000036	DR083_RS03040	B5M19_RS00040
OG0000037	DR083_RS04925	B5M19_RS04485, B5M19_RS04490
OG0000039	DR083_RS03505	B5M19_RS03320
OG0000040	DR083_RS02780	B5M19_RS02985
OG0000041	DR083_RS01230	B5M19_RS03050
OG0000041	DR083_RS01935	B5M19_RS04355
OG0000042	DR083_RS00730	B5M19_RS01320
OG0000043	DR083_RS01520	B5M19_RS00735
OG0000043	DR083_RS01520	B5M19_RS02270
OG0000044	DR083_RS02245	B5M19_RS00620
OG0000045	DR083_RS03515	B5M19_RS03325
