Orthogroup	MHP_MHP650_genes	MHP_LH_genes
OG0000000	DR083_RS02765	KUD10_RS02260
OG0000000	DR083_RS04550, DR083_RS03535, DR083_RS03820, DR083_RS00790	KUD10_RS02170
OG0000000	DR083_RS04515	KUD10_RS02380
OG0000000	DR083_RS04520	KUD10_RS02385
OG0000000	DR083_RS04215	KUD10_RS01785
OG0000001	DR083_RS04075	KUD10_RS01355
OG0000001	DR083_RS00590	KUD10_RS02875
OG0000001	DR083_RS00540	KUD10_RS02830
OG0000002	DR083_RS04320	KUD10_RS02270
OG0000002	DR083_RS02760	KUD10_RS02265
OG0000002	DR083_RS04915	KUD10_RS02210
OG0000002	DR083_RS04760	KUD10_RS01790
OG0000003	DR083_RS04460	KUD10_RS02250
OG0000003	DR083_RS03840	KUD10_RS01900
OG0000004	DR083_RS03440	KUD10_RS03275
OG0000004	DR083_RS01645	KUD10_RS03075
OG0000005	DR083_RS03065	KUD10_RS00100
OG0000005	DR083_RS03050	KUD10_RS00105
OG0000005	DR083_RS04870	KUD10_RS00110, KUD10_RS00125
OG0000006	DR083_RS04420	KUD10_RS02585
OG0000006	DR083_RS03605	KUD10_RS02390
OG0000006	DR083_RS03320	KUD10_RS02420
OG0000007	DR083_RS03465	KUD10_RS02245
OG0000008	DR083_RS04510	KUD10_RS02375
OG0000008	DR083_RS04540	KUD10_RS02590
OG0000009	DR083_RS05040	KUD10_RS00085
OG0000009	DR083_RS01930	KUD10_RS01265
OG0000009	DR083_RS01240	KUD10_RS00675
OG0000010	DR083_RS02305	KUD10_RS01910
OG0000011	DR083_RS01555	KUD10_RS02000
OG0000011	DR083_RS01550	KUD10_RS01995
OG0000013	DR083_RS05105	KUD10_RS02465
OG0000013	DR083_RS03885	KUD10_RS00185
OG0000014	DR083_RS04890	KUD10_RS00610
OG0000016	DR083_RS00630	KUD10_RS02915
OG0000016	DR083_RS00040	KUD10_RS00170
OG0000017	DR083_RS00025	KUD10_RS00155
OG0000017	DR083_RS00640	KUD10_RS02925
OG0000019	DR083_RS04180	KUD10_RS03110
OG0000020	DR083_RS04635	KUD10_RS03620
OG0000020	DR083_RS04640	KUD10_RS03625
OG0000022	DR083_RS02055	KUD10_RS01720
OG0000022	DR083_RS04755	KUD10_RS01775
OG0000024	DR083_RS03365	KUD10_RS02825
OG0000024	DR083_RS01215	KUD10_RS01345
OG0000025	DR083_RS04750	KUD10_RS01725
OG0000025	DR083_RS02105	KUD10_RS01770
OG0000026	DR083_RS01120	KUD10_RS01435
OG0000026	DR083_RS02085	KUD10_RS01750
OG0000027	DR083_RS02995	KUD10_RS03410
OG0000027	DR083_RS04880	KUD10_RS03425
OG0000029	DR083_RS02525	KUD10_RS01075
OG0000029	DR083_RS03325	KUD10_RS00620
OG0000030	DR083_RS04855	KUD10_RS03400
OG0000030	DR083_RS04885	KUD10_RS03420
OG0000031	DR083_RS02520	KUD10_RS01150
OG0000032	DR083_RS03590	KUD10_RS01640
OG0000033	DR083_RS00310	KUD10_RS02495, KUD10_RS02480
OG0000034	DR083_RS04525	KUD10_RS02225
OG0000034	DR083_RS04530	KUD10_RS02230
OG0000035	DR083_RS03445	KUD10_RS03270
OG0000036	DR083_RS03040	KUD10_RS00115, KUD10_RS00130
OG0000037	DR083_RS04925	KUD10_RS01645
OG0000039	DR083_RS03510, DR083_RS03505	KUD10_RS01675
OG0000040	DR083_RS02780	KUD10_RS03345
OG0000042	DR083_RS00730	KUD10_RS03010
OG0000043	DR083_RS01520	KUD10_RS01965
OG0000044	DR083_RS02245	KUD10_RS01860
OG0000045	DR083_RS03515	KUD10_RS01680
OG0000047	DR083_RS03630	KUD10_RS01210
OG0000048	DR083_RS02860	KUD10_RS02150
OG0000049	DR083_RS01660	KUD10_RS03120
OG0000050	DR083_RS00350	KUD10_RS02530
OG0000051	DR083_RS02195	KUD10_RS02740
OG0000052	DR083_RS02690	KUD10_RS00075
OG0000053	DR083_RS04665	KUD10_RS01520
OG0000054	DR083_RS00375	KUD10_RS02555
OG0000055	DR083_RS00005	KUD10_RS00135
OG0000056	DR083_RS00815	KUD10_RS03605
OG0000057	DR083_RS03975, DR083_RS03980	KUD10_RS02995
OG0000058	DR083_RS02505	KUD10_RS01145
OG0000060	DR083_RS02685	KUD10_RS00080
OG0000061	DR083_RS02315	KUD10_RS01920
OG0000062	DR083_RS00865	KUD10_RS03655
OG0000063	DR083_RS04645	KUD10_RS03650
OG0000064	DR083_RS00850	KUD10_RS03640
OG0000065	DR083_RS02715	KUD10_RS02315
OG0000066	DR083_RS01130	KUD10_RS01425
OG0000067	DR083_RS02350	KUD10_RS00530
OG0000068	DR083_RS03160	KUD10_RS00655
OG0000069	DR083_RS00605	KUD10_RS02890
OG0000070	DR083_RS00380	KUD10_RS02560
OG0000071	DR083_RS02790	KUD10_RS03335
OG0000072	DR083_RS04820	KUD10_RS03340
OG0000073	DR083_RS01265	KUD10_RS00700
OG0000074	DR083_RS04700	KUD10_RS00895
OG0000075	DR083_RS00220	KUD10_RS00340
OG0000076	DR083_RS00235	KUD10_RS00355
OG0000077	DR083_RS03235	KUD10_RS00440
OG0000078	DR083_RS02075	KUD10_RS01740
OG0000079	DR083_RS01845	KUD10_RS02640
OG0000080	DR083_RS04190	KUD10_RS02690
OG0000081	DR083_RS00215	KUD10_RS00335
OG0000083	DR083_RS01625	KUD10_RS02070
OG0000084	DR083_RS02910	KUD10_RS02100
OG0000085	DR083_RS02905	KUD10_RS02105
OG0000086	DR083_RS02895	KUD10_RS02115
OG0000087	DR083_RS02880	KUD10_RS02130
OG0000088	DR083_RS02875	KUD10_RS02135
OG0000089	DR083_RS02865	KUD10_RS02145
OG0000090	DR083_RS02695	KUD10_RS00070
OG0000091	DR083_RS00955	KUD10_RS00055
OG0000092	DR083_RS00940	KUD10_RS00040
OG0000093	DR083_RS00935	KUD10_RS00035
OG0000094	DR083_RS00930	KUD10_RS00030
OG0000095	DR083_RS00905	KUD10_RS00005
OG0000096	DR083_RS00900	KUD10_RS03690
OG0000097	DR083_RS00880	KUD10_RS03670
OG0000098	DR083_RS00870	KUD10_RS03660
OG0000099	DR083_RS04630	KUD10_RS03610
OG0000100	DR083_RS00805	KUD10_RS03590
OG0000101	DR083_RS00800	KUD10_RS03585
OG0000102	DR083_RS02100	KUD10_RS01765
OG0000103	DR083_RS02750	KUD10_RS02280
OG0000104	DR083_RS02745	KUD10_RS02285
OG0000105	DR083_RS02730	KUD10_RS02300
OG0000106	DR083_RS02720	KUD10_RS02310
OG0000107	DR083_RS02710	KUD10_RS02320
OG0000108	DR083_RS02705	KUD10_RS02325
OG0000109	DR083_RS02700	KUD10_RS02330
OG0000110	DR083_RS03140	KUD10_RS02450
OG0000111	DR083_RS03135	KUD10_RS02445
OG0000112	DR083_RS03125	KUD10_RS02435
OG0000113	DR083_RS03315	KUD10_RS02415
OG0000114	DR083_RS03305	KUD10_RS02405
OG0000115	DR083_RS03290	KUD10_RS02395
OG0000116	DR083_RS01185	KUD10_RS01370
OG0000117	DR083_RS01180	KUD10_RS01375
OG0000118	DR083_RS01145	KUD10_RS01410
OG0000119	DR083_RS01140	KUD10_RS01415
OG0000120	DR083_RS01125	KUD10_RS01430
OG0000121	DR083_RS01100	KUD10_RS01455
OG0000122	DR083_RS01095	KUD10_RS01460
OG0000123	DR083_RS01075	KUD10_RS01480
OG0000124	DR083_RS01070	KUD10_RS01485
OG0000125	DR083_RS01065	KUD10_RS01490
OG0000126	DR083_RS01055	KUD10_RS01500
OG0000127	DR083_RS01045	KUD10_RS01510
OG0000128	DR083_RS01030	KUD10_RS01525
OG0000129	DR083_RS01025	KUD10_RS01530
OG0000130	DR083_RS01015	KUD10_RS01540
OG0000131	DR083_RS00985	KUD10_RS01570
OG0000132	DR083_RS04660	KUD10_RS01585
OG0000133	DR083_RS02355	KUD10_RS00535
OG0000134	DR083_RS04790	KUD10_RS00540
OG0000135	DR083_RS02375	KUD10_RS00555
OG0000136	DR083_RS02380	KUD10_RS00560
OG0000137	DR083_RS02420	KUD10_RS00600
OG0000138	DR083_RS03185	KUD10_RS00630
OG0000139	DR083_RS03155	KUD10_RS00660
