Orthogroup	MHP_MHP650_genes	MHP_UFV02_genes
OG0000000	DR083_RS02765	FEF31_RS01935
OG0000000	DR083_RS04550, DR083_RS03535	FEF31_RS01865
OG0000000	DR083_RS04515	FEF31_RS02055
OG0000000	DR083_RS04215	FEF31_RS01385
OG0000001	DR083_RS04075	FEF31_RS00940
OG0000001	DR083_RS00590	FEF31_RS02540
OG0000001	DR083_RS00540	FEF31_RS02490
OG0000002	DR083_RS04320	FEF31_RS01945
OG0000002	DR083_RS02760	FEF31_RS01940
OG0000002	DR083_RS04915	FEF31_RS04505
OG0000002	DR083_RS04760	FEF31_RS04455
OG0000003	DR083_RS04460	FEF31_RS04510
OG0000003	DR083_RS03840	FEF31_RS01590
OG0000004	DR083_RS03440	FEF31_RS03775
OG0000005	DR083_RS03065	FEF31_RS03370
OG0000005	DR083_RS03050	FEF31_RS04660
OG0000005	DR083_RS04870	FEF31_RS03380, FEF31_RS04670
OG0000006	DR083_RS04420	FEF31_RS02230
OG0000006	DR083_RS03320	FEF31_RS02090
OG0000007	DR083_RS03475	FEF31_RS01925
OG0000007	DR083_RS03470	FEF31_RS01915
OG0000007	DR083_RS03465	FEF31_RS01910
OG0000008	DR083_RS04510	FEF31_RS02050
OG0000008	DR083_RS04540	FEF31_RS02250
OG0000009	DR083_RS01225	FEF31_RS00325
OG0000009	DR083_RS01930	FEF31_RS00845
OG0000009	DR083_RS01240	FEF31_RS00335
OG0000010	DR083_RS02305	FEF31_RS01600
OG0000010	DR083_RS04910	FEF31_RS04440
OG0000011	DR083_RS01555	FEF31_RS01695
OG0000011	DR083_RS01550	FEF31_RS01690
OG0000012	DR083_RS03720	FEF31_RS02235
OG0000013	DR083_RS05105	FEF31_RS02135
OG0000013	DR083_RS03885	FEF31_RS03455
OG0000014	DR083_RS03770	FEF31_RS00255
OG0000014	DR083_RS04890	FEF31_RS04375
OG0000016	DR083_RS00630	FEF31_RS02580
OG0000016	DR083_RS00040	FEF31_RS03440
OG0000017	DR083_RS00025	FEF31_RS03425
OG0000017	DR083_RS00640	FEF31_RS02590
OG0000020	DR083_RS04635	FEF31_RS03220
OG0000020	DR083_RS04640	FEF31_RS04270
OG0000021	DR083_RS02335	FEF31_RS00170
OG0000022	DR083_RS02055	FEF31_RS01320
OG0000022	DR083_RS04755	FEF31_RS04450
OG0000024	DR083_RS03365	FEF31_RS02485
OG0000024	DR083_RS01215	FEF31_RS00930
OG0000025	DR083_RS04750	FEF31_RS04445
OG0000025	DR083_RS02105	FEF31_RS01370
OG0000026	DR083_RS01120	FEF31_RS01025
OG0000026	DR083_RS02085	FEF31_RS01350
OG0000027	DR083_RS02995	FEF31_RS03015
OG0000027	DR083_RS04880	FEF31_RS04605
OG0000029	DR083_RS02525	FEF31_RS00735
OG0000029	DR083_RS03325	FEF31_RS00270
OG0000030	DR083_RS04855	FEF31_RS04590
OG0000030	DR083_RS04885	FEF31_RS04600
OG0000031	DR083_RS03560	FEF31_RS01265
OG0000032	DR083_RS03215	FEF31_RS03020
OG0000034	DR083_RS04525	FEF31_RS01895
OG0000035	DR083_RS03445	FEF31_RS03765
OG0000036	DR083_RS03040	FEF31_RS03385, FEF31_RS03400
OG0000039	DR083_RS03505	FEF31_RS01275
OG0000040	DR083_RS02780	FEF31_RS03890
OG0000041	DR083_RS01230	FEF31_RS00330
OG0000042	DR083_RS00730	FEF31_RS02675
OG0000043	DR083_RS01520	FEF31_RS01660, FEF31_RS01455
OG0000044	DR083_RS04960	FEF31_RS04775
OG0000044	DR083_RS02245	FEF31_RS01545
OG0000045	DR083_RS03515	FEF31_RS01280, FEF31_RS01285
OG0000048	DR083_RS02860	FEF31_RS01845
OG0000049	DR083_RS01660	FEF31_RS03620
OG0000050	DR083_RS00350	FEF31_RS02180
OG0000051	DR083_RS02195	FEF31_RS02395
OG0000052	DR083_RS02690	FEF31_RS03360
OG0000053	DR083_RS04665	FEF31_RS04425
OG0000054	DR083_RS00375	FEF31_RS02205
OG0000055	DR083_RS00005	FEF31_RS03405
OG0000057	DR083_RS03975, DR083_RS03980	FEF31_RS02660
OG0000058	DR083_RS02505	FEF31_RS01470
OG0000059	DR083_RS04445	FEF31_RS01460
OG0000060	DR083_RS02685	FEF31_RS00850
OG0000061	DR083_RS02315	FEF31_RS01245, FEF31_RS01610
OG0000062	DR083_RS00865	FEF31_RS03250
OG0000063	DR083_RS04645	FEF31_RS04645
OG0000064	DR083_RS00850	FEF31_RS03235
OG0000065	DR083_RS02715	FEF31_RS01990
OG0000066	DR083_RS01130	FEF31_RS01015
OG0000067	DR083_RS02350	FEF31_RS00185
OG0000068	DR083_RS03160	FEF31_RS00305
OG0000069	DR083_RS00605	FEF31_RS02555
OG0000070	DR083_RS00380	FEF31_RS02210
OG0000071	DR083_RS02790	FEF31_RS03835
OG0000072	DR083_RS04820	FEF31_RS04700
OG0000073	DR083_RS01265	FEF31_RS00360
OG0000074	DR083_RS04700	FEF31_RS04395
OG0000075	DR083_RS00220	FEF31_RS00005
OG0000076	DR083_RS00235	FEF31_RS00020
OG0000077	DR083_RS03235	FEF31_RS00105
OG0000078	DR083_RS02075	FEF31_RS01340
OG0000079	DR083_RS01845	FEF31_RS02300
OG0000080	DR083_RS04190	FEF31_RS02345
OG0000081	DR083_RS00215	FEF31_RS03610
OG0000083	DR083_RS01625	FEF31_RS01765
OG0000084	DR083_RS02910	FEF31_RS01795
OG0000085	DR083_RS02905	FEF31_RS01800
OG0000086	DR083_RS02895	FEF31_RS01810
OG0000087	DR083_RS02880	FEF31_RS01825
OG0000088	DR083_RS02875	FEF31_RS01830
OG0000089	DR083_RS02865	FEF31_RS01840
OG0000090	DR083_RS02695	FEF31_RS03355
OG0000091	DR083_RS00955	FEF31_RS03340
OG0000092	DR083_RS00940	FEF31_RS03325
OG0000093	DR083_RS00935	FEF31_RS03320
OG0000094	DR083_RS00930	FEF31_RS03315
OG0000095	DR083_RS00905	FEF31_RS03290
OG0000096	DR083_RS00900	FEF31_RS03285
OG0000097	DR083_RS00880	FEF31_RS03265
OG0000098	DR083_RS00870	FEF31_RS03255
OG0000099	DR083_RS04630	FEF31_RS04640
OG0000100	DR083_RS00805	FEF31_RS03195
OG0000101	DR083_RS00800	FEF31_RS03190
OG0000102	DR083_RS02100	FEF31_RS01365
OG0000103	DR083_RS02750	FEF31_RS01955
OG0000104	DR083_RS02745	FEF31_RS01960
OG0000105	DR083_RS02730	FEF31_RS01975
OG0000106	DR083_RS02720	FEF31_RS01985
OG0000107	DR083_RS02710	FEF31_RS01995
OG0000108	DR083_RS02705	FEF31_RS02000
OG0000109	DR083_RS02700	FEF31_RS02005
OG0000110	DR083_RS03140	FEF31_RS02120
OG0000111	DR083_RS03135	FEF31_RS02115
OG0000112	DR083_RS03125	FEF31_RS02105
OG0000113	DR083_RS03315	FEF31_RS02085
OG0000114	DR083_RS03305	FEF31_RS02075
OG0000115	DR083_RS03290	FEF31_RS02065
OG0000116	DR083_RS01185	FEF31_RS00955
OG0000117	DR083_RS01180	FEF31_RS00960
OG0000118	DR083_RS01145	FEF31_RS00995
OG0000119	DR083_RS01140	FEF31_RS01000
OG0000120	DR083_RS01125	FEF31_RS01020
OG0000121	DR083_RS01100	FEF31_RS01045
OG0000122	DR083_RS01095	FEF31_RS01050
OG0000123	DR083_RS01075	FEF31_RS01070
OG0000124	DR083_RS01070	FEF31_RS01075
OG0000125	DR083_RS01065	FEF31_RS01080
OG0000126	DR083_RS01055	FEF31_RS01090
OG0000127	DR083_RS01045	FEF31_RS01100
OG0000128	DR083_RS01030	FEF31_RS01115
OG0000129	DR083_RS01025	FEF31_RS01120
OG0000130	DR083_RS01015	FEF31_RS01130
OG0000131	DR083_RS00985	FEF31_RS01160
OG0000132	DR083_RS04660	FEF31_RS04430
OG0000133	DR083_RS02355	FEF31_RS00190
OG0000134	DR083_RS04790	FEF31_RS00195
OG0000135	DR083_RS02375	FEF31_RS00210
OG0000136	DR083_RS02380	FEF31_RS00215
OG0000137	DR083_RS02420	FEF31_RS00245
OG0000138	DR083_RS03185	FEF31_RS00280
OG0000139	DR083_RS03155	FEF31_RS00310
OG0000140	DR083_RS03150	FEF31_RS00315
OG0000141	DR083_RS00725	FEF31_RS02670
OG0000142	DR083_RS04625	FEF31_RS04555
OG0000143	DR083_RS00695	FEF31_RS02645
OG0000144	DR083_RS00685	FEF31_RS02635
OG0000145	DR083_RS00675	FEF31_RS02625
OG0000146	DR083_RS00665	FEF31_RS02615
OG0000147	DR083_RS00660	FEF31_RS02610
OG0000148	DR083_RS00645	FEF31_RS02595
OG0000149	DR083_RS00635	FEF31_RS02585
OG0000150	DR083_RS00620	FEF31_RS02570
OG0000151	DR083_RS00575	FEF31_RS02525
OG0000152	DR083_RS00570	FEF31_RS02520
OG0000153	DR083_RS00565	FEF31_RS02515
