Orthogroup	MHP_98_proteins	MHP_153B_proteins
OG0000000	WP_308705288.1	WP_404924195.1
OG0000000	WP_308705289.1	WP_404923956.1
OG0000000	WP_258556573.1	WP_404924157.1
OG0000001	WP_179696094.1	WP_187145661.1, WP_404924125.1
OG0000001	WP_228365393.1	WP_404923999.1
OG0000001	WP_258556577.1	WP_404923994.1
OG0000002	WP_237697200.1	WP_258555377.1
OG0000002	WP_160585767.1	WP_404923948.1
OG0000002	WP_179696125.1	WP_404924158.1
OG0000003	WP_052259119.1, WP_179696107.1	WP_404924172.1
OG0000004	WP_179695903.1	WP_020835883.1
OG0000004	WP_179695902.1	WP_404924027.1
OG0000004	WP_014579984.1	WP_020835887.1
OG0000005	WP_179695878.1	WP_404924061.1
OG0000005	WP_308705297.1	WP_146379451.1
OG0000006	WP_179695976.1	WP_225972988.1
OG0000006	WP_179696027.1	WP_404923960.1
OG0000008	WP_179696025.1	WP_404923955.1
OG0000008	WP_258556542.1	WP_404924196.1
OG0000009	WP_011206100.1	WP_041361566.1
OG0000009	WP_041361519.1	WP_041361519.1
OG0000009	WP_179695839.1	WP_011290021.1
OG0000010	WP_179696106.1, WP_308705290.1, WP_240536641.1, WP_258555487.1	WP_404924175.1
OG0000011	WP_179696098.1	WP_160587900.1
OG0000012	WP_158632000.1	WP_158632000.1
OG0000013	WP_258556557.1	WP_240536333.1
OG0000013	WP_308705282.1	WP_404924067.1
OG0000015	WP_179695828.1	WP_014580032.1
OG0000015	WP_258556564.1	WP_135618763.1, WP_240536643.1
OG0000016	WP_179695925.1	WP_404924002.1
OG0000016	WP_179695934.1	WP_146379459.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_011206380.1	WP_020835837.1
OG0000018	WP_179695831.1	WP_404923920.1
OG0000020	WP_258556514.1, WP_258556513.1	WP_404924053.1
OG0000021	WP_179696103.1	WP_404924161.1
OG0000021	WP_179696077.1	WP_404924162.1
OG0000022	WP_179696075.1	WP_404924149.1
OG0000022	WP_011290156.1	WP_404924156.1
OG0000023	WP_179696059.1, WP_258556508.1	WP_044272391.1
OG0000024	WP_179696078.1	WP_404923993.1
OG0000024	WP_011205981.1	WP_404924124.1
OG0000025	WP_179696074.1	WP_404924150.1
OG0000025	WP_179696070.1	WP_160606775.1
OG0000026	WP_179696052.1	WP_404924129.1
OG0000026	WP_160606777.1	WP_404924155.1
