Orthogroup	MHP_98_proteins	MHP_116_proteins
OG0000000	WP_308705288.1	WP_348602510.1
OG0000000	WP_258556549.1	WP_348602503.1
OG0000000	WP_308705287.1	WP_348602862.1, WP_348602524.1
OG0000000	WP_308705293.1, WP_258556573.1, WP_179696126.1	WP_348602817.1
OG0000001	WP_179696094.1	WP_348602774.1
OG0000001	WP_258556582.1	WP_348572046.1
OG0000001	WP_258556578.1, WP_258556577.1	WP_348602576.1
OG0000002	WP_237697200.1	WP_237697200.1
OG0000002	WP_179696125.1	WP_348602818.1
OG0000003	WP_258556536.1	WP_348602823.1
OG0000003	WP_052259119.1, WP_179696107.1	WP_094521666.1
OG0000004	WP_179695903.1	WP_044284712.1
OG0000004	WP_179695902.1	WP_348602620.1
OG0000004	WP_014579984.1	WP_348602621.1
OG0000005	WP_179695878.1	WP_348602674.1
OG0000005	WP_179696120.1	WP_348602675.1
OG0000005	WP_308705297.1	WP_348602676.1
OG0000006	WP_179695976.1	WP_348602543.1
OG0000006	WP_179696027.1	WP_348602529.1
OG0000008	WP_179696025.1	WP_348602523.1
OG0000008	WP_258556542.1	WP_348602544.1
OG0000009	WP_011206100.1	WP_348602749.1
OG0000009	WP_041361519.1	WP_348602671.1
OG0000009	WP_179695839.1	WP_348602747.1
OG0000010	WP_179696106.1	WP_348602833.1
OG0000010	WP_258555487.1	WP_348602673.1
OG0000011	WP_179696098.1	WP_348602848.1
OG0000011	WP_179696099.1	WP_348602847.1
OG0000012	WP_179695970.1, WP_158632000.1	WP_348602836.1
OG0000013	WP_258556557.1	WP_348602536.1
OG0000013	WP_308705282.1	WP_348602684.1
OG0000014	WP_179696116.1, WP_179695966.1	WP_348602713.1
OG0000015	WP_258556564.1	WP_240536643.1, WP_146379573.1
OG0000016	WP_179695925.1	WP_348602584.1
OG0000016	WP_179695934.1	WP_348602682.1
OG0000017	WP_020835500.1	WP_020835500.1
OG0000017	WP_011206380.1	WP_020835837.1
OG0000018	WP_179696058.1, WP_179695831.1	WP_348602781.1
OG0000020	WP_179695866.1	WP_348602656.1
OG0000020	WP_258556514.1, WP_258556513.1	WP_348602657.1
OG0000021	WP_179696103.1	WP_348602703.1, WP_348602704.1
OG0000022	WP_179696075.1	WP_348602807.1
OG0000022	WP_011290156.1	WP_348602816.1
OG0000024	WP_179696078.1	WP_348602575.1
OG0000024	WP_011205981.1	WP_348602773.1
OG0000025	WP_179696074.1	WP_348602808.1
OG0000025	WP_179696070.1	WP_348602815.1
OG0000026	WP_179696052.1	WP_348602786.1
OG0000026	WP_160606777.1	WP_348602812.1
OG0000027	WP_179695887.1	WP_348602636.1
OG0000028	WP_179695973.1	WP_348602538.1
